#land-mine_noun	maMxupAwara
%awning_noun	cAMxini/RAmiyAnA
evesdropper_noun	poVMcuvuMdi_vinevAdu
evict_verb	svAXInaM_cesuko/veVlYlagoVttu
evicted_adjective	veVlYlYagoVttabadina
eviction_noun	svAXInaparacukovadaM/japwu/bexaKal
evidence_noun	sAkRyaM/nixarSanaM/sAkRyAXArAlu/xqRtAMwaM
evidence_verb	rUpiMcu
evidenced_adjective	rUpiMcina
evidences_noun	sAkRyAXArAlu
evident_adjective	spaRtamEna/sPaRtamEna/prawyakRamEna/vivaramEna/gocara/prawyakRa/spaRta/viSaxa/vixiwa/vyakwaM/wetaweVllaM/weVllaM/xyowakaM
evident_verb	wetaweVllaM
evidential_adjective	prAmANika
evidential_verb	prAmANika
evidently_adverb	sPaRtaMgA/prawyakRaMgA/spaRtaMgA
evil,-bad,-vile,-worthless_noun	ceVdu
evil,-harm,-misfortune---danger---spoiling,-ruin,-disaster_noun	cetu
evil,-unjust,-unrighteous,-wrongful_adjective	aXarmaM
evil--wicked_adjective	ceVdda
evil-counsel_noun	xurboXanaM/xurboXa
evil-deed_noun	akAryaM/GoraM/xORtyaM/xuMdagaM/xuRkarma/xuRkqvaM/xuScarya/xuSceRta
evil-eye_noun	xiRti
evil-hearted-person_noun	xurAwmudu
evil-hour_noun	gaMdaM
evil-influence-exerted-by-a-planet_noun	grahapIda[nam]
evil-influence-of-a-star_noun	veXaM
evil-influence_noun	xuRpqBAvaM
evil-intent-or-notion_noun	xurbuxXi/xurmawi
evil-notion_noun	aparabuxXi
evil-omen_noun	SakunaM/upaplavaM
evil-passions-which-are-enemies-of-the-self_noun	aMwaSSawruvu
evil-person_noun	palugAki
evil-plight_noun	xuravasWa/xusWiwi
evil-plot_noun	xuswaMwraM
evil-practice_noun	xurAcAraM
evil-purpose_noun	xurASayaM
evil-result_noun	xuRPalaM/xuRPaliwaM
evil-spirit-believed_noun	bewAlYaM
evil-spirit_noun	bUci/grahaM/xayyaM
evil-spirits-to-enter-in-to_adjective	AveSiMcu
evil-time_noun	xuRkAlaM
evil_UNDEFINED	ava
evil_adjective	ceVdda/xuRta/aSuBa/ariRta/kacadA/nikqRtaM
evil_adjvl.	xur/xuR/xus/xuS
evil_adverb	ceVdugA
evil_noun	ceVrupu/Sabbara/akqvyaM/anarWaM/ariRtaM/aSuBaM/cetu/ceVdugu/ceVdu/jeVRta/kacadA/kaMtakaM/kIdu/ogu/oVgu/sabbara/xoRaM/xORtyaM/xuRtawvaM
evil_verb	ceVdda/kRuxra/xuRta
evildoing_noun	kutra
evilly_adverb	ceVrupugA
eviln-counsel_noun	xurAlocana
eviln-hearted-person_noun	xurAwmudu
evils_noun	ceVdulu/agacAtlu/kadagaMdlu
evince_verb	cUpiMcu/praxarSiMcu/praxarsiMcu
evinced_adjective	weVliyacesina
evitable_adjective	nivarwiMcakUdina
evocation_noun	pilupu
evocative_adjective	pilice
evoke_verb	kalYlYamuMxu-kaxlAdu/BAvana_kalugu/gurwukuvaccu/pilucu
evoked_adjective	kalYalYamuMxu_kaxalAdina/pilicina
evokes_verb	pilucu
evolution-_noun	pariNAmaM/pariNawi
evolution_noun	kavAyax_ceyadaM/pariNAmakramaM/vikAsaM
evolutionary_adjective	pariNAmaSIla
evolve_verb	pariNamiMcu/sqRtiMcu/vikasiMcu/vikasiMpaceVyyi/rUpoVMxiMcu/wAlcu/xAlcu
evolved_adjective	uwpannamEna/vikasiMpacesina
evolving_noun	uwpannamavvadaM/vikasiMpaceyadaM
evolvulus-alsinoides_noun	viRNukrAMwa
evulsion_noun	pIki_veyadaM
ewe_noun	AdagoVrreV
ewer_noun	ceVMbu
ewes_noun	[Ada]_goVrreV/Ada_goVrreV
ex-_adjective	mAjI
ex-_determiner	mAji
ex-directory_adjective	dEreVktrIlo_leni
ex-girlfriend_PREFIX	mAji_priyurAlu
ex-girlfriend_determiner	mAji_priyurAlu
ex-gratia_adjective	anugrahapUrvaka
ex-husband_PREFIX	mAji_Barwa
ex-husband_determiner	mAji_Barwa
ex-officio_adverb	paxavIrIwyA/uxyogarIwyA
ex-parte_adjective	pakRapAwapUrvamEna
ex-tol_verb	koVniyAdu/praSaMsiMcu
ex-wife_PREFIX	mAji_BArya
ex-wife_determiner	mAji_BArya
ex_PREFIX	mAji
ex_verb	mAjI
exa_adjective	heVksA
exacerbate_verb	prakopiMpaceVyyi
exacerbated_adjective	prakopaM_kalagajesina
exacerbation_noun	vyAXi_yoVkka_mummaraM
exact_adjective	sariyEna/kacciwamEna/KacciwaM/KarA/nirxiRta/sunniwa
exact_verb	patti_adugu/rAbattukoVnu/sariyEna
exacting_adjective	kaTina/wIvra/bAXAkara/nirbaMXamEna
exacting_verb	kaTina
exaction_UNDEFINED	nirBaMxiMci_adagadaM
exaction_noun	nirBaMxiMci_adagadaM
exactitude_noun	KaMdiwaM/nirxiRtawa
exactly-alike_adverb	oVkkalAge
exactly-like_adverb	mummUruwulA
exactly_adverb	sariggA/kacciwaMgA/accaMgA/KacciwaMgA/sarigA/wUcinatlu
exactness_noun	KaMdiwaM/kacciwaM/KacciwaM
exaggerate_verb	peVMciceVppu/peVMciceVpu/awiSayaMgAceVppu/peVMcu
exaggerated_adjective	peVMci_ceVppina
exaggerating_noun	peVMci_ceVppadaM
exaggeration_noun	awiSayokwi/peVMci_ceVppadaM/awyukwi/cilavalu_palavalu/uwprekRa/uwrpekRa
exalt_verb	pEki_yeVwwu/peVMcu/poVgadu/walaku_eVwwukoVnu
exaltation_noun	OnnawyaM/ahlAxaM/AnaMxamu/harRamu/koVMdAtamu/pramoxamu/praPulliwamu/saMwasamu/saMwoRaM/ullAsamu/unnawi
exalted_adjective	GanamEna/peVMcina/poVgidina/unnamiwaM
exam_noun	parIkRa/vicAraNa/SoXana
examination-enquiry_noun	vicAraNa
examination-paper_noun	parikRApawraM/parIkRApawraM
examination_noun	parIkRa/anveRaNa/arayika/pariSIlana/pariSoXana/saMSoXanamu/SIlanaM/SoXana/vicAraNamu/vivecana/wanikI/waniKI
examine-carefully_verb	pariRkariMcu
examine_adjective	cUcukoVnu/pariSoXiMcu/vicAriMcu
examine_verb	parikRiMcu/parIkRiMcu/vicAriMcu/SoXiMcu/arayu/Arayu/parikiMcu/pariSIlana_ceVyyi/pariSIliMcu/pariSoXiMcu
examiner_noun	parIkRa_cesevAdu/parIkRakudu/parIkRiMcuvAdu/paryavekRakudu/vicAriMcevAdu/waniKIceyuvAdu
examiners_noun	parIkRakulu
example-to-be-followed_noun	varavadi
example.-_noun	oVjjabaMwi
example_noun	uxAharaNa/maccu/nixarSana/xqRtAMwaM/lakRyaM/maccuwunaka/mAxiri/melubaMwi/nixarSanaM/sAxrusyaM/upamAnaM/uxAharaNaM/wArkANaM/xAKalA/xqRtAMwaraM
exasperate_verb	reVccagoVttu/uxrekaparacu/uwwejaparacu/AgrahaM_puttetattu_ceVyyi/keVlYlagiMcu
exasperated_adjective	Agrahapadda
exasperation_noun	reVccagoVttadaM/uwwejaM/uxvegaM/uxrekaM
exaspriation_noun	eVgavUpiri
excavate_verb	woVlucu/woVvvu/wavvu/woVluvu/wOvu
excavation_noun	wavvakaM/woVrra/uwKAtanaM/wOvakaM
excavations_noun	wavvakAlu
excavator_noun	vupparavAdu/gadxapAra/gunapaM/kaddI/palugu/suvva/upparavAdu
exceed-limit_verb	awikramiMcu
exceed-the-limit-in-anger_adjective	petregu
exceed-the-limit_adjective	peVccumIru/walamIru
exceed_adjective	miMcu/pEbadu
exceed_verb	awikramiMcu/mIru/miMcu/aXikamagu/awiSayamavvu/aXigamiMcu
exceeded_adjective	aXigamiMcina
exceeding_adjective	awiSayamEna/mIradaM/miMcadaM/aXikamavvadaM
exceedingly_adverb	awikramiMcunatlugA/awiSayaMgA/axanaMgA/peVxxayu/viciwraMgA/viparIwaMgA/weVga/weVppalugA
exceeds_verb	aXigamiMcu
excel-_adjective	poVMgAru
excel_adjective	miMcu
excel_verb	awiSayiMcu/miMcipovu/niRnAwudavvu/samarWudavvu/aXigamiMcu/miMcu/mIru/walaxannu
excellence-_noun	prakarRa/prasaswi/puNyaM
excellence_noun	SreRTawa/uwkqRtawa/OwkqRtyaM/prAsaswyaM/sORTavaM/sORtavaM/uwkarRa/viSiRtawa
excellency_noun	SreRtawa
excellent!_interjection	BeR!/cAMgure!/melumelu!/mowa/vahvA!/vAhvA!
excellent,-grand,-fine,-noble,-beautiful,-admirable_adjective	baMgAru
excellent-person-_noun	pravarudu
excellent-person_noun	prakAMxudu/uwwamudu/viSiRtudu
excellent_adjective	SreRTamEna/awyuwwamamEna/bAgA/coVkkaM/Gana/jAwyaM/kannAku/lakRaNamEna/leVssa/lokowwara/mahanIya/mahawwara/mahowkqRta/mahowwama/mowa/prasaswa/SreRtaM/uwkqRta/uwwama/viSiRta/yaSasvi
excellent_determiner	BalYA
excellent_interjection	BalYA/seVbAR
excellent_noun	brahmAMdaM/melu
excellent_verb	aBijAwyaM/cakkani/Gana/leVssa/uwwama
excellently_adverb	awyuwwamaMgA/SreRtaMgA/GanaMgA/beRuggA/vilakRaNaMgA
excelsior_determiner	axBuwaM
excelsior_interjection	axBuwaM!
excelsior_noun	unnawa
excelsior_verb	unnawa
except-for-vbl_adjective	wakku
except-for-vbl_verb	wakku
except-for_adverb	vinA
except[ing]_adverb	wakka
except_adjective	minahA
except_adverb	minahA/sivA[yi]
except_conjunction	minahA/wappa
except_determiner	minahA/wappa/wakkina/migilina
except_noun	wappa
except_preposition	migilina/minahA/wakkina/wappa
except_verb	minahAyiMcu/woVlagiMcu/vidicipeVttu
excepting_adverb	wakka
exception-to-a-rule_noun	apavAxaM/vipakRaM
exception_noun	apavAxaM/minahAyiMpu/apavAxam/minahA/vinAyiMpu
exceptionable_adjective	varjaniyyamEna
exceptional_adjective	asAXAraNamEna/apUrvamEna/apurUpa/asAXAraNa/viparIwa
exceptional_verb	awIwa
exceptionally_adverb	asAXAraNaMgA
excerpt_noun	uxXaraNa/ulleKiMpu/saMgrahaM/sArAMSaM/KaMdaM
excerpts_noun	uxXaraNalu/saMgrahAlu/sArAMSAlu
excess_adjective	iMkA/kAka/kAkuMdA
excess_noun	axanaM/AXikyaM/awyAcAraM/awi/awirekaM/eVkkasaM/eVkkuva/heVccu/mikkutaM/peVccu/ulbaNaM/uwsekaM/uxrekaM/veVkkasaM/xurAgawaM/xuraMwaM
excesses_noun	miwimIrina_pravarwanalu
excessive-anger_noun	xurAgrahaM
excessive-desire_noun	wimiri/wiMmiri
excessive-fondness_noun	abbaraM/arulumarulu/gArAbaM/gAraM/gArAmu
excessive-heat-in-the-body_noun	mehaM
excessive-rain_noun	awivqRti
excessive-talkativeness_noun	eVmmulu
excessive-thirst_noun	vixAhaM
excessive_adjective	axanapu/bahu/awi/alavimAlina/awirikwa/awyaMwa/awyaXika/eVkkasaM/eVkkudu/mikkutaM/nirBara/uwkataM/veVkkasaM/viparIwa
excessive_adjvl.	CeVda
excessive_verb	awi/miwimIrina
excessively_adjective	mikkili
excessively_adverb	axanaMgA/awiSayaMgA/awyaXikaMgA/aXikaMgA/ciwwugA/weVga
exchange---substitute-reply_noun	baxulu
exchange-_verb	PirAyiMcu
exchange_noun	mArakaM/vinimayaM/mArpidi/axalu_baxalu/baxulu/mArpu/mAruberaM/vyawyayaM
exchange_verb	mArcu/baxulugA_ivvu/mArcukonu/mAripidiceVyyi
exchanged_adjective	mArcina/vinimayaM_cesina
exchequer_noun	KajAnA/koSAgAraM/Siswu_vasUluxAru
excise-duty_noun	suMkaM
excise-tax-on-liquor_noun	AbkAri
excise_noun	eVksEj/uwpawwi/aXikawIruvA
excise_verb	aXikawIruvaA_veVyyi/woVlagiMcu/veruceVyyi
excised_adjective	japwu_ceyabadda
exciseman_noun	suMkari
excision_noun	woVlagiMpu
excitability_noun	uwwejaM_kalugaceyadaM
excitable_adjective	uwwejiwa/prerepiwa
excitable_verb	uwwejiwa
excitation_noun	uwwejaM/prerepana
excitatory_adjective	uwwejaM_kaligiMce/prerepiMce
excite_verb	prerepaNa_ceVyyi/uwwejaM_kaligiMcu/prakopiMpa_ceyi/purikoVlupu/rekeVwwiMcu/repu2,_repeVttu/urrUwalUgiMcu
excited-or-curious_adjective	wahawahalAdu/wahawahapadu
excited_adjective	prerepiwa/uwwejiwa/uwsAhapUriwa/uwsAhavaMwa/uxbuxXa/uxrikwa/uxvigna
excitedly_adverb	uwwejakaMgA
excitement-_noun	saMBramaM
excitement_noun	uxrekaM/BAvoxrekaM/prerepakaM/AveSaM/AxurxA/bulapAtaM/bulupu/hadAvidi/kolAhalaM/paravalYlYu/prakopaM/saMbaraM/samraMBaM/saMxadi/uwsAhaM/uwwejaM/uxvegaM
exciting_adjective	uwwejakara/prerepaka/uxxIpaka
exciting_noun	uxxIpanaM
exclaim_verb	moVrabeVttu/kekapeVttu/kekaveVyyi/AScaryapadu/aracu
exclaiming_noun	AScaryapadadaM
exclamation-expressing-grief_noun	saMwApArWakaM
exclamation_noun	AScaryArWakaM/moVra/keka/AScaryaM
exclamations_noun	AScaryArWakAlu
excllence_noun	SreRtawa
exclt_verb	muriyu
exclude_verb	minahAyiMcu/bahiRkariMcu/woVligiMcu
excluded-from,-devoid-of_adjective	bAhya
excluded_adjective	bahiRkiraMcina
excludes_verb	minahAiMcu/woVligiMcu
excluding-_advbl.	pogA
excluding_advbl.	pogA
excluding_noun	minahAiMcadaM/woVligiMcadaM
exclusion_noun	bahiRkAraM/minahAyiMpu/woVligiMpu/varjanaM/vinAyiMpu
exclusions_noun	minahAiMpulu/woVligiMpulu
exclusive-possession_noun	guwwasoVmmu/guwwasoVwwu
exclusive_adjective	kevala/viSiRta/sva/prawyekamEna/asmaxarXaka
exclusive_noun	kevalaM/prawyekaM
exclusively_adverb	kevalaM/viSiRtaMgA/prawyekaMgA/svaMwaMgA
excogitate_noun	yociMcu
excogitation_noun	yocana
excommunicate_verb	bahiRkAraM_ceVyyi/bahiRkariMcu
excommunicated_adjective	veVlivesina
excommunication_noun	bahiRkAraM/bahiRkaraNaM/veVli
excoriated_adjective	xogipoyina
excrement_noun	malaM/peda/aSuxXaM/ciyya/piyya/piyyi/purIRaM
excrescence-_noun	gaMwu
excrescence_noun	kaNiwi/boVdipeV/budipa/budipeV
excreta_noun	malamUwrAxulu/xoVddi
excrete_adjective	erugu
excrete_noun	malavisarjana
excrete_verb	pedaveVyyi
excretion_noun	malavisarjanaM/erugudu/kittaM
excretory_adjective	visarjiMce
excruciate_verb	bAXakaligiMcu/manovyaXa_kaligiMcu/veXiMcu
excruciating_adjective	veXiMce
excruciatingly_adverb	manovyaXagA
exculpatory_adjective	wappu_lexani_aguparace
excursion_noun	vihAra_yAwra/vihArayAwra
excursions_noun	vihAra_yAwralu
excusable_adjective	manniMcavalasina/kRamArhaM/kRaMwavya
excuse_noun	kRamApaNa/sAku/neVpaM/miRa/vaMka
excuse_verb	manniMcu/kRamiMcu/sAkuluceVppu/kAcu/kAyu
excuseless_adjective	manniMcakUdani
excutioner_noun	vurixIse_baMtrowu/urixIse_baMtrowu
exeats_noun	seVlavu_anumawulu
exec_noun	kAryanirvAhakudu
execrable_adjective	awipApiRti/seVta(tkA)kArI
execrate_verb	SapiMcu
execration_noun	SApaM
execute-by-hanging_verb	uriwIyu
execute_verb	amaluparacu/nirvahiMcu/uriwIyu/jarigiMcu/amaluceVyyi/amaluparuvu/uriwiyyi
executed_adjective	jarigina
executing_noun	uri/uriwAdu
execution-_noun	nirvahaNaM
execution-by-hanging_noun	uriSikRa
execution-of-work_noun	kAryanirvahaNa
execution_noun	amaluparacadaM/nirvahiMcadaM/uriwIyadaM/jarigiMcadaM/amalu/kAryanirvahaNa/uri/uriwAdu
executioner_noun	walAri/uriwIisevAdu
executions_noun	maraNa_xaMdanalu/nirvAhaNalu
executive-_adjective	pAlaka
executive-field_noun	kriyAraMgaM
executive-officer-of-a-civil-court_noun	amInA
executive_adjective	jarigiMce_aXikAraM_gala/kAryanirvAhaka/paripAlaka
executive_noun	kAryanirvAhakudu/paripAlakudu/wIrpu_prakAraM
executive_verb	paripAlaka
executor_noun	kAryakarwa/nirvAhakudu/neVravercevAdu
exegesis_noun	vivaraNaM
exemplar_noun	mAxiri_xqRtAMwaM/mArgaxarSi
exemplarily_adverb	uwwamaMgA
exemplary_adjective	uwwamamEna/uxAharaNa_prAyamEna/mAxirikaramEna/mArgaxarSaka
exemplification_noun	xqRtAMwaM
exemplified_adjective	uxAhariMcina/xqRtAMwamEna
exemplify_verb	uxAhariMcu/xqRtAMwamuvalla_aguparucu/uxahariMcu/xqRtAMwIkariMcu
exempt_adjective	minahAyiMcina
exempt_noun	aXikAri/minahAyiMpu_poVMxinavAdu
exempt_verb	minahAyiMcu/manniMcu/vinAyiMcu
exemption_noun	manniMpu/minahAyiMpu/rAyiwI/mAPI/svawaMwryamu/svecCa/viduxala/vimukwi/vinAyiMpu
exemptions_noun	minahAyiMpulu/rAyiwIlu
exequies_noun	uwwara_kriyalu
exercisable_adjective	aByasiMcaxagina/amaluparacaxagina
exercise-authority_verb	calAyiMcu/ceVlAyiMcu
exercise_adjective	apramawwamugA_uMduta/BaxraMgA/heVccariMcuta/jAgrawwa/meVlakuva
exercise_noun	aByAsaM/amaluparacadaM/vyAyAmaM/kasarawwu/sAmu/vyAyAmamu
exercise_verb	upayogaparacu/aByasiMcu
exercised_adjective	aByAsamEna
exercising_noun	vyAyamaM_ceyadaM/kasarawwu/vyAyAmamu
exert_verb	upayogaparacu/viniyogiMcu
exerted_adjective	upayogaparacina
exertion_noun	Srama/prayAsa/pariSrama/yawnaM/kaRtapaduta/kaRtiMcuta/kqRi/prayAsaM/Sramapaduta/ujjraMBiwaM/uvvu/uwWAnaM/uxyamaM/vyavasAyaM
exfoliate_verb	eVmukalonuMci_peVlYlagA_vUdivaccu
exhalation_noun	Aviri/niSvAsaM/niSvAsanaM
exhale_adjective	niSvAsiMcu
exhale_verb	bayatavisuru/gAli_vaxulu/AvirEpo
exhaled_adjective	bayata_visirina
exhaust-water-from-a-well_verb	odakoVttu
exhaust_verb	KarcupeVttu/vrayaM_ceVyyi/alisipovu/KAlYIceVyyi
exhausted_adjective	alisipoye/vrayamEna
exhausting_adjective	alisipoyina/pogoVtte_SoRiMpacese
exhaustion_adjective	dIlA_avvu/dIlA_padu
exhaustion_noun	alasata/nissawwuva/KAlI/SoRaNaM/AyAsaM/soRa
exhaustive_adjective	viswqwa/samagra
exhibit_noun	praxarSiwavaswuvu
exhibit_verb	cUpu/praxarSiMcu/cUpeVttu/cUpiMcu/kanaparacu/nirUpiMcu/prakatiMcu/praxarsiMcu
exhibited_adjective	praxarSiMcina
exhibiting_noun	praxarSiMcadaM/nirUpaNaM
exhibition_noun	cUpadaM/praxarSana/praxarSanaM
exhibitor_noun	praxarSiMcevAdu/praxarSakudu
exhibitors_noun	praxarSakulu/praxarSanakArulu
exhibits_verb	praxarSiMcu
exhilarate_verb	ullAsaparacu
exhilarated_adjective	ullasiMcina
exhilarating_adjective	ullAsakaramEna
exhilaration_noun	ullAsaM/AnaMxaM
exhort_verb	buxXiceVppu/prerepiMcu/uxboXiMcu
exhortation_noun	buxXi/prerepaNa/praboXaM/uxboXa[naM]
exhortatory_adjective	buxXiceVppe
exhume_verb	wavviwiyyi
exiccated_adjective	Aripoyina
exile_noun	veVlivewa/nirgamaM/xeSamulonuMci_veVlYla_koVttabadda_vAdu/pravAsi
exile_verb	veVliveyu/nirgamiMcu/xeSamulonuMci_veVlYlakoVttu/veVliveVyyi
exiled_adjective	xeSamulonuMci_veVlYlakoVttabadda
exiles_noun	xeSa_bahiRkqwulu/xeSa_bahiRkArAlu
exist_adjective	jIviMcu/kalugu/manu/masalu/oVppu/uMdu
exist_verb	uMdu/jIviMcu/vuMdu/brawukulu/kalugu/manu
existence-in-many-forms_noun	viSvarUpaM
existence_adjective	AvirBaviMcu
existence_noun	uniki/asWiwvaM/jIvanaM/aswiwvaM/BavaM/ikkuva/maniki/manugada/sawvaM/sWiwi
existent_adjective	sajIva/yaWArWa/ippati/vuMde/uMde
existent_verb	sajIva
existential_adjective	asWiwva
existentialism_noun	asWiwvavAxaM/aswiwvavAxaM
existimation_noun	eVnnika
existing-from-eternity_adjective	anAxi
existing-from-eternity_noun	anAxi
existing-since-birth_adjective	Ajanma
existing-situation_noun	yaWAsWiwi
existing_adjective	vuMde/uMde/varwamAna
existing_preposition	gala/kala
existing_verb	unna
exit_adjective	niRkramiMcu
exit_noun	lecipovadaM/niRkramaNa/nirgamanaM/niRkramaNaM
exit_verb	cAvu/maraNiMcu
exitingly_adverb	raMjugA
exits_noun	niRkramaNalu
exodus_noun	niRkramaNa/nirgamaM/nirgamakAMdaM/_xeSa_wyAgaM/xeSa_wyAgaM
exonerable_adjective	SAMwudEna
exonerate_verb	nivqwwi_ceVyyi/nivqwwiceyu/nirxoRigA_prakatiMcu/nivqwwiceVyyi
exonerated_adjective	nivqwwi_ceyabadda
exoneration_noun	nivqwwi
exorbitant_adjective	awikramamEna/aXika/amiwa/aparimiwa
exorbitantly_adverb	amiwaMgA
exorcise_verb	xayyamulanu_wolu
exorcising-of-evil-spirits_noun	uccAtanaM
exorcising_noun	bAgulu/uccAtanaM
exorcism_noun	xayyamunuwole_maMwraM
exorcist_noun	BUwavExyudu
exordium-of-a-poem_noun	eVwwubadi
exordium_noun	graMWAraMBaM
exoteric_adjective	bAhatamEna
exothermic_adjective	uRNamocaka
exotic_adjective	paraxeSa_saMbaMXamEna/viparIwa/asAXAraNa/vixesI/valakRaNa
exotic_noun	anyaxeSapu_ceVttu
exotoxins_noun	bahirjIvaviRAlu
expand-o.'s-chest-from-pride-or-self-importance_verb	virucukoVnu
expand.'s-limbs.'s-chest_verb	virucukoVnu
expand_adjective	allukoVnu/jqMBiMcu/vijqMBiMcu/vikasiMcu/vippAru/viswarillu/viswariMcu
expand_verb	vikasiMcu/vikasiMpa_ceVyyi/viswariMcu/sAgaxIyu/vyAkociMcu/vivariMcu/peVMcu/peVMpu_ceyi/sAgaxiyyi/viswarillu/vyApiMcu
expandable_adjective	sAgaxagina
expanded-hood-of-a-snake_noun	BogaM
expanded_adjective	vikasiMcina/viswariMcina/sAgaxIsina/vikasiwa
expanding_adjective	viccu
expanding_noun	unmIlanaM/vikAsaM/viswaraM
expands_verb	sAgu/sAgaxIyu
expanse-of-brackish-water_noun	uppukEya
expanse_adjective	viSAla/viswqwa
expanse_noun	viSAlawa
expansion_noun	vikasanaM/viSAlaM/viswqwi/vqxXi/aBivqxXi/AyamaM/jqMBaBaNaM/vijqMBaNa/vikAsaM/viswaraNa/vyAkocaM/vyApwi
expansionist_noun	viswaraNavAxi/sAMmrAjyavAxi
expansive_adjective	viswariMpacese/viswqwa
expansiveness_noun	viSAlawa
exparte_adjective	eka_pakRapu
expatiate-on_verb	vipulIkariMcu
expatiate-upon_verb	upanyasiMcu
expatiation_noun	upanyAsaM
expatriate_verb	bahiRkariMcu/veVliveyu/veVliveVyyi
expatriated_adjective	paraxeSamunaku_paMpabadda
expatriation_noun	bahiRkAraM/veVlivewa/xeSa_BraRtuNnigA_ceyadaM
expect_adjective	anukoVnu/ASiMcu/prawIkRiMcu
expect_verb	ASiMcu/eVxurucUcu/anuko/eVxurucUdu/vecu
expectancy_noun	eVxurucUdadaM/UhiMcadaM/nammika
expectant_adjective	ASAvAxi/nirIkRkudu
expectant_noun	eVxurucUcevAdu
expectantly_adverb	ASAvahaMgA
expectation-of-life_noun	jIviwASaMsa
expectation_noun	ASa/nirIkRaNa/eVxurucUdadaM/ASaMsa/prawIkRa[Nam]
expectations-and-attachments_noun	AsapAsAlu
expected_adjective	eVxurucUdabadda
expecting_adjective	ASiMce/eVxurucUce
expedience_noun	I_rRya/oVppani_wvanaM/svArXamu
expediency_noun	upayukwawa/svArWaM
expedient-or-serviceable_noun	prayojanakAri
expedient_adjective	AvaSyamEna/upayogakaramEna/yukwamEna/prayojanakara
expedient_noun	upAyaM/gawi/immu/sAXanaM/saxupAyaM/waraNopAyaM/waruNopAyaM/yogaM
expedite_verb	woVMxarapeVttu/wvariwaparucu
expedition_noun	anveRayAwra/sAhasayAwra/wvara/xaMdayAwra/yAwra
expeditions_noun	anveRayAwralu/sAhasayAwralu
expeditious_adjective	wvaragala
expeditiously_adverb	wvaragA
expel_verb	veVlYlagoVttu/woVlagiMcu/wIsiveyu/veVlYlyagoVttu/bahiRkariMcu/wIsiveVyyi
expelled_adjective	woVligiMcina/wIsivesina/veVlYlYagoVttina
expelled_noun	bahiRkqvudu
expend_verb	KarcuceVyyi/KarcupeVttu/vrayaM_ceVyyi/vyayiMcu
expended_adjective	vrayamEna
expenditure_noun	Karcu/vyayaM/vayaM/ceVlliMpulu/wagulubadi
expenditures_noun	Karculu
expense_noun	Karcu/vyayaM/vrayaM
expenses_noun	vyayaM
expensive_adjective	KarIxEna/viluvEna/vilAsavaMwamEna/priyaM/vyayapUriwa
expensive_verb	KarIxEna
expensively_adverb	vilAsavaMwaMgA
expensiveness_noun	KarIxu
experience--loo_noun	anuBavaM
experience_noun	anuBavaM/anuBUwi
experience_verb	SoXiMcu/aByAsamu/anuBavamu/anuBaviMcu/AsvAxiMcu/koVnu/poVMxu/vAdika
experienced-person-_noun	peVxxaceVyyi
experienced-person_noun	anuBavajFudu/vijFudu
experienced_adjective	anuBavaMgala/anuBavaSAliyEna/Ariweru/avexyaM/walaneVrisina/walapaMdina
experienced_noun	aBijFudu
experienced_verb	Ariweru
experiencing_noun	anuBUwi_poVMxadaM/anuBaviMcadaM
experiential_adjective	anuBava_pUrvamEna
experiment-_noun	prakriya/prayogaM
experiment_adjective	svawaMwriMcu
experiment_noun	parikRa/prayogaM/parIkRa
experimental_adjective	prayogAwmaka
experimentally_adverb	prayogAwmakaMgA/anuBavamucewa/prAyogikaMgA
experimentation_noun	prayogIkaraNaM
experimented_adjective	prayogaM_cesina
experimenter_noun	prayogakarwa/prayogasIli
experimenters_noun	prayogakarwalu
experimenting_noun	prayogaM_ceyadaM
expert,-competent-person_noun	aMxeVvesinaceVyyi
expert-_noun	nipuNudu
expert-in-sexual-matters_noun	rasikudu
expert_adjective	Ariweru/kuSala/nipuNa
expert_noun	nipuNudu/ceyiwiriginavAdu/aKaMdudu/anuBavajFudu/AriMxA/GanApAtI/kuSaludu/nerpari/niRNAwudu/pravINudu/xitta
expert_verb	Ariweru/nipuNa
expertise_noun	nEpuNi/nEpuNyaM/niRNAvqvvaM/prAvINyaM/prAvINyawa
expertly_adjective	nEpuNyaMgala/samarWa/nerpugala
expertly_adverb	nEpuNyaMgA/samarWavaMwaMgA/nerpugA
expertly_verb	samarWa
expertness-_noun	nipuNawa/nipuNawvaM
expertness_noun	nipuNawa/kuSalawa/nepariwanaM/nEpuNi/nEpuNyaM/prAvINyaM/prAvINyawa
experts_noun	hemA_hemIlu
expiation_noun	prAyaSciwwaM/niRkqwi
expiration_noun	gAlI_vaxulu/aMwaM/mugiMpu/samApwi/SvAsaM_vidavadaM/eVgavUpiri
expire_adjective	canipovu/gittu/jarugu/miMcu
expire_verb	caccu/kAlaMceVllu/maraNiMcu/aMwamavvu/canipo/cAvu/gittu/miMcu
expired_adjective	aMwamEna/maraNiMcina/caccina
expires_verb	aMwamavvu/maraNiMcu
expiry_noun	pUrwi/aMwaM/cAvu/kAlAwIwaM
expiscate_verb	sAXiMcu
explain-in-detail_verb	vidamaracu
explain-point-by-point_verb	vidamaracu
explain_verb	arWaM_ceVppu/vivariMcu/viSaxaparcu/nirvaciMcu/upanyasiMcu/vipulIkariMcu/viSaxaM_ceVyyi/viSaxaparacu/viSaxIkariMcu/weVliya_ceVyyi/weVliyajeVppu/weVliyaparacu
