#Structure_of_the_file:	#Structure_of_the_file:
#English-compound-word	Hindi-meaning
,_in_short_,	safkRipwa_meM#safkRipwa_meM#noun#2#RM
bulk_freigh	KulA_mAla#KulA_mAla#noun#2#RM
bulk_indent	Woka_mAzga-pawra#Woka_mAzga-pawra#noun#2#RM
bulk_inspection	sAmUhika_nirIkRaNa#sAmUhika_nirIkRaNa#noun#2#RM
bulk_purchase	Woka_KarIxa#Woka_KarIxa#noun#2#RM
bull_campaign	bAjAra_caDAnA#bAjAra_caDAnA#noun#2#RM
bull_support	wejadi_iyoM_kA_samarWana_aI_sahAyawA#wejadi_iyoM_kA_samarWana_aI_sahAyawA#noun#2#RM
bulldog_clip	kAgaja_pakadane_vAlA_klipa#kAgaja_pakadane_vAlA_klipa#noun#2#RM
bulldozer_operator	buladojara_oYparetara#buladojara_oYparetara#noun#2#RM
bullet_hole	golI_lagane_kA_Cixra#golI_lagane_kA_Cixra#noun#2#RM
bulletin_board	samAcAra_pata#samAcAra_pata#noun#2#RM
bullion_account	buliyana_leKA#buliyana_leKA#noun#2#RM
bullion_market	sarAPA_Auliyana_bAjAra#sarAPA_Auliyana_bAjAra#noun#2#RM
bullion_van	buliyana_yAna_aAdI#buliyana_yAna_aAdI#noun#2#RM
bullish_trend	wexI_kI_pravqwwi#wexI_kI_pravqwwi#noun#2#RM
bullock_cart's	bEla_gAdI_kA#bEla_gAdI_kA#noun#2#RM
bully_algorithm	bullI_elgoriWma#bullI_elgoriWma#noun#2#RM
bully_beef	gomAzsa_kA_acAra#gomAzsa_kA_acAra#noun#2#RM
bumper_car	baccoM_kI_bijalI_vAlI_kAra#baccoM_kI_bijalI_vAlI_kAra#noun#2#RM
bumper_crop	BarapUra_pExAvAra#BarapUra_pExAvAra#noun#2#RM
bunching_of_vacancies	riikwayoM_kA_gucCana#riikwayoM_kA_gucCana#noun#1#RM
bunco_game	apariciwa_vyakwi_ko_Tagane_kA_Kela#apariciwa_vyakwi_ko_Tagane_kA_Kela#noun#2#RM
bunko_game	apariciwa_vyakwi_ko_Tagane_kA_Kela#apariciwa_vyakwi_ko_Tagane_kA_Kela#noun#2#RM
bunsen_burner	bunsenaxvArA_AviRkqwa_jvAlaka#bunsenaxvArA_AviRkqwa_jvAlaka#noun#2#RM
burden_of_proof	pramANiwa_karane_kI_jimmexArI#pramANiwa_karane_kI_jimmexArI#noun#1#RM
burden_of_taxation	kara_BAra#kara_BAra#noun#1#RM
bureau_for_promotion_of_urdu	urxU_saMvarXana_byUro#urxU_saMvarXana_byUro#noun#3#RM
bureau_head	kAryAlaya-pramuKa#kAryAlaya-pramuKa#noun#2#RM
bureau_of_document	praleKa_byUro#praleKa_byUro#noun#1#RM
bureau_of_economics_and_statistics	arWaSA_Awra_Ora_sAfKyikI_byUro#arWaSA_Awra_Ora_sAfKyikI_byUro#noun#1#RM
bureau_of_educationl_vocational_guidance	SikRA_Ora_vyavasAya_mArgaxarSana_byUro#SikRA_Ora_vyavasAya_mArgaxarSana_byUro#noun#1#RM
bureau_of_higher_education	ucca_SikRA_byUro#ucca_SikRA_byUro#noun#1#RM
bureau_of_indian_standards	BArawIya_mAnaka_byUro#BArawIya_mAnaka_byUro#noun#1#RM
bureau_of_industrial_cost_and_prices	Oxyogika_lAgawa_Ora_mUlya_byUro#Oxyogika_lAgawa_Ora_mUlya_byUro#noun#1#RM
bureau_of_personnel	kArmika_keMxra_ayUro#kArmika_keMxra_ayUro#noun#1#RM
bureau_of_police_research_and_development	pulisa_anusanXAna_Ora_vikAsa_byUro#pulisa_anusanXAna_Ora_vikAsa_byUro#noun#1#RM
bureau_of_scholarships_and_scientific_research	CAwravqwwi_Ora_vEjFAnika_anusanXAna_byUro#CAwravqwwi_Ora_vEjFAnika_anusanXAna_byUro#noun#1#RM
bureau_of_school_education	skUla_SikRA_byUro#skUla_SikRA_byUro#noun#1#RM
bureaucratic_procedure	aXikAra-wanwra-sambanXI_prakriyA#aXikAra-wanwra-sambanXI_prakriyA#noun#2#RM
burgeoning_level	baDawA_huA_swara#baDawA_huA_swara#noun#2#RM
burglar_alarm	cora_se_Kaware_kA_safkewa#cora_se_Kaware_kA_safkewa#noun#2#RM
burial_ceremony	xAha_saMskAra#xAha_saMskAra#noun#2#RM
burial_chamber	xaPanAne_kA_kakRa#xaPanAne_kA_kakRa#noun#2#RM
burlap_bag	tAta_kA_WElA#tAta_kA_WElA#noun#2#RM
burmese_unit	barmI_ekaka#barmI_ekaka#noun#2#RM
burn_center	jalA_maXyaBAga#jalA_maXyaBAga#noun#2#RM
burner_can	barnara_kEna#barnara_kEna#noun#2#RM
burning_bush	jalane_vAlI_JAdI#jalane_vAlI_JAdI#noun#2#RM
burnt_sienna	jalI_huI_geru#jalI_huI_geru#noun#2#RM
burst_transmission	visPota_saFcaraNa#visPota_saFcaraNa#noun#2#RM
bus_architecture	basa_vAswukalA#basa_vAswukalA#noun#2#RM
bus_company	basa_kampanI#basa_kampanI#noun#2#RM
bus_driver	basa_drAivara#basa_drAivara#noun#2#RM
bus_internet	basa_jAla#basa_jAla#noun#2#RM
bus_line	basa_lena#basa_lena#noun#2#RM
bus_stop	basa_addA#basa_addA#noun#2#RM
bush_clover	JAdI_wipawiyA#JAdI_wipawiyA#noun#2#RM
bush_jacket	binA_bAzhoM_vAlI_jEkita#binA_bAzhoM_vAlI_jEkita#noun#2#RM
bushel_basket	marammawa_ke_sAmAna_kI_tokarI#marammawa_ke_sAmAna_kI_tokarI#noun#2#RM
business_activity	vyApAra_kAryakalApa#vyApAra_kAryakalApa#noun#2#RM
business_address	vyavasAyika_pawA#vyavasAyika_pawA#noun#2#RM
business_agent	vyApAra_prawiniXi#vyApAra_prawiniXi#noun#2#RM
business_association	vyavasAya_sanxa#vyavasAya_sanxa#noun#2#RM
business_audio	vyavasAya_Sravya#vyavasAya_Sravya#noun#2#RM
business_card	bijanesa_kArda#bijanesa_kArda#noun#2#RM
business_college	kArobAra_sambanXiwa_mahAvixyAlaya#kArobAra_sambanXiwa_mahAvixyAlaya#noun#2#RM
business_community	vyApArika_samuxAya#vyApArika_samuxAya#noun#2#RM
business_concern	vyAvasAyika_saMsWA#vyAvasAyika_saMsWA#noun#2#RM
business_connections	vyavasAya_sambanXa#vyavasAya_sambanXa#noun#2#RM
business_cycle	vyavasAya_cakra#vyavasAya_cakra#noun#2#RM
business_data_processing	vyavasAya_AfkadA_saMsAXana#vyavasAya_AfkadA_saMsAXana#noun#3#RM
business_deduction	vyApArika_katOwI#vyApArika_katOwI#noun#2#RM
business_district	vyApAra_kRewra#vyApAra_kRewra#noun#2#RM
business_editor	vyApAra_sampAxaka#vyApAra_sampAxaka#noun#2#RM
business_enterprise	vyApAra_upakrama#vyApAra_upakrama#noun#2#RM
business_establishment	vyavasAya_prawiRTAna#vyavasAya_prawiRTAna#noun#2#RM
business_executive	vyavasAya_kAryapAlaka#vyavasAya_kAryapAlaka#noun#2#RM
business_firm	vyApArika_Parma#vyApArika_Parma#noun#2#RM
business_hours	kArya_samaya#kArya_samaya#noun#2#RM
business_house	vyavasAya_gqha#vyavasAya_gqha#noun#2#RM
business_income	vyAvasAyika_Aya#vyAvasAyika_Aya#noun#2#RM
business_information_system	vyavasAya_sUcanA_wanwra#vyavasAya_sUcanA_wanwra#noun#3#RM
business_insurance	vyavasAya_aArobAra_bImA#vyavasAya_aArobAra_bImA#noun#2#RM
business_intelligence	vyavasAya_jFAmpalqAna#vyavasAya_jFAmpalqAna#noun#2#RM
business_intelligent	vyavasAya_buxximAna#vyavasAya_buxximAna#noun#2#RM
business_leader	uxyoga_newA#uxyoga_newA#noun#2#RM
business_letter	vyAvasAya_pawra#vyAvasAya_pawra#noun#2#RM
business_man	vyavasAyI#vyavasAyI#noun#2#RM
business_management	vyavasAya_aArobAra_prabanXa#vyavasAya_aArobAra_prabanXa#noun#2#RM
business_manager	vyavasAya_prabanXaka#vyavasAya_prabanXaka#noun#2#RM
business_methods	vyavasAya_paxXawi#vyavasAya_paxXawi#noun#2#RM
business_objection	vyavasAya_Apia#vyavasAya_Apia#noun#2#RM
business_objectives	vyavasAya_uxxeSya#vyavasAya_uxxeSya#noun#2#RM
business_of_banking	bEMkiMga_vyavasAya_aArobAra#bEMkiMga_vyavasAya_aArobAra#noun#1#RM
business_of_farming	kqRi_vyavasAya#kqRi_vyavasAya#noun#1#RM
business_organisation	vyavasAya_safgaTana#vyavasAya_safgaTana#noun#2#RM
business_organization	vyavasAya_safgaTana#vyavasAya_safgaTana#noun#2#RM
business_plan	vyApAra_yojanA#vyApAra_yojanA#noun#2#RM
business_practice	kArobArI_calana_araWANaprAlI#kArobArI_calana_araWANaprAlI#noun#2#RM
business_premises	kArobAra_sWAna_aarisara#kArobAra_sWAna_aarisara#noun#2#RM
business_proposition	vyavasAya_aArobAra_praswAva#vyavasAya_aArobAra_praswAva#noun#2#RM
business_purchase_account	vyavasAya_KarIxa_leKA#vyavasAya_KarIxa_leKA#noun#3#RM
business_relationship	vyApArika_sambanXa#vyApArika_sambanXa#noun#2#RM
business_reply_card	vyAvasAyika_aArobArI_javAbI_kArda#vyAvasAyika_aArobArI_javAbI_kArda#noun#3#RM
business_strategy	vyApAra_nIwi#vyApAra_nIwi#noun#2#RM
business_type_audit	vyavasAya_anurUpa_leKAparIkRA#vyavasAya_anurUpa_leKAparIkRA#noun#3#RM
business_undertaking	vyavasAya_upakrama#vyavasAya_upakrama#noun#2#RM
business_wealth	vyAvasAyika_Xana#vyAvasAyika_Xana#noun#2#RM
business_year	kArobAra_ayavasAya_vaRar#kArobAra_ayavasAya_vaRar#noun#2#RM
bust_open	CAwI_KulI#CAwI_KulI#noun#2#RM
bust_out	CAwI_bAhara#CAwI_bAhara#noun#2#RM
busy_bee	pariSramI_maXumakKI#pariSramI_maXumakKI#noun#2#RM
busy_season	aXika_kAmakAja_ke_xina#aXika_kAmakAja_ke_xina#noun#2#RM
but_for	yaxi_nahIM_howA_wo#yaxi_nahIM_howA_wo#noun#2#RM
but_goodness	paranwu_he_BagavAn#paranwu_he_BagavAn#noun#2#RM
but_not_exceeding_in_any_case	lekina_kisI_hAlawa_meM__se_jyAxA_nahIM#lekina_kisI_hAlawa_meM__se_jyAxA_nahIM#noun#6#RM
but_then	kiMwu_yaha_bAwa_hE_ki#kiMwu_yaha_bAwa_hE_ki#noun#2#RM
butcher_board	mAzsa_kAtane_kA_waKwA#mAzsa_kAtane_kA_waKwA#noun#2#RM
butt_against	takkara_mAranA#takkara_mAranA#noun#2#RM
butt_end	sirA#sirA#noun#2#RM
butter_bean	batara_sema#batara_sema#noun#2#RM
butter_churn	makKana_maWAnI#makKana_maWAnI#noun#2#RM
butter_cookie	makKana_biskuta#makKana_biskuta#noun#2#RM
butter_dish	makKana_kA_vyaFjana#makKana_kA_vyaFjana#noun#2#RM
butterfly_collector	wiwalI_safgrAhaka#wiwalI_safgrAhaka#noun#2#RM
button_hole	kAja#kAja#noun#2#RM
buyback_facility	vApasa_KarIxane_kI_suviXA#vApasa_KarIxane_kI_suviXA#noun#2#RM
buying_agent	kraya_aiBakarwA_AjeMta#kraya_aiBakarwA_AjeMta#noun#2#RM
buying_information	kraya_sUcanA#kraya_sUcanA#noun#2#RM
buying_on_margin	mArjina_auFjAiSa_para_KarIxa#mArjina_auFjAiSa_para_KarIxa#noun#3#RM
buying_power	kraya_aarIxa_Sakwi#kraya_aarIxa_Sakwi#noun#2#RM
buying_rate	kraya_xara#kraya_xara#noun#2#RM
buyout_effort	KarIxane_ke_prayAsa#KarIxane_ke_prayAsa#noun#2#RM
buzz_bomb	gUzja_bama#gUzja_bama#noun#2#RM
bw_defense	jIva-vijFAnIya_yuxXa_se_bacAva#jIva-vijFAnIya_yuxXa_se_bacAva#noun#2#RM
by-law	upaviXi#upaviXi#noun#2#RM
by_a_long_shot	wukke_se#wukke_se#noun#4#RM
by_all_means	nissanxeha#nissanxeha#noun#3#RM
by_and_by	kramaSaH#kramaSaH#noun#3#RM
by_and_large	jahAz_waka_hE#jahAz_waka_hE#noun#3#RM
by_any_means	kisI_BI_prakAra_se#kisI_BI_prakAra_se#noun#3#RM
by_authority_of	ke_prAXikAra_se#ke_prAXikAra_se#noun#2#RM
by_beat_of_drum	xuggI_pitavAkara#xuggI_pitavAkara#noun#2#RM
by_certain_date	kisI_niyawa_wArIKa_waka#kisI_niyawa_wArIKa_waka#noun#3#RM
by_chance	kismawa_se#kismawa_se#noun#2#RM
by_command	ke_AxeSa_se#ke_AxeSa_se#noun#2#RM
by_command_of	ke_samAxeSa_se#ke_samAxeSa_se#noun#2#RM
by_count	gapranA_ke_anusAra#gapranA_ke_anusAra#noun#2#RM
by_courtesy_of	kI_kqpA_se#kI_kqpA_se#noun#2#RM
by_dint_of	ke_bala_para#ke_bala_para#noun#2#RM
by_dishonest_means	beWamAnI_se#beWamAnI_se#noun#3#RM
by_due_date	niyawa_wArIKa_waka#niyawa_wArIKa_waka#noun#3#RM
by_election	upa_cunAva#upa_cunAva#noun#2#RM
by_far	kahIM_aXika#kahIM_aXika#noun#2#RM
by_fits_and_starts	kaBI_kiyA_kaBI_nahIM#kaBI_kiyA_kaBI_nahIM#noun#4#RM
by_force	balapUrvaka#balapUrvaka#noun#2#RM
by_force_of	ke_bala_para#ke_bala_para#noun#2#RM
by_goods_train	mAlagAdI_se#mAlagAdI_se#noun#3#RM
by_hand	xaswI#xaswI#noun#2#RM
by_hook_or_by_crook	kisI_na_kisI_waraha_se#kisI_na_kisI_waraha_se#noun#5#RM
by_instalment	kiSwa_xvArA#kiSwa_xvArA#noun#2#RM
by_law	kAnunana#kAnunana#noun#2#RM
by_leaps_and_bounds	xina_xunI_rAwa_cOgunI#xina_xunI_rAwa_cOgunI#noun#4#RM
by_mates_and_bounds	mApa_Ora_sImAfkana_karake#mApa_Ora_sImAfkana_karake#noun#4#RM
by_means_of	ke_xvArA#ke_xvArA#noun#2#RM
by_mutual_agreement	paraspara_samaJOwe_xvArA#paraspara_samaJOwe_xvArA#noun#3#RM
by_no_means	kaBI_nahIM#kaBI_nahIM#UNDEFINED#1#RM
by_order	ke_AxeSa_se#ke_AxeSa_se#noun#2#RM
by_pass_lines	upamArga_lAineM#upamArga_lAineM#noun#3#RM
by_post	dAka_se#dAka_se#noun#2#RM
by_product	upaPala#upaPala#noun#2#RM
by_reason	ke_kAraNa#ke_kAraNa#noun#2#RM
by_reason_of	ke_kAraNa#ke_kAraNa#noun#2#RM
by_registered_post	rajistrI_se#rajistrI_se#noun#3#RM
by_return_of_post	vApasI_dAka_se#vApasI_dAka_se#noun#2#RM
by_right_of_office	paxAXikAra_se#paxAXikAra_se#noun#2#RM
by_special_messenger	viSeRa_sanxeSavAhaka_xvArA#viSeRa_sanxeSavAhaka_xvArA#noun#3#RM
by_the_bye	bAI_xa_ve#bAI_xa_ve#noun#3#RM
by_the_day	xina_ke_hisAba_se#xina_ke_hisAba_se#noun#3#RM
by_the_end_of_the_year	varRa_ke_anwa_waka#varRa_ke_anwa_waka#noun#3#RM
by_the_hand_of	ke_hAWa_se#ke_hAWa_se#noun#3#RM
by_the_hands_of	ke_hAWoM_se#ke_hAWoM_se#noun#3#RM
by_the_hour	GaNte_ke_hisAba_se#GaNte_ke_hisAba_se#noun#3#RM
by_the_name_of	ke_nAma_se#ke_nAma_se#noun#3#RM
by_the_order_of	ke_AxeSa_se#ke_AxeSa_se#noun#3#RM
by_the_side_of	ke_pAsa#ke_pAsa#noun#3#RM
by_the_way	prasafgavaSa#prasafgavaSa#noun#3#RM
by_this_time	abawaka#abawaka#noun#3#RM
by_turn	bArI_bArI_se#bArI_bArI_se#noun#2#RM
by_virtue_of	kI_vajaha_se#kI_vajaha_se#noun#2#RM
by_virtue_of_office	paxa_ke_nAwe#paxa_ke_nAwe#noun#2#RM
by_volume	Ayawana_ke_anusAra#Ayawana_ke_anusAra#noun#2#RM
by_way_of	ke_rAswe_se#ke_rAswe_se#noun#2#RM
by_weight	BAra_aajana_ke_anusAra#BAra_aajana_ke_anusAra#noun#2#RM
bye_election_by_election	upa_nirvAcana#upa_nirvAcana#noun#4#RM
bypass_condenser	upamArga_safGaniwra#upamArga_safGaniwra#noun#2#RM
byte_oriented_protocol	bAita_aBimuKI_protokoYla#bAita_aBimuKI_protokoYla#noun#3#RM
cabbage_bark	pawwAgoBI_kA_CilakA#pawwAgoBI_kA_CilakA#noun#2#RM
cabin_baggage	kebina_asabAba#kebina_asabAba#noun#2#RM
cabin_boy	koRTikA_kI_xeKa_BAla_karane_vAlA_AxamI#koRTikA_kI_xeKa_BAla_karane_vAlA_AxamI#noun#2#RM
cabin_conductor	kebina_kaNdaktara#kebina_kaNdaktara#noun#2#RM
cabin_cruiser	vihAra_kA_motarabota#vihAra_kA_motarabota#noun#2#RM
cabin_man	kebina_vAlA#kebina_vAlA#noun#2#RM
cabinet_member	manwrimaNdala-saxasya#manwrimaNdala-saxasya#noun#2#RM
cabinet_minister	manwrimaNdala_saxasya#manwrimaNdala_saxasya#noun#2#RM
cabinet_secretariat	manwrimaNdala-sacivAlaya#manwrimaNdala-sacivAlaya#noun#2#RM
cabinet_secretary	manwrimaNdala_saciva#manwrimaNdala_saciva#noun#2#RM
cable_car	bijalI_ke_wAroM_se_calane_vAlI_trAlI#bijalI_ke_wAroM_se_calane_vAlI_trAlI#noun#2#RM
cable_foreman	kebala_PuramEna#kebala_PuramEna#noun#2#RM
cable_guard	kebala_rakRaka#kebala_rakRaka#noun#2#RM
cable_jointer	kebala_yojaka#kebala_yojaka#noun#2#RM
cable_supervisor	kebala_paryavekRaka#kebala_paryavekRaka#noun#2#RM
cache_buffer	kESe_baPara#kESe_baPara#noun#2#RM
cache_memory	kESe_smqwi#kESe_smqwi#noun#2#RM
cadastral_surveyor	BUkara_sarvekRaka#BUkara_sarvekRaka#noun#2#RM
cadet_corps	kEdeta_kora#kEdeta_kora#noun#2#RM
cadmium_cell	kedamiyama_sela#kedamiyama_sela#noun#2#RM
cadre_register	saMvarga_rajistara#saMvarga_rajistara#noun#2#RM
cafeteria_chain	jalapAnagqha_SrqfKalA#jalapAnagqha_SrqfKalA#noun#2#RM
calcium_carbide	kelSiyama_kArbAida#kelSiyama_kArbAida#noun#2#RM
calcium_carbonate	kelSiyama_kArboneta#kelSiyama_kArboneta#noun#2#RM
calcium_chloride	kElsiyama_klorAida#kElsiyama_klorAida#noun#2#RM
calculating_machine	parikalana_yanwra#parikalana_yanwra#noun#2#RM
calculating_machine_operator	parikalana_yanwra_pracAlaka#parikalana_yanwra_pracAlaka#noun#3#RM
calculating_machine_supervisor	parikalana_yanwra_paryavekRaka#parikalana_yanwra_paryavekRaka#noun#3#RM
calculation_of_interest	byAja_kA_parikalana#byAja_kA_parikalana#noun#1#RM
calculation_of_means	sAXanoM_kI_gapranA#sAXanoM_kI_gapranA#noun#1#RM
calculator_chip	parikalika_cipa#parikalika_cipa#noun#2#RM
calendar_month	kEleMdara_mAsa#kEleMdara_mAsa#noun#2#RM
calendar_of_returns	vivaraprI_dAyarI#vivaraprI_dAyarI#noun#1#RM
calendar_variations	wiWijanya_parivarwana#wiWijanya_parivarwana#noun#2#RM
calendar_year	kEleMdara_varRa#kEleMdara_varRa#noun#2#RM
calender_month	kEleMdara_mAsa#kEleMdara_mAsa#noun#2#RM
calender_of_returns	vivaraprI_dAyarI#vivaraprI_dAyarI#noun#1#RM
calf_bone	piMdalI_kI_haddI#piMdalI_kI_haddI#noun#2#RM
calf_roping	baCade_ko_pakadanA#baCade_ko_pakadanA#noun#2#RM
calico_bush	kAlamiyA_JAdI#kAlamiyA_JAdI#noun#2#RM
call_book	koYla_buka#koYla_buka#noun#2#RM
call_box	sArvajanika_xUraBARa_kakRa#sArvajanika_xUraBARa_kakRa#noun#2#RM
call_by_name	nAma_xvArA_AhavAna#nAma_xvArA_AhavAna#noun#3#RM
call_by_reference	sanxarBa_AhavAna#sanxarBa_AhavAna#noun#3#RM
call_by_value	mAna_AhavAna#mAna_AhavAna#noun#3#RM
call_by_variables	cara_AhvAna#cara_AhvAna#noun#3#RM
call_deposit	mAfga_jamA#mAfga_jamA#noun#2#RM
call_for_an_explanation	javAba_walaba_kiyA_jAe#javAba_walaba_kiyA_jAe#noun#4#RM
call_gate	bulAne_vAla_xaravAjA#bulAne_vAla_xaravAjA#noun#2#RM
call_in_arrear	bakAyA_mAfga#bakAyA_mAfga#noun#3#RM
call_in_arrears	Seyara_mAfga_kI_bakAyA_rASi#Seyara_mAfga_kI_bakAyA_rASi#noun#3#RM
call_loans	SIxa_aAvaXi_karja_apra#SIxa_aAvaXi_karja_apra#noun#2#RM
call_money	mAfga_rASi#mAfga_rASi#noun#2#RM
call_money_market	mAfga_muxrA_Aravya#mAfga_muxrA_Aravya#noun#3#RM
call_notice	mAfga_notisa#mAfga_notisa#noun#2#RM
call_on_capital	pUzjI_kI_mAfga#pUzjI_kI_mAfga#noun#3#RM
call_option	KarIxa_kA_vikalpa#KarIxa_kA_vikalpa#noun#2#RM
call_paid_in_advance	mAfga_pUrva_axAyagI#mAfga_pUrva_axAyagI#noun#4#RM
call_rate	SIxa_aAvaXi_byAja_xara#SIxa_aAvaXi_byAja_xara#noun#2#RM
call_the_tune	nIlAmI_ke_samaya_bolI_lagAnA#nIlAmI_ke_samaya_bolI_lagAnA#noun#3#RM
call_unpaid	axawwa_mAfga#axawwa_mAfga#noun#2#RM
call_upon_to_show_cause	kAraNa_bawAne_ko_kahA_jAe#kAraNa_bawAne_ko_kahA_jAe#noun#5#RM
callable_bond	prawixeya_bANda_aanXapawra#prawixeya_bANda_aanXapawra#noun#2#RM
callable_preferred_stock	mAfgaxeya_aXimAnya_stAka#mAfgaxeya_aXimAnya_stAka#noun#3#RM
called_up_capital	mAfgI_IulAyI_gayI_pUFjI#mAfgI_IulAyI_gayI_pUFjI#noun#3#RM
calling_over	praviiRta_anxarAja_milAna#praviiRta_anxarAja_milAna#noun#2#RM
calm_air	SAnwa_havA#SAnwa_havA#noun#2#RM
calorie_chart	kElorI_sAraNI#kElorI_sAraNI#noun#2#RM
camera_angle	kEmarA_koNa#kEmarA_koNa#noun#2#RM
camera_attendant	kEmarA_paricara#kEmarA_paricara#noun#2#RM
camera_care	kEmare_kA_raKa_raKAva#kEmare_kA_raKa_raKAva#noun#2#RM
camp_bed	saParI_KAta#saParI_KAta#noun#2#RM
camp_chair	Sivira_kursI#Sivira_kursI#noun#2#RM
camp_clerk	Sivira_lipika#Sivira_lipika#noun#2#RM
camp_commandant	kEMpa_kamaMAdeMta#kEMpa_kamaMAdeMta#noun#2#RM
camp_officer	Sivira_aXikArI#Sivira_aXikArI#noun#2#RM
campaign_account	aBiyAna_kA_vivaraNa#aBiyAna_kA_vivaraNa#noun#2#RM
campaign_aide	aBiyAna_maxaxagAra#aBiyAna_maxaxagAra#noun#2#RM
campaign_effort	aBiyAna_prayAsa#aBiyAna_prayAsa#noun#2#RM
campaign_message	aBiyAna_sanxeSa#aBiyAna_sanxeSa#noun#2#RM
campaign_money	aBiyAna_kA_pEsA#aBiyAna_kA_pEsA#noun#2#RM
campaign_officer	aiBayAna_aXikArI#aiBayAna_aXikArI#noun#2#RM
camphor_ball	kapUra_kI_golI#kapUra_kI_golI#noun#2#RM
camping_area	kEMpa_kA_AyAma#kEMpa_kA_AyAma#noun#2#RM
camping_bus	Sivira_ke_lie_jAne_vAlI_basa#Sivira_ke_lie_jAne_vAlI_basa#noun#2#RM
can_buoy	kanaswara_kA_cihna#kanaswara_kA_cihna#noun#2#RM
can_not_be_over_emphasised	isake_mahawva_ke_bAre_meM_aXika_kahane_kI_AvaSyakawA_nahIM#isake_mahawva_ke_bAre_meM_aXika_kahane_kI_AvaSyakawA_nahIM#noun#5#RM
canal_officer	nahara_aXikArI#nahara_aXikArI#noun#2#RM
canalised_funds	ejeMsiyoM_ke_mAXyama_se_xI_gayI_niXiyAM#ejeMsiyoM_ke_mAXyama_se_xI_gayI_niXiyAM#noun#2#RM
canalised_imports	ejeMsI_ke_mAXyama_se_AyAwa#ejeMsI_ke_mAXyama_se_AyAwa#noun#2#RM
canalised_item	ejeMsI_mAXyama_vAlI_maxa#ejeMsI_mAXyama_vAlI_maxa#noun#2#RM
canalised_list	ejeMsI_mAXyama_sUcI#ejeMsI_mAXyama_sUcI#noun#2#RM
canalising_agency	mAXyama_aaXyasWa_ejeMsI#mAXyama_aaXyasWa_ejeMsI#noun#2#RM
canary_bird	kEnerI_pakRI#kEnerI_pakRI#noun#2#RM
cancel_button	nirasana_batana#nirasana_batana#noun#2#RM
cancellation_of_allotment	AbaNtana_raxxa_karanA#AbaNtana_raxxa_karanA#noun#1#RM
cancellation_of_indent	iMdeMta_aAfgapawra_raxxa_karanA#iMdeMta_aAfgapawra_raxxa_karanA#noun#1#RM
cancellation_of_licence	lAiseMsa_nirasana#lAiseMsa_nirasana#noun#1#RM
cancellation_of_registration	paFjIyana_aajistrI_rama_karanA_Airasana#paFjIyana_aajistrI_rama_karanA_Airasana#noun#1#RM
cancelled_accounts	niraswa_aama_leKe#niraswa_aama_leKe#noun#2#RM
cancelled_draft	raxxa_drAPta#raxxa_drAPta#noun#2#RM
cancelled_notes	rama_airaswa_nota#rama_airaswa_nota#noun#2#RM
cancelled_notes_account	niraswa_aama_nota_leKA#niraswa_aama_nota_leKA#noun#3#RM
cancelled_notes_bag	rama_airaswa_naWaAtoM_kA_WElA_AorA#rama_airaswa_naWaAtoM_kA_WElA_AorA#noun#3#RM
cancelled_notes_list	rama_airaswa_nota_sUcI#rama_airaswa_nota_sUcI#noun#3#RM
cancelling_date	nirasana_aama_karane_kI_wArIKa#nirasana_aama_karane_kI_wArIKa#noun#2#RM
cancer_cell	kEMsara_koSikA#kEMsara_koSikA#noun#2#RM
cancer_surgeon	kEMsara_sarjana#kEMsara_sarjana#noun#2#RM
candid_camera	sarala_kEmarA#sarala_kEmarA#noun#2#RM
candy_cane	kEMdI_beMwa#kEMdI_beMwa#noun#2#RM
candy_corn	misarI_makaI#misarI_makaI#noun#2#RM
candy_egg	kEMdI_aNdA#kEMdI_aNdA#noun#2#RM
cane_binder	beMwasAja#beMwasAja#noun#2#RM
cane_blight	gannA_afgamArI#gannA_afgamArI#noun#2#RM
cane_development_officer	WaKa_vikAsa_aXikArI#WaKa_vikAsa_aXikArI#noun#3#RM
cane_development_society	ga_anA_vikAsa_samiwi#ga_anA_vikAsa_samiwi#noun#3#RM
canker_brake	nAsUra_niyanwraNa#nAsUra_niyanwraNa#noun#2#RM
cannon_ball	wopa_kA_golA#wopa_kA_golA#noun#2#RM
cannon_bone	nalI_kI_haddI#nalI_kI_haddI#noun#2#RM
canoe_cedar	kEnoya_xevaxAra#kEnoya_xevaxAra#noun#2#RM
canonic_system	sExXAnwika_praNAlI#sExXAnwika_praNAlI#noun#2#RM
canonical_derivation	vihiwa_vyuwpAxana#vihiwa_vyuwpAxana#noun#2#RM
canonical_form	kEnoYnikala_prArUpa#kEnoYnikala_prArUpa#noun#2#RM
canonical_order	vihiwa_krama#vihiwa_krama#noun#2#RM
canons_of_financial_propriety	vwwiIya_Ociwya_ke_sixXAnwa#vwwiIya_Ociwya_ke_sixXAnwa#noun#1#RM
canons_of_natural_justice	nEsargika_nyAya_ke_sixXAnwa_aiBaniyama#nEsargika_nyAya_ke_sixXAnwa_aiBaniyama#noun#1#RM
cant_dog	kEMta_kuwwA#kEMta_kuwwA#noun#2#RM
canteen_adviser	kEMtIna_salAhakAra#kEMtIna_salAhakAra#noun#2#RM
canteen_manager	kEMtIna_prabanXaka#kEMtIna_prabanXaka#noun#2#RM
canteen_supervisor	kEMtIna_paryavekRaka#kEMtIna_paryavekRaka#noun#2#RM
