??equivalent_noun	wulyAfka
compacting_noun	saMhanana/saMhawikaraNa
compaction_noun	saGanawA/saMhanana/safGanana
companding_noun	sampIda_prasAraNa
compandor_noun	kampendara/sampIdana_prasAriwra/sampIda_prasAriwra
companion_noun	sAWI/sahacara
comparable_noun	wulya/wulanIya
comparator_noun	wulaniwra/kamperetara/wulanAkArI
compare_noun	wulanA_karanA
comparer_noun	milAnakarwA
comparison_noun	wulanA/milAna
compartment_noun	kakRa/upaKaNda/KAnA/rela_dibbA
compass_noun	kuwubanumA/xivasUcaka/kampAsa/xiksUcaka
compassion_noun	anukampA
compassionate_noun	anukampA
compatibility_noun	safgawawA/susafgawa/susafgawi
compatible_noun	safgawa/anukUla/anurUpa/saMyojya/susafgawa
compel_noun	vivaSa_karanA
compendium_noun	sAra_safgraha/sAra-safgraha
compensating_noun	prawikArI
compensation_noun	kRawipUrwi/harjAnA/muAvajA/prawipUrwi/prawikAra/prawipUraNa
compensator_noun	kRawipUraka/prawipUraka
compere_noun	paricAyaka
competence_noun	sakRamawA
competency_noun	sakRamawA/kRamawA
competent_noun	sakRama
compilation_noun	safkalana
compile_noun	safkalana_karanA
compiler-compiler_noun	safkalana_safkalana
compiler_noun	anuBARaka/safkalaka/kramAxeSa_amwaraka/safkalanakarwA
compilition_noun	anuBARaNa
compilor_noun	kramAxeSa_anwaraka
complainant_noun	parivAxI/SikAyawakarwA
complaint_noun	SikAyawa/parivAxa/parivAxa(viXi)
complanate_noun	cOrasa/samawala
complement-on-nine_noun	nO_pUraka
complement-on-one_noun	eka_pUraka
complement-on-ten_noun	xasa-pUraka
complement-on-two_noun	xo_pUraka
complement_noun	pUraka/koYmplImeMta
complementary_noun	pUraka
complementer_noun	pUraka
complementing_noun	pUrakIkaraNa
complete_noun	pUrNa/pUrA_karanA/samApwa_karanA/pUrA/samApwa
completeness_noun	pUrNawA
completion_noun	samApwi/sampUrNawA
complex_noun	jatila/parisara/sammiSra
complexity_noun	jatilawA/safkliRtawA
compliance_noun	anupAlana/pAlana
complicated_noun	jatila/ulaJA_huA/pecIxA
compliment_noun	praSaMsA/praSaMsA_karanA/baXAI_xenA/samAxara
complimentary_noun	mAnArWa
component_noun	avayava/Gataka/safGataka
components_noun	Gataka
composite_noun	miSriwa/sammiSra/saMyukwa
composition_noun	racanA/nirmANa/miSraNa/safmmaSraNa/safGatana/gaTana_praSamana(_Na_kA)/saMyojana/saMracanA
compositor_noun	kampojItara
compost_noun	kamposta/kUdA_KAxa
compound_noun	yOgika/saMyukwa
compounder_noun	kampAuNdara
comprehensive_noun	vyApaka/bqhawa
compress_noun	sampIdana/saNdIpana
compressed_noun	sampIdiwa
compressibility_UNDEFINED	sampIdyawA
compressibility_noun	sampIdyawA/coefficient_sampIdyawA_guNAfka
compressible_UNDEFINED	sampIdya
compressible_adjective	sampIdya
compression_noun	sampIdana
compressive_UNDEFINED	sampIdana
compressive_noun	sampIdaka
compressor_noun	kamprESara/sampIdaka
comprise_noun	samAviRta_karanA/sammiliwa_karanA/vyApwa_karanA,
compromise_noun	samaJOwA/samaJOwA_karanA
compulsory_noun	anivArya
computability_noun	aBikalanIyawA
computation_noun	aBikalana
computational_noun	aBikalanI/parikalanAwmaka
computationally_noun	aBikalanIyawa:
compute_noun	safgaNana_karanA/safgaNanA
computer-dependent-language_noun	kampyUtara_AXAriwa_BARA
computer_noun	kampyUtara/aBikaliwra/afBakaliwra
computerability_noun	kampyUtara_nIyawA
computerist_noun	kampyUtaravixa
computerization_noun	aBikaliwrIkaraNa/kampyUtarIkaraNa
computerize_noun	kampyUtarIkaraNa_karanA
computing_noun	aBikalana
comsat_noun	kAmasEta/saFcAra_upagraha
concalivation_noun	safGatta_viBexana
concatenate_noun	saMSrqfKalana
concatenation_noun	saMSqfKalana/saMSrqfKalana/SrqfKalAbanXana/saMyojana
concave_noun	avawala
concentrate_noun	gADA/sAnxra/sAnxra_safkeMxriwa_BAra
concentration_noun	ekAgrawA/safkeMxraNa/safkexraNa/sAnxrawA
concentrator_noun	safkeMxraka/sAnxraka/safkeMxriwra
concentric_noun	safkeMxrI
concept_noun	avaXAraNA/safkalpanA/parikalpanA/XAraNA
conception_noun	safkalpanA
conceptual_noun	safkalpanAwmaka
conceptually_UNDEFINED	safkalpanAwmaka_rUpa_meM
concern_noun	prawiRTAna/sarokAra/ciMwA
concerted_noun	samanviwa
concession_noun	CUta/riyAyawa
conciliation_noun	milAna/samAXAna/sulaha
conclusion_noun	niRkarRa/anwa/pariNAma
conclusive_noun	niScayAwmaka/niScAyaka
conclusively_noun	nirNAyaka_rUpa_se/anwima_rUpa_se
concomitant_noun	susafgawa/anurUpa/saxqSa
concordance_noun	sAmaFjasya/susafgawawA
concordant_noun	susafgawa/susvara/anuswarI
concourse_noun	jamAva
concrete_noun	mUrwa
concreting_noun	kafkrItana
concur_noun	sahamawa_honA
concurrence_noun	sahamawi
concurrency_noun	samarUpawA/sahasafgawA/safgamana
concurrent_adjective	safgAmI
concurrent_noun	safgAmI/samarUpI
concurrently_noun	sAWa-sAWa
condemn_noun	anupayogI_GofRawa_karanA/xaNdanIya_GofRawa_karanA/niMxA_karanA
condensant_noun	xravaNI
condensate_noun	xrAva/safGaniwa
condensation_noun	safGanana/xravaNa
condensed_noun	safGaniwa/xraviwa
condenser_noun	kaNdeMsara/xraviNawra/safGaniwra/safGAriwra/samBAriwa_(bijalI)/xravaNiwra/parikaliwra/sanXAriwra/kaNdensara/xravINawra
condition_noun	prawibanXa/avasWA/parisWiwi/sWiwi/samaprawibala_prawibanXa/Sarwa/prawibanXa_xaSA/fsWfAwa
conditional_noun	saSarwa
conditioning_noun	prAnukUlana/prawibanXana
condolence_noun	samavexanA/Soka
condone_noun	mAPa_karanA
conduct_noun	AcaraNa/saFcAliwa_karanA/vyavahAra/saFcAlana
conductance_noun	cAlakawva
conduction_noun	cAlana/saFcaraNa
conductivity_noun	cAlakawA/saMvAhakawA
conductor_noun	cAlaka/kaNdaktara/saFcAlaka(kAryakrama_kA)/saMvAhaka/kaNdaktara(jEse_basa_kA)
conduit_noun	kaNdyUta/vAhaka_nalI
conduits_noun	nalikA/galI/nala/vAhikA
cone_noun	Safku
confer_noun	praxAna_karanA/vicAra-vimarSa_karanA
conference_noun	sammelana
conferencing_noun	xUra_sammelana
conferred_noun	praxawwa
confession_noun	ikabAla/saMsvIkqwi(viXi)
confidence_noun	viSvAsa/BarosA
confidential_noun	gopanIya/anwarafga
confidentiality_noun	gopanIyawA
configuration_noun	aBivinyAsa/vinyAsa/saMrUpaNa
configure_noun	saMrUpaNa
confinement_noun	pariroXa/prasUwi
confirm_noun	pufRta_karanA/puRti_karanA
confirmation_noun	pufRta/sWAyIkaraNa/puRtikaraNa/sampuRti
confiscation_noun	aXiharaNa/jabwI
conflict_noun	safGarRa/viroXa
confluence_noun	safgama
conformity_noun	anurUpawA/anukUlawA
congeneric_noun	sahowpanna
congestion_noun	safkulana
conical_noun	Safkurupa
coning_noun	Safkvana/koniMga/SafKana
conjecture_noun	anumAna/kalpanA/atakalabAjI
conjuctive_noun	saMyojaka/saMyukwa
conjugate_noun	saMyugmI
conjunction_noun	safgamana/saMyogI/yuwi/saMyojana
connect_noun	sambanXana/saMyojana/sambaxXa_karanA/jodanA
connected_noun	sambanXiwa/sambaxXa
connecting_adjective	sambaxXa
connection_noun	sambanXa/sambanXana/(sI.sI.)_sambanXana/saMyojana/samparka
connectivity_noun	saMyojakawA/sambanXawA
connector_noun	kanektara/sambanXaka/yojaka/yojI/anuyojaka
connivance_noun	milIBagawa/mOnAnukUlawA(viXi)
conoidal_noun	SafkuBi
conscience_noun	anwa:karaNa
conscription_noun	anivArya_sEnika_BarwIZ
consecutive_noun	kramAgawa/kramika/lagAwAra
consensus_noun	mawEkya/sahamawi
consent_noun	sahamawi
consequence_noun	pariNAma/Pala
consequent_noun	anuvarwI/anuvarwIZ/pariNAmI
consequently_noun	wawpaScAw
conservancy_noun	mala_saPAI
conservation_noun	saMrakRaNa
conservative_adjective	saMrakRI
conservative_noun	saMrakRI/rUDa
conservator_noun	saMrakRaka/kaFjavetarra
consider_noun	vicAra_karanA
considerable_noun	kAPI/viSeRa/mahawvapUrNa/vicAraNIya
considerably_noun	awyaXika/bahuwa
consideration_noun	prawiPala/vicAra/vicAra_ke_lie/vicAra_prawiPala
consignee_noun	parefRawI/pareRiwI/prApwakarwA/preRiwI
consigner_noun	preRaka
consignment_noun	pareRaNa/preRiwa_sAmAna/Kepa
consignor_noun	pareRaka
consist_noun	samAviRta_karanA
consistence_noun	vinyAsa/safgawi/sAmaFjasya/gADApana
consistency_noun	susafgawi
consistent_noun	ekarUpa/safgawa
console_noun	kaMsola/kansola
consolidate_noun	samekiwa
consolidation_noun	cakabanxI/samekana/suxqDIkaraNa/sampiMdana/GanIkaraNa/safGanana
consolidator_noun	samekaka
consolidometer_noun	sampiMdana_mApI
consortium_noun	kansortiyama/safGa/samUha
conspectus_noun	xigxarSana/sanxarSikA/safkRipwa_vivaraNa
conspicuous_noun	sahaja_xqSya/XyAnAkarRIZ
conspicuously_noun	spaRtarUpeNa
conspiracy_noun	RRadyanwra
constable_noun	sipAhI/kAMstebala
constancy_noun	sWirawA/niyamiwawA
constant_noun	niyawAfka/sWirAfka/sWira/niranwara
constantan_UNDEFINED	kAnsatentana
constellation_noun	wArA-maNdala/wArA_samUha
constellations_noun	wArAmaNdala
constituency_noun	nirvAcana_kRewra
constituent_noun	avayava/racaka/safGataka/Gataka
constituents_noun	avayava
constitute_noun	gaTana_karanA/gaTiwa_karanA
constitution_noun	safGatana/gaTana/saMviXAna/saMracanA/viXAna/niyama/vyavasWA
constraint_noun	avaroXa/bAXA/prawibanXiwa/vyavaroXa
constraints_noun	adacana/bAXyawAeM_xabAva
constriction_noun	safkIrNA
construction_noun	nirmANa/racanA
constructive_noun	racanAwmaka/pralakRiwa(jEse_supurxagI)
constructor_noun	saMracaka
construe_noun	arWa_lagAnA/samaJanA
consul_noun	kAMsula
consulate_noun	kAMsulAvAsa
consultancy_noun	parAmarSa....
consultant_noun	parAmarSaxAwA/parAmarSI/salAhakAra
consultation_noun	parAmarSa/salAha
consume_noun	upaBoga_karanA/KapanA
consumer_noun	upaBokwA
consummable_noun	upaBogya_sAmagrI
consumption_noun	Kapawa/upaBoga/vyaya
contact_noun	samparka/saMsparSa/sparSa
contactor_noun	samparkiwra
contagious_noun	sAMsagika
contain_noun	anwarviRta/anwarviRta_karanA/samAviRta_karanA
container_noun	AXAna/XAraka/pAwra
contaminate_noun	sanxUfRawa_karanA
contaminated_noun	sanxURiwa
contamination_noun	sanxURaNa/sanxURMMANa
contemplated_noun	avekRiwa/vicAra_karanA_apekRiwa
contemporaneous_noun	samakAlIna
contemporary_noun	samakAlIna/samasAmayika/samakAlika
contended_noun	vivAxa_karanA
content_noun	anukramaNikA/viRaya-vaswu/anwarvaswu/aMSa
contention_noun	prayoga_prawisparXA/vivAxa/xAvA/prawiviroXa_(viXi)
contents_noun	anwarvaswu/viRaya-sUcI/viRaya-vaswu/viRaya_sUcI/aMSa
contest_noun	vivAxa/prawiyogiwA/ladanA(jEse_nirvAcana)
context-sensitive_noun	sanxarBa_sugrAhI
context_noun	prasafga/sanxarBa/sanxaBa/prakaraNa
contiguous_noun	saMsakwa/satA_huA/nikatasWa
continental_noun	mahAxvIpI/mahAxeSI
contingencies_noun	Akafsmaka_vyaya/Akasmika_vyaya/AkasmikawAeM/samBAvyawA/prAsafgikawA
contingency_noun	Akasmika/AkasmikawA/samBAvya_fsWfAwa/AkafsmakawA
contingent_noun	Akasmika/prAsafgika/sAMyogika/tukadI/xala/Akafsmaka/samAfSrawa_(viXi)
continuation_noun	sAwawya/jArI_raKanA
continue_noun	viwawa/sawawa
continued_noun	kramAgawa
continuous_noun	jArI/sanwawa/aKaNda/aviCinna/avirawa/sawawa/lagAwAra/niranwara
contour_noun	kaNtUra/parireKA/samocca/samocca_reKA
contra-injection_noun	prawi-anwa:kRepaNa
contraband_noun	vinifRaxXa
contract_noun	TekA/saMvixA
contraction_noun	safkucana/sankucana
contractor_noun	TekexAra/saMvixAkAra
contradict_noun	prawivAxa_karanA/KaNdana_karanA
contradiction_noun	prawivAxa/KaNdana/visafgawi/viroXa
contradictory_noun	viroXAwmaka
contrary_noun	prawikUla/viparIwa
contrast_noun	viparyAsa_vyawireka/viparyAsa/vyawireka/kantrAsta
contravention_noun	KaNdana/ullafGana
contribution_noun	aMSaxAna/canxA_yogaxAna/yogaxAna
control_noun	niyanwraNa/sAmAnya_xaSA
controlled_noun	niyanwriwa
controller_noun	niyanwraka
controversial_noun	vivAxAspaxa
controversy_noun	vivAxa
convection_noun	saMvahana
convective_UNDEFINED	saMvAhaka
convene_noun	saMyojana_karanA/bulAnA_(bETaka)
convener_noun	saMyojaka
convenience_noun	suviXA
convenient_noun	suviXAjanaka
convention_noun	paripAtI/rUfDa/samAgama/afBasamaya/paxXawi/samaJOwA
conventional_noun	paramparAgawa/pAramparika/rUDa/rUfDagawa
convergence_noun	aBisaraNa/aBisAriwA
convergent_noun	aBisArI
conversation_noun	saMvAxa
conversational_noun	saMvAxI
converse_noun	uwkrama/viloma
conversion_noun	parivarwana/rUpAnwaraNa
convert_noun	parivarwiwa_karanA/samparivarwiwa_(viXi)
converter_noun	parivarwaka/parivarwiwra/kavartara
convertor_noun	samparivarwaka
convex_noun	uwwala
convey_noun	le_jAnA/sUciwa_karanA/saMvahana/pahucAnA/haswAnwaraNa_karanA_(viXi)
conveyancer_noun	haswAnwaraNa_leKaka/haswAnwaraka
conveyer_noun	vahiwra/vAhaka/kanveyara
conveyor_noun	saMvAhaka/vAhaka/vAhiwra
convict_noun	sixXaxoRa/sixXaxoRa_TaharAnA
conviction_noun	xoRa_sixXi/xqDa_XAraNA
convocation_noun	xIkRAnwa_samAroha
convolution_noun	saMvalana
cook_noun	rasoiyA/bAvarcIZ
cookmate_noun	sahAyaka_rasoiyA
coolant_noun	SIwaka_xravya/kulenta/SIwalaka
cooler_noun	SIwaka/kUlara/SIwaliwra/SIwala_yanwra
cooling_noun	SIwalana
cooperation_noun	sahayoga/sahakAriwA
cooperative_noun	sahakArI/sahayogaSIla
coopt_noun	sahayojiwa_karanA
coopted_noun	sahayojiwa
coordinate_noun	nirxeSAfka/samanviwa_karanA/samanvayana
coordination_noun	samanvaya/wAlamela
coordinator_noun	saFcAlaka/samanvayaka/samanvayI/samanvayakarwA
coowner_noun	sahasvAmI
copartner_noun	sahaBAgIxAra
copernican_UNDEFINED	koparanikasa
coplanar_UNDEFINED	eka_hI_wala_meM
copolymerization_noun	saha-bahulakIkaraNa
copper_noun	wAmbA/wAmra
coprecipitation_noun	sahaavakRepaNa
coprocessor_noun	saha-prakramaka
copy_noun	prawilipi/nakala/prawi/kApI
copyright_noun	koYpIrAita/svawvAXikAra/prakASanAXikAra/sarvAXikAra
cord_noun	dorI/wAra/koYrda
cordial_noun	sOhArxapUrNa
cordite_noun	kordAita
core_noun	bIjakoRa/kora/kroda/krora
corelated_noun	sahasambaxXa
coriander_noun	XaniyA
corner_noun	mqwyu_samIkRaka/kAronara
cornice_noun	kArnisa
corollary_noun	upaprameya
corona_noun	koronA/praBAmaNdala/kirIta
coronal_noun	praBAmaNdalIya
coronograph_noun	praBAmaNdalaleKI/koronogrAPa
corporal_noun	kAporala
corporation_noun	nigama
corps_noun	kora
corpuscular_UNDEFINED	kaNikA
corpuscular_noun	kaNikA
correction_noun	BUla-suXAra/suXAra/xoRa-suXAra/saMSoXana/saMSuxXi
correlate_noun	paraspara_sambanXa_karanA
correlated_noun	sahasambanXiwa
correlation_noun	sahasambanXa/sahasambanXana
correspond_noun	pawra_vyavahAra_karanA/pawrAcAra_karanA/samarUpa_honA/mela_KAnA/samAna_honA
correspondence_noun	pawrAcAra/pawravyavahAra/safgawi
correspondent_noun	saMvAxaxAwA/samparkI
corresponding_adjective	waxanurUpa
corresponding_noun	safgawa/waxanurUpa/waxanusAra
corrigendum_noun	SuxfXa-pawra/BUla_suXAra/SuxXi-pawra
corroborate_noun	sampufRta_karanA
corroboration_noun	sampufRta
corrosion_noun	safkRAraNa
corrosive_noun	safkRAraka/safkRArI
corrosivity_noun	safkRArakawA
corrugation_noun	nAlIxAra
corrupt_noun	BraRta/BraRta_karanA
corrupted_noun	anupayogI/BqRta
corruption_noun	BraRtAcAra
cortex_noun	valkuta
coset_noun	sahasamuccaya
cosine_UNDEFINED	kojyA
cosmic_noun	kAsmika/brahmANdIya/anwarikRa
cosmogenic_noun	brahmANdajaniwa/koYsmika_kiraNajaniwa
cosmology_noun	brahmANda_vijFAna/brahmANdikI
cost_noun	lAgawa
costing_noun	lAgawa_nirXAraNa
costs_noun	lAgawa
cotton_noun	kapAsa
cotyledon_noun	bIjapawra_(navajAwa_pOXoM_kI_pawwiyAM)
coulometer_noun	kUlomApI/kUlomItara
coulometry_noun	kUloYmiwi
council_noun	pariRax
councillor_noun	pArRaxa
counsel_noun	kAuMsala/parAmarSa_xenA/manwraNA_xenA/kAuMsela
counselling_noun	parAmarSa_sevA/parAmarSa/upaboXana
counsellor_noun	parAmarSaxAwA
count_noun	gaNanA/ginanA/gaNanA_karanA/ginawI/gaNanAfka
countable_noun	gaNanIya
countepart_noun	pUra_ka
counter-claim_noun	prawixAvA
counter_noun	gaNaka/kAuNtara/gaNiwra/patala/prawi/javAbI
counteract_noun	prawikAra
counterbalance_noun	prawi-sanwulana
counterclockwise_UNDEFINED	vAmAvarwa
counterfeiting_noun	kUtakaraNa
counterfoil_noun	prawiparNa/aXapannA
countermeasure_noun	prawyupAya
counterpart_noun	prawisWAnI/sampUraka
countersign_noun	prawihaswAkRara_karanA
countersignature_noun	prawihaswAkRara
couple_noun	balayugma/yugma
coupled_noun	yugma/yugmiwa
coupler_noun	yugmaka/kaplara/yojaka
coupling_noun	yugmana/kapaliMga/yugmaka
coupon_noun	kUpana
courier_noun	kUriyara/vArwAhara
course_noun	mArga/xiSA/krama/viXi/prakriyA/pATyakrama/swara/parawa/raxxA/paWa
court_noun	nyAyAlaya/korta
courtesy_noun	sOjanya/SiRtAcAra
courting_noun	AvaraNa/Dakkana
covalent_UNDEFINED	sahasaMyojI
covariance_noun	sahaprasaraNa
covariant_noun	sahaparivarwI
covariation_noun	sahavicaraNa
covenant_noun	prasaMvixA
cover_noun	AcCAxana/Avqwwa/AvaraNa/liPAPA
coverage_noun	prasAraNa_kRewra/vyApwi/AcCAxana/vyApwi_kRewra/praRAraNa
covered_noun	Avqwa
covering_noun	AvaraNa/AcCAxana/parASa
cowpea_noun	lobiyA
cpm_noun	sI._ema._ema._(krAnwika_paWa_viXi)
crack_noun	xarAra
craftsman_noun	SilpakAra/SilpI
cranage_noun	krena_BAdA
crane_noun	krena
craneman_noun	krenamEna
crank_noun	krEMka
crash_noun	GvaMsa/xurGatanA/XvaMsa
crater_noun	kretara
create_noun	racanA/sqjana
creche_noun	SiSu_saxana/bAlavAdI
credibility_noun	viSvasanIyawA/sAKa
credit_noun	jamA/sAKa/uXAra/prawyaya/kredita
creditable_noun	praSaMsanIya/sarAhanIya
creditor_noun	lenaxAra/_NaxAwA
creditors_noun	lenaxAra/qNaxAwA
creep_noun	sapaMNa/visarpaNa/manxa_virUpaNa
creeper_noun	bela
crest_noun	SIrRa/SiKara
crestal_noun	SIrRa
cretaceous_noun	kriteSiyasa
crew_noun	karmIxala
crime_noun	aparAXa
crisis_noun	safkata/ApAwa/safkatAvasWA
criteria_noun	kasOtI/mAnaxaNda/mApaxaNda
criterion_noun	mAnaxaNda/kasOtI/nikaRa
critical_adjective	krAnwika
critical_noun	krAnwika/mahawvapUrNa/samIkRAwmaka/nAjuka_sWiwi
crop_noun	Pasala
cropland_noun	KewIBUmi/SasyaBUmi
cropping_noun	Pasala_ugAnA/xqSyAMSana
crore_UNDEFINED	karoda
cross-correlation_noun	vyawi_sahasambanXa
cross-fertilization_noun	para-niSecana
cross-infectivity_noun	para-safkrAmyawA
cross_noun	kroYsa_lagAnA/safkara/kAta_xenA/safkaraNa
crosse_UNDEFINED	kroYsiwa/gujarawe
crossing_noun	pAra-paWa/krAsiMga
crowbar_noun	sabbala
crowding_noun	aXisafKyana
crt_noun	sIAratI
crucial_noun	kaTina/vikata/nirNAyaka
crude_noun	kaccA/apariRkqwa/aSoXiwa/apariRkrawq
cruise_noun	pariBramaNa
crumb_noun	mqxukaNa
crush_noun	sanxalana/pIsanA
crushed_noun	sanxaliwa
crusher_noun	xaliwra
crushing_noun	xalana
crust_noun	papadI/BU-pqRta/parpatI
crusting_noun	papadI_jamanA
cryobank_noun	krAyobEMka
cryogen_noun	nimna_wApa/krAyojana
cryogenic_noun	nimnawApIya
cryogenics_noun	nimnawApikI/krAyojenikI
cryology_noun	nimna_wApa_vijFAna
cryostat_noun	nimnawApasWApI
cryotron_noun	krAyotroYna
cryotronics_noun	nimnawApa_ilektrAnikI/krAyotronikI
cryptographic_noun	gUDAleKI
cryptography_noun	gUDaleKana/gUDa_leKikI/gUDaleKikI/kriptogrAPika
crystal_noun	kristala/ravA
crystallinity_noun	kristalawA
crystallite_noun	kristalANu
crystallization_noun	kristalIkaraNa/ravAkaraNa
crystallographic_noun	kristalIya_xiSA
crystallography_noun	kristalikI/kristala_vijFAna
crysteline_noun	ravexAra
cube_noun	Gana
cubical_noun	Gana/GanIya
culprit_noun	aparAXI/xoRI
cultivar_noun	kqRi_jopajAwi
cultivation_noun	KewI/karRaNa
cultivator_noun	Kewihara/kaltIvetara_(yanwra)
culvert_noun	puliyA
cum-dividend_noun	lABAMSa_sahiwa
cumbustion_noun	xahana
cummutator_noun	xikpiravarwaka
cumulative_noun	saFcayI
cupola_noun	kyUpolA
cupolaman-in-charge_noun	gumbaxiyA_iMcArja
cupolaman_noun	gumbaxiyA
curative_noun	kyUretiva/prapiMdI
curator_noun	kyUretara/prapiMdaka/safgrahAXyakRa
curie_UNDEFINED	kyUrI
curing_noun	saMsAXana/warAI_(wara_karanA)/warAI/wEyAra_karanA/praTosana
currency_noun	kareMsI/muxrA
current-carrying_adjective	XArAvAhI
current_noun	cAlU/pracaliwa/XArA/bijalI/kareMta/karaNta
curriculum_noun	pATyakrama
cursor_noun	karsara/prasafkewaka
curtail_noun	kama_karanA
curtain_noun	paraxA
curvature_noun	vakrawA
curve_noun	vakra
curved_noun	GumAvaxAra/vakrAkAra
cusec_noun	kyUseka/GanaPuta_prawi_sekedaM
cushion_noun	walpa
custodian_noun	aBirakRaka/afBarakRaka/saMrakRaka_aBirakRaka
custody_noun	aBirakRA/hirAsawa/afBarakRA
customary_noun	rUfDagawa
customer_noun	grAhaka/gAhaka
customs_)_noun	sImA-Sulka
cut-motion_noun	katOwI-praswAva
cut-off_noun	anwaka/kata-oYPa/kriyAnwa
cut_noun	karwana/kAta_katOwI
cuticle_noun	upawvacA/upacarma/kyUtikala
cutting_noun	kawarana/karwana/katAI
cuttle_noun	maXyavalana
cyan_noun	PirojI
cyber_noun	sAibara
cybernatics_noun	sAibaranetiksa
cybernation_noun	sAibaraneSana
cycle_noun	cakra/prakriyA
cyclic_noun	cakrIya
cycling_noun	cakraNa
cyclization_noun	cakrIkaraNa
cycloid_noun	cakraja/cakrABa
cyclone_noun	cakravAwa/wUPAna
cyclostyle_noun	sAiklostAila_karanA
cyclotron_UNDEFINED	sAiklotroYna
cyclotron_noun	sAiklotrAna
cylinder_noun	belana/siledaraM/siliMdara/silindara
cylindrical_noun	belanAkAra/siliMdarAkAra/belanI/siliMdarI
cyst_noun	putI
cytogeneticist_noun	koSikAnuvaMSikavijFAnI
cytogenetics_noun	koSikAnuvaMSikI
cytologist_noun	koSikAvijFAnI
cytology_noun	koSikA_vijFAna
cytomorphologically_noun	koSikA_AkArikI_rUpa_se
cytoplasm_noun	koSikAxravya
cytotypes_noun	koSikA_prarUpa
d/s	arXa_pravAha
daemon_noun	demoYna
daftry_noun	xaPwarI
daily_noun	xEnika
dairyman_noun	derIvAlA
dais_noun	maFca
dalton_UNDEFINED	dAltana
dam_noun	bAnXa
damage_noun	kRawi
damages_noun	hajAnA/nukasAnI_(viXi)/harjAnA
damp_noun	nama/Arxra/sIlA
damper_noun	avamanxaka
damping_noun	avamanxana
dampness_noun	sIlana
dandyman_noun	dAdIvAlA
danger_noun	KawarA/safkata
darkish_UNDEFINED	kAlI-sI
darwan_noun	xaravAna
data_noun	Afkade/AXAra_sAmagrI_Akade/dAtA/detA/Azkade
database_noun	AfkadA_saFcaya/dAtAbesa/detAbesa
datagram_noun	AfkadAreKa
date_noun	xinAfka/wiWi/wArIKa
dated_noun	xinAfkiwa/wArIKa_kA/wArIKI
datum_noun	detama/AfkadA/AXAra
dcpsk-modulation_noun	dI.sI.pI.esa.ke._mAdulana
de-electrified_noun	nirvixyuwIkqwa
de-facto_noun	vaswuwaH/vAswava_meM
de-requisition_noun	aXigrahaNa-mocana
dead_noun	niRkriya
deadlock_noun	Akasmika_roXana/gawiroXa
deadweight_noun	kula_BAra
deadzone_noun	akriya_kRewra
deal_noun	sOxA/vyavahAra_karanA
dealer_noun	vyApArI/dIlara
dealing_noun	vyavahAra/barwAva
dealings_noun	vyavahAra/lenaxena
death-cum-retirement_noun	mqwyu-saha-nivqfwwa_upaxAna
debar_noun	rokanA/vivarjiwa_karanA_(viXi)
debarment_noun	roka/vAraNa/vivarjana
debenture_noun	dibeMcara/qNa-pawra/qNapawra
debit_noun	nAme/debita/nAme_dAlanA
debris_noun	malabA
debt_noun	_Na/nAme/debita
debtor_noun	xenaxAra/_NI/qNI
debtors_noun	qNI/xenaxAra/karjaxAra
debug_noun	xoRamArjana
debugger_noun	xoRamArjaka
debunching_noun	vigucCana
decade_noun	xaSaka
decantation_noun	niRAraNa/niswAraNa/niWAranA
decarbonization_noun	vikArbanana
decarburisation_noun	vikArburIkaraNa
decarburization_noun	vikArburaNa
decarburize_noun	vikArburaNa
decay_noun	kRaya
decayed_noun	sadA_huA
deccan_noun	xakRiNI
decelerometer_noun	manxanamApI
decency_noun	SiRtawA
decentralisation_noun	vikeMxrIkaraNa
decentralization_noun	vikeMxrIkaraNa
deception_noun	BrAmana
decibel_noun	desibala/desIbala
decible_noun	desIbela
deciduous_noun	parNapAwI/pawaJada/pawaJadI
decimal_noun	xaSamalava
decision_noun	nirNaya/PEsalA/viniScaya_(viXi)
deck_noun	deka/gaddI
declaration_noun	GoRaNA
declare_noun	GoRaNA_karanA/GofRawa_karanA
declination_UNDEFINED	xikpAwa
declination_noun	xikpAwa
declinometer_noun	xikpAwamApI
decoction_noun	gADA
decode_noun	kUtavAcana
decoder_noun	kUtavAcaka/vikodaka
decoding_noun	kUta_vAcana/dikodiMga/vikodana
decoherence_noun	asaMsakwi
decolourizer_noun	vivarNaka
decommutation_noun	viparivarwana
decompose_noun	apaGatana
decomposer_noun	apaGataka/viyojaka
decomposition_noun	apaGatana/viyojana/avaGatana/galanA/sadana
decompression_noun	visampIdana
decontamination_noun	visanxURaNa
decontrol_noun	viniyanwraNa
decoration_noun	alafkaraNa_/sajAvata
decorum_noun	SiRtawA/SAlInawA
decouple_noun	viyugmana
decoupled_noun	ayugmiwa/viyugmiwa
decrease_noun	Gatawa/kamI/hrAsa/GatanA_hrAsa/honA/kama_karanA/kama_honA
decree_noun	digarI/dikrI
decrement_noun	apakRaya/hrAsa
decremeter_noun	hrAsamApI
decrypt_noun	vigUDa/vikoda
decryption_noun	vikodana
decypher_noun	bIjaleKavAcana
dedicated_noun	samarpiwa
dedication_noun	samarpaNa
deduction_noun	katOwI/GatAva/nigamana
deed_noun	vileKa/vileKa_(viXi)_karma
deemphasis_noun	abalana/viprabalana
deenergize_noun	viUrjAyiwa_karanA/viUrjAyana
