aa	e~e
closet	CotI~alamArI{0}
closeted	CotI~alamArI~{@ed/@en}
closeted	gopanIya/alamArI/kisI~kArya~meM~magna~honA~{@ed/@en}
closet	gopanIya/alamArI/kisI~kArya~meM~magna~honA{0}
closeting	CotI~alamArI~{@ing}
closeting	gopanIya/alamArI/kisI~kArya~meM~magna~honA~{@ing}
closets	CotI~alamArI~{@s}
closets'	CotI~alamArI{@s}{@vib:kA}
closet's	CotI~alamArI{@vib:kA}
closets'	gopanIya/alamArI/kisI~kArya~meM~magna~honA{ba.}{@vib:kA}
closets	gopanIya/alamArI/kisI~kArya~meM~magna~honA~{@s}
closet's	gopanIya/alamArI/kisI~kArya~meM~magna~honA{@vib:kA}
close-up	badA~evaM~pAsa/banxa~karanA^nikata~AnA{0}
closeup	badA~evaM~pAsa/banxa~karanA^nikata~AnA{0}
close-ups'	badA~evaM~pAsa/banxa~karanA^nikata~AnA{ba.}{@vib:kA}
closeups'	badA~evaM~pAsa/banxa~karanA^nikata~AnA{ba.}{@vib:kA}
close-ups	badA~evaM~pAsa/banxa~karanA^nikata~AnA{@s}
closeups	badA~evaM~pAsa/banxa~karanA^nikata~AnA{@s}
close-up's	badA~evaM~pAsa/banxa~karanA^nikata~AnA{@vib:kA}
closeup's	badA~evaM~pAsa/banxa~karanA^nikata~AnA{@vib:kA}
closing	pAsa`[<banxa~karanA2]~{@ing}
closing	pAsa^najaxIkI~{@ing}
closured	samApana~{@ed/@en}
closure	samApana{0}
closures'	samApana{ba.}{@vib:kA}
closures	samApana~{@s}
closure's	samApana{@vib:kA}
closuring	samApana~{@ing}
clothe	DakanA^DAzkanA{0}
clothed	DakanA^DAzkanA~{@ed/@en}
clothed	vaswra~pahananA~{@ed/@en}
clothes	kapadA{pahanane~kA}{@s}[>DAzkanA{0}]
clothes's	kapade{pahanane~ke}[>DAzkanA]{@vib:kA}
clothes's	vaswra{@vib:kA}
clothes	vaswra~pahananA~{@s}
clothe	vaswra~pahananA{0}
clothing	kapade~{@ing}
clothings	kapade{@s}
clothings'	kapade{@s}{@vib:kA}
clothing's	kapade{@vib:kA}
clothings'	vaswra{ba.}{@vib:kA}
clothings	vaswra{@s}
clothing's	vaswra{@vib:kA}
clothing	vaswra~pahananA~{@ing}{0}
cloth	kapadA{0}
cloth	kapadA{0}
cloths'	kapadA{ba.}{@vib:kA}
cloths	kapadA{@s}
cloths	kapadA{@s}
cloths'	kapadA{@s}{@vib:kA}
cloth's	kapadA{@vib:kA}
cloth's	kapadA{@vib:kA}
clots'	WakkA~honA{ba.}{@vib:kA}
clots	WakkA~honA~{@s}
clot's	WakkA~honA{@vib:kA}
clotted	WakkA~honA~{@ed/@en}
clotting	WakkA~honA~{@ing}
clot	WakkA~honA{0}
cloud	bAxala{0}
cloud	bAxala{0}
cloudburst	acAnaka~bAriSa~honA{0}
cloudbursts'	acAnaka~bAriSa~honA{ba.}{@vib:kA}
cloudbursts	acAnaka~bAriSa~honA{@s}
cloudburst's	acAnaka~bAriSa~honA{@vib:kA}
clouded	bAxala~{@ed/@en}
clouded	bAxala~{@ed/@en}
clouding	bAxala~{@ing}
clouding	bAxala~{@ing}
cloudlesser	meGa~rahiwa~{wara}
cloudlessest	meGa~rahiwa~{wama}
cloudless	meGa~rahiwa[-]
clouds'	bAxala{ba.}{@vib:kA}
clouds	bAxala~{@s}
clouds	bAxala~{@s}
clouds'	bAxala{@s}{@vib:kA}
cloud's	bAxala{@vib:kA}
cloud's	bAxala{@vib:kA}
cloudy	meGAcCAixawa
clouted	GUzsA^praBAva~{@ed/@en}
clout	GUzsA^praBAva{0}
clouting	GUzsA^praBAva~{@ing}
clouts'	GUzsA^praBAva{ba.}{@vib:kA}
clouts	GUzsA^praBAva~{@s}
clout's	GUzsA^praBAva{@vib:kA}
cloven	xviKaNdiwa~karanA^cipake~hue~rahanA~{@en}
clover	eka~prakAra~kA~pOXA{0}
clovers'	eka~prakAra~kA~pOXA{ba.}{@vib:kA}
clovers	eka~prakAra~kA~pOXA{@s}
clover's	eka~prakAra~kA~pOXA{@vib:kA}
clovers	winapawiyA{@s}
clovers'	winapawiyA{@s}{@vib:kA}
clover's	winapawiyA{@vib:kA}
clover	winapawiyA{0}
cloves'	lOMga{ba.}{@vib:kA}
cloves	lOMga{@s}
clove's	lOMga{@vib:kA}
clove	xviKaNdiwa~karanA^cipake~hue~rahanA~{@ed}
clowned	jokara^mUrKa~{@ed/@en}
clowning	jokara^mUrKa~{@ing}
clownisher	mUrKawApUrNa~{wara}
clownishest	mUrKawApUrNa~{wama}
clownish	mUrKawApUrNa[-]
clown	jokara^mUrKa{0}
clowns'	jokara^mUrKa{ba.}{@vib:kA}
clowns	jokara^mUrKa~{@s}
clown's	jokara^mUrKa{@vib:kA}
cloying	ubAne~vAlA
clubbed	klaba^daNdA~{@ed/@en}
clubbing	klaba^daNdA~{@ing}
clubhouse	klaba_saxana
club	klaba^daNdA{0}
clubs'	klaba^daNdA{ba.}{@vib:kA}
clubs	klaba^daNdA~{@s}
club's	klaba^daNdA{@vib:kA}
clucked	kudakudAnA/kudakudAne~kI~AvAja~karanA~{@ed/@en}
clucking	kudakudAnA/kudakudAne~kI~AvAja~karanA~{@ing}
cluck	kudakudAnA/kudakudAne~kI~AvAja~karanA{0}
clucks'	kudakudAnA/kudakudAne~kI~AvAja~karanA{ba.}{@vib:kA}
clucks	kudakudAnA/kudakudAne~kI~AvAja~karanA~{@s}
cluck's	kudakudAnA/kudakudAne~kI~AvAja~karanA{@vib:kA}
clued	surAga~{@ed/@en}
clued	sUwra~{@ed/@en}
clueless	bevakUPa[-]
clueless	binA~sUwra
cluelesser	bevakUPa~{wara}
cluelessest	bevakUPa~{wama}
clues	surAga~{@s}
clues'	surAga{@s}{@vib:kA}
clue's	surAga{@vib:kA}
clues'	sUwra{ba.}{@vib:kA}
clues	sUwra~{@s}
clue's	sUwra{@vib:kA}
clue	surAga{0}
clue	sUwra{0}
cluing	surAga~{@ing}
cluing	sUwra~{@ing}
clumped	gucCA/XamAke~ke~sAWa~calanA~{@ed/@en}
clump	gucCA
clump	gucCA/XamAke~ke~sAWa~calanA{0}
clumpier	BArI~Ora~BaxxA~{wara}
clumpiest	BArI~Ora~BaxxA~{wama}
clumping	gucCA/XamAke~ke~sAWa~calanA~{@ing}
clumps'	gucCA/XamAke~ke~sAWa~calanA{ba.}{@vib:kA}
clumps	gucCA/XamAke~ke~sAWa~calanA~{@s}
clump's	gucCA/XamAke~ke~sAWa~calanA{@vib:kA}
clumpy	BArI~Ora~BaxxA[-]
clumsier	beDafgA~{wara}
clumsiest	beDafgA~{wama}
clumsily	beDafgA~rUpa~se
clumsy	beDafgA[-]
clung	kasakara~lipata~jAnA^bane~rahanA~{@ed/@en}
clung	lage~rahanA~{@ed/@en}
clunked	Gisane~kI~AvAja~{@ed/@en}
clunk	Gisane~kI~AvAja{0}
clunking	Gisane~kI~AvAja~{@ing}
clunks'	Gisane~kI~AvAja{ba.}{@vib:kA}
clunks	Gisane~kI~AvAja~{@s}
clunk's	Gisane~kI~AvAja{@vib:kA}
clustered	gucCA/BIda~lagAnA/eka~sAWa~BArI~safKyA~meM~eka~sWAna~para~honA~{@ed/@en}
cluster	gucCA/BIda~lagAnA/eka~sAWa~BArI~safKyA~meM~eka~sWAna~para~honA{0}
clustering	gucCA/BIda~lagAnA/eka~sAWa~BArI~safKyA~meM~eka~sWAna~para~honA~{@ing}
clustering	gucCana~/~gucCa
clusters'	gucCA/BIda~lagAnA/eka~sAWa~BArI~safKyA~meM~eka~sWAna~para~honA{ba.}{@vib:kA}
clusters	gucCA/BIda~lagAnA/eka~sAWa~BArI~safKyA~meM~eka~sWAna~para~honA~{@s}
cluster's	gucCA/BIda~lagAnA/eka~sAWa~BArI~safKyA~meM~eka~sWAna~para~honA{@vib:kA}
clutched	paFjA~[yAnwrika]/pakadanA~{@ed/@en}
clutches'	paFjA~[yAnwrika]/pakadanA{ba.}{@vib:kA}
clutches	paFjA~[yAnwrika]/pakadanA~{@s}
clutching	paFjA~[yAnwrika]/pakadanA~{@ing}
clutch	paFjA~[yAnwrika]/pakadanA{0}
clutch's	paFjA~[yAnwrika]/pakadanA{@vib:kA}
clutter	avyavasWiwa/aswa-vyaswa~karanA{0}
cluttered	avyavasWiwa/aswa-vyaswa~karanA~{@ed/@en}
cluttering	avyavasWiwa/aswa-vyaswa~karanA~{@ing}
clutters'	avyavasWiwa/aswa-vyaswa~karanA{ba.}{@vib:kA}
clutters	avyavasWiwa/aswa-vyaswa~karanA~{@s}
clutter's	avyavasWiwa/aswa-vyaswa~karanA{@vib:kA}
c	
cmd	aXyakRa-saha-prabanXa-nixeSaka
cm	sentImItara
co-accused	saha-aBiyukwa
coach	basa^SikRaka{0}
coached	basa^SikRaka~{@ed/@en}
coached	praSikRaka^savArI~dibbA~{@ed/@en}
coaches'	basa^SikRaka{ba.}{@vib:kA}
coaches	basa^SikRaka{@s}
coaches	praSikRaka^savArI~dibbA{@s}
coaches'	praSikRaka^savArI~dibbA{@s}{@vib:kA}
coaching	basa^SikRaka~{@ing}
coaching	praSikRaka^savArI~dibbA~{@ing}
coaching-traffic	kociMga~yAwAyAwa
coachload	basa~meM~yAwrIyoM~kA~samUha
coachman	GodAgAdI~cAlaka
coachman's	GodAgAdI~cAlaka{@vib:kA}
coachmen	GodAgAdI~cAlaka{@s}
coachmen's	GodAgAdI~cAlaka{ba.}{@vib:kA}
coach	praSikRaka^savArI~dibbA{0}
coachs	basa^SikRaka~{@s}
coach's	basa^SikRaka{@vib:kA}
coachs	praSikRaka^savArI~dibbA~{@s}
coach's	praSikRaka^savArI~dibbA{@vib:kA}
coagulated	WakkA~jamanA~{@ed/@en}
coagulates'	WakkA~jamanA{ba.}{@vib:kA}
coagulates	WakkA~jamanA~{@s}
coagulate's	WakkA~jamanA{@vib:kA}
coagulate	WakkA~jamanA{0}
coagulating	WakkA~jamanA~{@ing}
coagulations'	WakkA{ba.}{@vib:kA}
coagulations	WakkA{@s}
coagulation's	WakkA{@vib:kA}
coagulation	WakkA{0}
coal-black	koyale~jEsA~kAlA
coaled	koyalA^afgAra~{@ed/@en}
coaled	koyalA~{@ed/@en}
coalesced	eka~sAWa~milanA~{@ed/@en}
coalesce	eka~sAWa~milanA{0}
coalesces	eka~sAWa~milanA~{@s}
coalescing	eka~sAWa~milanA~{@ing}
coalface	koyale~kA~Dera{0}
coalfaces'	koyale~kA~Dera{ba.}{@vib:kA}
coalfaces	koyale~kA~Dera{@s}
coalface's	koyale~kA~Dera{@vib:kA}
coaling	koyalA^afgAra~{@ing}
coaling	koyalA~{@ing}
coalition	gaTabanXana{0}
coalition	safgaTana{0}
coalitions	gaTabanXana{@s}
coalitions'	gaTabanXana{@s}{@vib:kA}
coalition's	gaTabanXana{@vib:kA}
coalitions'	safgaTana{ba.}{@vib:kA}
coalitions	safgaTana{@s}
coalition's	safgaTana{@vib:kA}
coal	koyalA{0}
coal	koyalA^afgAra{0}
coalmine	koyale~kI~KAna
coals	koyalA^afgAra~{@s}
coals'	koyalA^afgAra{@s}{@vib:kA}
coal's	koyalA^afgAra{@vib:kA}
coals'	koyalA{ba.}{@vib:kA}
coals	koyalA~{@s}
coal's	koyalA{@vib:kA}
coaming	jahAja~ke~kinAroM~kA~uTA~huA~BAga{0}
coamings'	jahAja~ke~kinAroM~kA~uTA~huA~BAga{ba.}{@vib:kA}
coamings	jahAja~ke~kinAroM~kA~uTA~huA~BAga{@s}
coaming's	jahAja~ke~kinAroM~kA~uTA~huA~BAga{@vib:kA}
coarsely	motA~Ora~BArI
coarse	motA[KuraxarA]^motA{KuraxurA}[-]
coarsen	BArI{0}
coarsened	BArI~{@ed/@en}
coarsening	BArI~{@ing}
coarsens	BArI~{@s}
coarser	motA[KuraxarA]^motA{KuraxurA}~{wara}
coarsest	motA[KuraxarA]^motA{KuraxurA}~{wama}
coastal	watIya/watavarwI
coast	DAla^samuxrawata{0}
coasted	DAla^samuxrawata~{@ed/@en}
coasted	samuxra~wata/nIce~DAla~para~PisalanA~{@ed/@en}
coaster	garma~barwana~Axi~raKane~kI~gola~tikalI^mAla~Done~vAlA~jahAja{0}
coasters'	garma~barwana~Axi~raKane~kI~gola~tikalI^mAla~Done~vAlA~jahAja{ba.}{@vib:kA}
coasters	garma~barwana~Axi~raKane~kI~gola~tikalI^mAla~Done~vAlA~jahAja{@s}
coaster's	garma~barwana~Axi~raKane~kI~gola~tikalI^mAla~Done~vAlA~jahAja{@vib:kA}
coastguards'	wata~kI~surakRA~bala{ba.}{@vib:kA}
coastguards	wata~kI~surakRA~bala{@s}
coastguard's	wata~kI~surakRA~bala{@vib:kA}
coastguard	wata~kI~surakRA~bala{0}
coasting	DAla^samuxrawata~{@ing}
coasting	samuxra~wata/nIce~DAla~para~PisalanA~{@ing}
coastline	samuxrI~kinArA{0}
coastlines'	samuxrI~kinArA{ba.}{@vib:kA}
coastlines	samuxrI~kinArA{@s}
coastline's	samuxrI~kinArA{@vib:kA}
coast	samuxra~wata/nIce~DAla~para~PisalanA{0}
coasts	DAla^samuxrawata~{@s}
coasts'	DAla^samuxrawata{@s}{@vib:kA}
coast's	DAla^samuxrawata{@vib:kA}
coasts'	samuxra~wata/nIce~DAla~para~PisalanA{ba.}{@vib:kA}
coasts	samuxra~wata/nIce~DAla~para~PisalanA~{@s}
coast's	samuxra~wata/nIce~DAla~para~PisalanA{@vib:kA}
coated	kota^{AvaraNa}jAnavara~ke~bAla~{@ed/@en}
coated	kota^waha~{@ed/@en}
coating	kota^{AvaraNa}jAnavara~ke~bAla~{@ing}
coatings	vilepana^parawa{@s}
coatings'	vilepana^parawa{@s}{@vib:kA}
coating's	vilepana^parawa{@vib:kA}
coating	vilepana^parawa~{@ing}
coat	kota^{AvaraNa}jAnavara~ke~bAla{0}
coat	kota^waha{0}
coats'	kota^{AvaraNa}jAnavara~ke~bAla{ba.}{@vib:kA}
coats	kota^{AvaraNa}jAnavara~ke~bAla~{@s}
coat's	kota^{AvaraNa}jAnavara~ke~bAla{@vib:kA}
coats	kota^waha~{@s}
coats'	kota^waha{@s}{@vib:kA}
coat's	kota^waha{@vib:kA}
coaxed	manAnA~{@ed/@en}
coaxes'	manAnA{ba.}{@vib:kA}
coaxes	manAnA~{@s}
coaxial	samAkRIya
coaxing	manAnA~{@ing}
coax	manAnA{0}
coax's	manAnA{@vib:kA}
cobalt	koboYlta{XAwu-viSeRa}{0}
cobalt	koboYlta{XAwu-viSeRa}{0}
cobalts'	koboYlta{XAwu-viSeRa}{ba.}{@vib:kA}
cobalts	koboYlta{XAwu-viSeRa}{@s}
cobalts	koboYlta{XAwu-viSeRa}{@s}
cobalts'	koboYlta{XAwu-viSeRa}{@s}{@vib:kA}
cobalt's	koboYlta{XAwu-viSeRa}{@vib:kA}
cobalt's	koboYlta{XAwu-viSeRa}{@vib:kA}
cobbed	gola~dabala~rotI^nAtA~GodA~{@ed/@en}
cobbing	gola~dabala~rotI^nAtA~GodA~{@ing}
cobble	Cote~pawWara/Cote~pawWara~biCAnA^marammawa~karanA{0}
cobbled	Cote~pawWara/Cote~pawWara~biCAnA^marammawa~karanA~{@ed/@en}
cobbler	mocI{0}
cobblers'	mocI{ba.}{@vib:kA}
cobblers	mocI{@s}
cobbler's	mocI{@vib:kA}
cobbles'	Cote~pawWara/Cote~pawWara~biCAnA^marammawa~karanA{ba.}{@vib:kA}
cobbles	Cote~pawWara/Cote~pawWara~biCAnA^marammawa~karanA~{@s}
cobble's	Cote~pawWara/Cote~pawWara~biCAnA^marammawa~karanA{@vib:kA}
cobbling	Cote~pawWara/Cote~pawWara~biCAnA^marammawa~karanA~{@ing}
cob	gola~dabala~rotI^nAtA~GodA{0}
COBOL	kobola
cobras'	viRElA~sAmpa{ba.}{@vib:kA}
cobras	viRElA~sAmpa{@s}
cobra's	viRElA~sAmpa{@vib:kA}
cobra	viRElA~sAmpa{0}
cobs	gola~dabala~rotI^nAtA~GodA~{@s}
cobwebs	makadI~kA~jAla{0}
cobwebs's	makadI~kA~jAla{@vib:kA}
coca-cola	kokA-kolA
cocaine	kokena{naSIlI~vaswu}{0}
cocaines'	kokena{naSIlI~vaswu}{ba.}{@vib:kA}
cocaines	kokena{naSIlI~vaswu}{@s}
cocaine's	kokena{naSIlI~vaswu}{@vib:kA}
cocain	kokena{naSIlI~vaswu}{0}
cocains'	kokena{naSIlI~vaswu}{ba.}{@vib:kA}
cocains	kokena{naSIlI~vaswu}{@s}
cocain's	kokena{naSIlI~vaswu}{@vib:kA}
coccyges	merUxaNda~ke~nIce~kI~CotI~haddI{@s}
coccyges's	merUxaNda~ke~nIce~kI~CotI~haddI{ba.}{@vib:kA}
coccyx	merUxaNda~ke~nIce~kI~CotI~haddI{0}
coccyx's	merUxaNda~ke~nIce~kI~CotI~haddI{@vib:kA}
cochinealer	KAnevAlA~lAla~rafga~{wara}
cochinealest	KAnevAlA~lAla~rafga~{wama}
cochineal	KAnevAlA~lAla~rafga[-]
cochineals'	KAnevAlA~lAla~rafga{ba.}{@vib:kA}
cochineals	KAnevAlA~lAla~rafga{@s}
cochineal's	KAnevAlA~lAla~rafga{@vib:kA}
cock-a-hoop	bahuwa~sanwuRta[-]
cock-a-hooper	bahuwa~sanwuRta~{wara}
cock-a-hoopest	bahuwa~sanwuRta~{wama}
cockatoo	eka~prakAra~kA~wowA{0}
cockatoos'	eka~prakAra~kA~wowA{ba.}{@vib:kA}
cockatoos	eka~prakAra~kA~wowA{@s}
cockatoo's	eka~prakAra~kA~wowA{@vib:kA}
cocked	murgA/KadA~karanA^eka~waraPa~JukAnA~{@ed/@en}
cockerel	murga~patTA
cock-eyed	teDA^mUrKawApUrNa[-]
cockeyed	teDA^mUrKawApUrNa[-]
cockier	ahafkArI~{wara}
cockies'	ahafkArI{ba.}{@vib:kA}
cockies	ahafkArI{@s}
cockiest	ahafkArI~{wama}
cockily	ahafkArI~rUpa~se
cocking	murgA/KadA~karanA^eka~waraPa~JukAnA~{@ing}
cock	murgA/KadA~karanA^eka~waraPa~JukAnA{0}
cockney	lanxaniyA^lanxaniyAA
cockpit	cAlaka~kakRa^murge~ladAne~kA~sWAna{0}
cockpit	cAlaka~sWAna{vAyuyAna~meM}{0}
cockpits	cAlaka~kakRa^murge~ladAne~kA~sWAna{@s}
cockpits'	cAlaka~kakRa^murge~ladAne~kA~sWAna{@s}{@vib:kA}
cockpit's	cAlaka~kakRa^murge~ladAne~kA~sWAna{@vib:kA}
cockpits'	cAlaka~sWAna{vAyuyAna~meM}{ba.}{@vib:kA}
cockpits	cAlaka~sWAna{vAyuyAna~meM}{@s}
cockpit's	cAlaka~sWAna{vAyuyAna~meM}{@vib:kA}
cockroaches'	wilacittA{ba.}{@vib:kA}
cockroaches	wilacittA{@s}
cockroach's	wilacittA{@vib:kA}
cockroach	wilacittA{0}
cocks'	murgA/KadA~karanA^eka~waraPa~JukAnA{ba.}{@vib:kA}
cocks	murgA/KadA~karanA^eka~waraPa~JukAnA~{@s}
cock's	murgA/KadA~karanA^eka~waraPa~JukAnA{@vib:kA}
cocksure	pUrNa~rUpa~se~niSciwa[-]
cocksurer	pUrNa~rUpa~se~niSciwa~{wara}
cocksurest	pUrNa~rUpa~se~niSciwa~{wama}
cocktail	kAkatela{0}
cocktail	maxyapAna~kI~xAvawa{0}
cocktails	kAkatela{@s}
cocktails'	kAkatela{@s}{@vib:kA}
cocktail's	kAkatela{@vib:kA}
cocktails'	maxyapAna~kI~xAvawa{ba.}{@vib:kA}
cocktails	maxyapAna~kI~xAvawa{@s}
cocktail's	maxyapAna~kI~xAvawa{@vib:kA}
cock-up	bigAdanA{0}
cock-ups'	bigAdanA{ba.}{@vib:kA}
cock-ups	bigAdanA{@s}
cock-up's	bigAdanA{@vib:kA}
cocky	ahafkArI[-]
cocky's	ahafkArI{@vib:kA}
cocoaer	koko~{wara}
cocoaest	koko~{wama}
cocoa	koko[-]
cocoanuter	nAriyala~{wara}
cocoanutest	nAriyala~{wama}
cocoanut	nAriyala[-]
cocoanuts'	nAriyala{ba.}{@vib:kA}
cocoanuts	nAriyala{@s}
cocoanut's	nAriyala{@vib:kA}
cocoas'	koko{ba.}{@vib:kA}
cocoas	koko{@s}
cocoa's	koko{@vib:kA}
coconuter	nAriyala~{wara}
coconutest	nAriyala~{wama}
coconut	nAriyala[-]
coconuts'	nAriyala{ba.}{@vib:kA}
coconuts	nAriyala{@s}
coconut's	nAriyala{@vib:kA}
cocooned	koyA/xuniyA~se~alaga~rahanA~{@ed/@en}
cocooning	koyA/xuniyA~se~alaga~rahanA~{@ing}
cocoon	koyA/xuniyA~se~alaga~rahanA{0}
cocoons'	koyA/xuniyA~se~alaga~rahanA{ba.}{@vib:kA}
cocoons	koyA/xuniyA~se~alaga~rahanA~{@s}
cocoon's	koyA/xuniyA~se~alaga~rahanA{@vib:kA}
coda	ABoga{0}
codas'	ABoga{ba.}{@vib:kA}
codas	ABoga{@s}
coda's	ABoga{@vib:kA}
codasyl	kodAsila
codded	eka~prakAra~kI~maCalI~{@ed/@en}
codding	eka~prakAra~kI~maCalI~{@ing}
coddled	sAvaXAnI~se~xeKaBAla~karanA~{@ed/@en}
coddle	sAvaXAnI~se~xeKaBAla~karanA{0}
coddles'	sAvaXAnI~se~xeKaBAla~karanA{ba.}{@vib:kA}
coddles	sAvaXAnI~se~xeKaBAla~karanA~{@s}
coddle's	sAvaXAnI~se~xeKaBAla~karanA{@vib:kA}
coddling	sAvaXAnI~se~xeKaBAla~karanA~{@ing}
coded	kUta~safkewa^sAfkewika~afka~{@ed/@en}
coded	safkewa~[BARA]^saMhiwA~{@ed/@en}
codeine	kodIna{xarxa~nivAraka~xavA}{0}
codeines'	kodIna{xarxa~nivAraka~xavA}{ba.}{@vib:kA}
codeines	kodIna{xarxa~nivAraka~xavA}{@s}
codeine's	kodIna{xarxa~nivAraka~xavA}{@vib:kA}
cod	eka~prakAra~kI~maCalI{0}
code	kUta~safkewa^sAfkewika~afka{0}
coder	kodiwra
code	safkewa~[BARA]^saMhiwA{0}
codes'	kUta~safkewa^sAfkewika~afka{ba.}{@vib:kA}
codes	kUta~safkewa^sAfkewika~afka~{@s}
code's	kUta~safkewa^sAfkewika~afka{@vib:kA}
codes	safkewa~[BARA]^saMhiwA~{@s}
codes'	safkewa~[BARA]^saMhiwA{@s}{@vib:kA}
code's	safkewa~[BARA]^saMhiwA{@vib:kA}
codger	anoKA~bUDA~vyakwi{0}
codgers'	anoKA~bUDA~vyakwi{ba.}{@vib:kA}
codgers	anoKA~bUDA~vyakwi{@s}
codger's	anoKA~bUDA~vyakwi{@vib:kA}
codicil	pariSiRta{0}
codicils'	pariSiRta{ba.}{@vib:kA}
codicils	pariSiRta{@s}
codicil's	pariSiRta{@vib:kA}
codification	saMhiwAkaraNa
codified	saMhiwA~banAnA~{@ed/@en}
codifies	saMhiwA~banAnA~{@s}
codifying	saMhiwA~banAnA~{@ing}
codify	saMhiwA~banAnA{0}
coding	kUta~safkewa^sAfkewika~afka~{@ing}
coding	safkewa~[BARA]^saMhiwA~{@ing}
cods	eka~prakAra~kI~maCalI{0}~{@s}
cods'	eka~prakAra~kI~maCalI{ba.}{@vib:kA}
cod's	eka~prakAra~kI~maCalI{@vib:kA}
codses'	eka~prakAra~kI~maCalI{ba.}{@vib:kA}
codses	eka~prakAra~kI~maCalI{@s}
cods's	eka~prakAra~kI~maCalI{@vib:kA}
codswallop	bakavAsa{0}
codswallops'	bakavAsa{ba.}{@vib:kA}
codswallops	bakavAsa{@s}
codswallop's	bakavAsa{@vib:kA}
coed	sahaSikRA
co-education	saha-SikRA
coefficient	guNAfka{0}
coefficients'	guNAfka{ba.}{@vib:kA}
coefficients	guNAfka{@s}
coefficient's	guNAfka{@vib:kA}
coerced	majabUra~karanA{darA~XamakA~kara}^jabaraxaswI~karanA~{@ed/@en}
coerce	majabUra~karanA{darA~XamakA~kara}^jabaraxaswI~karanA{0}
coerces	majabUra~karanA{darA~XamakA~kara}^jabaraxaswI~karanA~{@s}
coercing	majabUra~karanA{darA~XamakA~kara}^jabaraxaswI~karanA~{@ing}
coercion	jora-jabaraxaswI{0}
coercions'	jora-jabaraxaswI{ba.}{@vib:kA}
coercions	jora-jabaraxaswI{@s}
coercion's	jora-jabaraxaswI{@vib:kA}
coercive	XamakI~BarA^balayukwa[-]
co-examiner	saha-parIkRaka
co-executor	saha-niRpAxaka
coexisted	milajulakara~rahanA~{@ed/@en}
co-existence	saha-aswiwva
coexistence	saha~aswiwva/mila-julakara~rahanA{0}
coexistences'	saha~aswiwva/mila-julakara~rahanA{ba.}{@vib:kA}
coexistences	saha~aswiwva/mila-julakara~rahanA{@s}
coexistence's	saha~aswiwva/mila-julakara~rahanA{@vib:kA}
coexisting	milajulakara~rahanA~{@ing}
coexist	milajulakara~rahanA{0}
coexists	milajulakara~rahanA~{@s}
coffee-house	koYPI-hAusa{0}
coffeehouse	koYPI-hAusa{0}
coffee-houses'	koYPI-hAusa{ba.}{@vib:kA}
coffeehouses'	koYPI-hAusa{ba.}{@vib:kA}
coffee-houses	koYPI-hAusa{@s}
coffeehouses	koYPI-hAusa{@s}
coffee-house's	koYPI-hAusa{@vib:kA}
coffeehouse's	koYPI-hAusa{@vib:kA}
coffee	kOPI[-]
coffee	koYPI^gaharA~BUrA[-]
coffeer	kOPI~{wara}
coffees'	kOPI{ba.}{@vib:kA}
coffees	kOPI{@s}
coffee's	kOPI{@vib:kA}
coffees	koYPI^gaharA~BUrA{@s}
coffees'	koYPI^gaharA~BUrA{@s}{@vib:kA}
coffee's	koYPI^gaharA~BUrA{@vib:kA}
coffeest	kOPI~{wama}
coffered	Xana^wijorI~{@ed/@en}
coffering	Xana^wijorI~{@ing}
coffers'	Xana^wijorI{ba.}{@vib:kA}
coffers	Xana^wijorI~{@s}
coffer's	Xana^wijorI{@vib:kA}
coffer	Xana^wijorI{0}
coffins'	wAbUwa{ba.}{@vib:kA}
coffins	wAbUwa{@s}
coffin's	wAbUwa{@vib:kA}
coffin	wAbUwa{0}
cog	cakraxanwa{0}
cogency	akAtyawA
cogenter	niScayAwmaka~{wara}
cogentest	niScayAwmaka~{wama}
cogently	prabala~rUpa~se
cogent	niScayAwmaka[-]
cogged	cakraxanwa~{@ed/@en}
cogging	cakraxanwa~{@ing}
cogitated	gahana~ciMwana~karanA~{@ed/@en}
cogitate	gahana~ciMwana~karanA{0}
cogitates	gahana~ciMwana~karanA~{@s}
cogitating	gahana~ciMwana~karanA~{@ing}
cogitation	gahana~ciMwana{0}
cogitations'	gahana~ciMwana{ba.}{@vib:kA}
cogitations	gahana~ciMwana{@s}
cogitation's	gahana~ciMwana{@vib:kA}
cognate	eka~hI~jada~se~uwpanna~honA[-]
cognater	eka~hI~jada~se~uwpanna~honA~{wara}
cognatest	eka~hI~jada~se~uwpanna~honA~{wama}
cognisance	pUrNa~jAnakAra~honA{0}
cognisances'	pUrNa~jAnakAra~honA{ba.}{@vib:kA}
cognisances	pUrNa~jAnakAra~honA{@s}
cognisance's	pUrNa~wajAnakAra~honA{@vib:kA}
cognisanter	pUrNa~jAnakAra~vAlA~{wara}
cognisantest	pUrNa~jAnakAra~vAlA~{wama}
cognisant	pUrNa~jAnakAra~vAlA[-]
cognition	parokRa~jFAna{0}
cognitions'	parokRa~jFAna{ba.}{@vib:kA}
cognitions	parokRa~jFAna{@s}
cognition's	parokRa~jFAna{@vib:kA}
cognitive	boXa[-]
cognitively	boXa~rUpa~se
cognitiver	boXa~{wara}
cognitivest	boXa~{wama}
cognizable	saFjFeya
cognizance	pUrNa~jAnakAra~honA{0}
cognizances'	pUrNa~jAnakAra~honA{ba.}{@vib:kA}
