#telecommunication multi word dictionary extracted by Monika Sharma. Formatted by Roja (26-01-2016)	#telecommunication multi word dictionary extracted by Monika Sharma. Formatted by Roja (26-01-2016)
#Changes:: 1) Separated single word and multi words into separate dictionaries	#Changes:: 1) Separated single word and multi words into separate dictionaries
#          2) English words are converted to lower case	#          2) English words are converted to lower case
#          3) Added category as 'noun' by default	#          3) Added category as 'noun' by default
#          4) If last word is not punctuation then treated last word as head	#          4) If last word is not punctuation then treated last word as head
#             or else treated last but one word as head	#             or else treated last but one word as head
#################################################################################	#################################################################################
absolute_block	pUrNa_bloYka#pUrNa_bloYka#noun#2#RM
input_capacitance	anwargAmI_XAriwA#anwargAmI_XAriwA#noun#2#RM
insertion_gain	sinnaveSa_lABa#sinnaveSa_lABa#noun#2#RM
insertion_loss	sinnaveSa_hAni#sinnaveSa_hAni#noun#2#RM
insulated_plate	avaroXaka_pleta#avaroXaka_pleta#noun#2#RM
insulated_stretchers	vixyuwa_roXI_strecara#vixyuwa_roXI_strecara#noun#2#RM
insulated_wire	vixyuwa_roXI_wAra#vixyuwa_roXI_wAra#noun#2#RM
integrated_telephone	samAkaliwa_telIPona#samAkaliwa_telIPona#noun#2#RM
inter_communication	anwara_saFcAra#anwara_saFcAra#noun#2#RM
inter_dialling	anwara_dAyalana#anwara_dAyalana#noun#2#RM
inter_wire	anwara_wAra#anwara_wAra#noun#2#RM
interference_zone	bAXA_kRewra#bAXA_kRewra#noun#2#RM
interlocked_relay	anwarpASiwa_rile#anwarpASiwa_rile#noun#2#RM
interlocked_scanning	anwara_granWiwa_aMSekRaNa#anwara_granWiwa_aMSekRaNa#noun#2#RM
interlocking_apparatus	anwarpASana_upakaraNa#anwarpASana_upakaraNa#noun#2#RM
interlocking_block_instrument	anwarpASana_bloYka_upakaraNa#anwarpASana_bloYka_upakaraNa#noun#3#RM
interlocking_chart	anwarpASana_cArta#anwarpASana_cArta#noun#2#RM
interlocking_frame	aMrwapASana_DAFcA#aMrwapASana_DAFcA#noun#2#RM
interlocking_frame_quadrant	anwarpASana_DAFcA_kvAdreMta#anwarpASana_DAFcA_kvAdreMta#noun#3#RM
interlocking_installation	anwarpASana_saMsWApana#anwarpASana_saMsWApana#noun#2#RM
interlocking_layout	anwarpASana_vinyAsa#anwarpASana_vinyAsa#noun#2#RM
interlocking_relay_system	anwarpASana_irale_praNAlI#anwarpASana_irale_praNAlI#noun#3#RM
interlocking_rotation	anwarpASana_GUrNana#anwarpASana_GUrNana#noun#2#RM
interlocking_sequential	anukramika_anwarpASana#anukramika_anwarpASana#noun#2#RM
intermediate_block_post	maGyavarwI_bloYka_posta#maGyavarwI_bloYka_posta#noun#3#RM
intermediate_block_signalling	maXyavarwI_bloYka_siganala_vyavasWA#maXyavarwI_bloYka_siganala_vyavasWA#noun#3#RM
intermediate_frequency	maXyavarwI_Avqwwi#maXyavarwI_Avqwwi#noun#2#RM
intermediate_quadrant	maXyavarwI_kvAdreMta#maXyavarwI_kvAdreMta#noun#2#RM
intermediate_starter_signal	maXyavarwI_prasWAna_siganala#maXyavarwI_prasWAna_siganala#noun#3#RM
intermodulation_distortion	anwaraXimiSraNa_vikqwiRti#anwaraXimiSraNa_vikqwiRti#noun#2#RM
interrupted_ringing	anwaroXiwa_vAxana#anwaroXiwa_vAxana#noun#2#RM
ionisation_current	AyanIkaraNa_XArA#AyanIkaraNa_XArA#noun#2#RM
ionisation_potential	AyanIkaraNa_viBava#AyanIkaraNa_viBava#noun#2#RM
ionospheric_ray	AyanamaNdlIya_kiraNa#AyanamaNdlIya_kiraNa#noun#2#RM
ionospheric_wave	AyanamaNdalIya_warafga#AyanamaNdalIya_warafga#noun#2#RM
iron_clad_switch	lohAnI_svica#lohAnI_svica#noun#3#RM
isolating_switch	pqWakkArI_svica#pqWakkArI_svica#noun#2#RM
jack_spring_combination	jEka_kviMspraga_samUha#jEka_kviMspraga_samUha#noun#3#RM
jaw_plunger	jabadA_dAta#jabadA_dAta#noun#2#RM
jaw_screw	jabadA_peMca#jabadA_peMca#noun#2#RM
jiont_slotted	KAFcexAra_joda#KAFcexAra_joda#noun#2#RM
joint_eye	AzKa_joda#AzKa_joda#noun#2#RM
joint_flush	sapAta_joda#sapAta_joda#noun#2#RM
joint_long	lambA_joda#lambA_joda#noun#2#RM
joint_lug	laga_joda#laga_joda#noun#2#RM
joint_off_set	mudA_joda#mudA_joda#noun#3#RM
joint_screw	peMcaxAra_joda#peMcaxAra_joda#noun#2#RM
joint_solid	Tosa_joda#Tosa_joda#noun#2#RM
joint_wide	cOdA_joda#cOdA_joda#noun#2#RM
jumper_wire	jampara_wAra#jampara_wAra#noun#2#RM
junction_box	jafkSana_baksa#jafkSana_baksa#noun#2#RM
junction_indicator	jafkSana_safkewaka#jafkSana_safkewaka#noun#2#RM
key_lever	cAbI_kala#cAbI_kala#noun#2#RM
key_listening	SravaNa_cAbI#SravaNa_cAbI#noun#2#RM
key_lock	wAlA_cAbI#wAlA_cAbI#noun#2#RM
key_lock_extension	wAlA_cAbI_viswAra#wAlA_cAbI_viswAra#noun#3#RM
key_morse	morsa_kuFjI#morsa_kuFjI#noun#2#RM
key_shelf	kuFjI_SelPa#kuFjI_SelPa#noun#2#RM
key_transmitter	preRaka_cAbI#preRaka_cAbI#noun#2#RM
keyless_ringing	svawaH_raNana#svawaH_raNana#noun#2#RM
king_lever	muKya_lIvara#muKya_lIvara#noun#2#RM
ladder_ring	sIDI_valaya#sIDI_valaya#noun#2#RM
lamp_expander	bawwI_viswAraka#bawwI_viswAraka#noun#2#RM
lamp_jack	jEka_bawwI#jEka_bawwI#noun#2#RM
lamp_long_burning	xIrGa_jvalana#xIrGa_jvalana#noun#3#RM
lamp_signal	siganala_bawwI#siganala_bawwI#noun#2#RM
last_stop_signal	anwima_roka_siganala#anwima_roka_siganala#noun#3#RM
last_subscriber_release	anwima_aBixAwA_mocana#anwima_aBixAwA_mocana#noun#3#RM
last_vehicle	anwima_vAhana#anwima_vAhana#noun#2#RM
lattice_network	gavAkRa_jAla#gavAkRa_jAla#noun#2#RM
left_hand_quadrant	bAyAM_bAjU_kvAdreMta#bAyAM_bAjU_kvAdreMta#noun#3#RM
lens_deflecting	visWAna_lEMsa#visWAna_lEMsa#noun#2#RM
level_crossing	samapAra#samapAra#noun#2#RM
level_crossing_alarm	samapAra_cewAvanI#samapAra_cewAvanI#noun#3#RM
level_crossing_gate	samapAra_PAtaka#samapAra_PAtaka#noun#3#RM
lever_bolt_lock	lIvara_bolta_wAlA#lIvara_bolta_wAlA#noun#3#RM
lever_bridge_bolt	lIvara_brija_bolta#lIvara_brija_bolta#noun#3#RM
lever_circuit_controller	paripaWa_niyanwraka_lIvara#paripaWa_niyanwraka_lIvara#noun#3#RM
lever_clearance_bar	nirXAriwa_Cada_lIvara#nirXAriwa_Cada_lIvara#noun#3#RM
lever_collar	lIvara_koYlara#lIvara_koYlara#noun#2#RM
lever_cotter	lIvara_PannI/koYtara#lIvara_PannI/koYtara#noun#2#RM
lever_cover	lIvara_Dakkana#lIvara_Dakkana#noun#2#RM
lever_crossing_barrier	samapAra_nAkA#samapAra_nAkA#noun#3#RM
lever_crossing_bell	samapAra_GaNtI#samapAra_GaNtI#noun#3#RM
lever_detonator_placer	detonetara_plesara_lIvara#detonetara_plesara_lIvara#noun#3#RM
lever_directional	xiSAparaka_lIvara#xiSAparaka_lIvara#noun#2#RM
lever_disengager	viyojaka_lIvara#viyojaka_lIvara#noun#2#RM
lever_facing_point_lock	sammuKa_kANtA_pASana_lIvara#sammuKa_kANtA_pASana_lIvara#noun#4#RM
lever_handle	lIvara_mUTa#lIvara_mUTa#noun#2#RM
lever_point	pAMita_lIvara#pAMita_lIvara#noun#2#RM
lever_route	mArga_lIvara#mArga_lIvara#noun#2#RM
lever_route_indicator	mArga_safkewaka_lIvara#mArga_safkewaka_lIvara#noun#3#RM
lever_shoe	nAla_lIvara#nAla_lIvara#noun#2#RM
lever_side	pArSva_lIvara#pArSva_lIvara#noun#2#RM
lever_spacing	anwaraka_lIvara#anwaraka_lIvara#noun#2#RM
lever_spare	awiriwka_lIvara#awiriwka_lIvara#noun#2#RM
lever_tail	lIvara_tela#lIvara_tela#noun#2#RM
lifting_barrier	uTAna_PAtaka#uTAna_PAtaka#noun#2#RM
light_deflecting_unit	prakASa_vicAlaka_ikAI#prakASa_vicAlaka_ikAI#noun#3#RM
light_proving_relay	prakASa_pramANana_rile#prakASa_pramANana_rile#noun#3#RM
light_repeater	prakASa_punarArvawaka#prakASa_punarArvawaka#noun#2#RM
light_signal_position	bawwI_sWiwi_siganala#bawwI_sWiwi_siganala#noun#3#RM
lightning_discharger	wadiwa_kRepI#wadiwa_kRepI#noun#2#RM
lightning_protector	wadiwa_rakRaka#wadiwa_rakRaka#noun#2#RM
limit_of_speed	gawi_sImA#gawi_sImA#noun#3#RM
line_blocked	avaruxXa_lAina#avaruxXa_lAina#noun#2#RM
line_circuit	lAina_paripaWa#lAina_paripaWa#noun#2#RM
line_clear	lAina_kliyara#lAina_kliyara#noun#2#RM
line_closed	lAina_banxa#lAina_banxa#noun#2#RM
line_current	lAina_kareMta#lAina_kareMta#noun#2#RM
line_fault	lAina_xoRa#lAina_xoRa#noun#2#RM
line_relay	lAina_rile#lAina_rile#noun#2#RM
linear_detection	anureKa_paricAyana#anureKa_paricAyana#noun#2#RM
link_split	viBAjiwa_kadI#viBAjiwa_kadI#noun#2#RM
local_battery	sWAnIya_bEtarI#sWAnIya_bEtarI#noun#2#RM
location_of_signal	siganala_kI_sWiwi#siganala_kI_sWiwi#noun#3#RM
lock_bar	pASana_Cada#pASana_Cada#noun#2#RM
lock_bar_clip	pASana_Cada_klipa#pASana_Cada_klipa#noun#3#RM
lock_coil	pASana_kuNdalI#pASana_kuNdalI#noun#2#RM
lock_indicator	pASana_safkewaka#pASana_safkewaka#noun#2#RM
lock_rod	pASana_Cada#pASana_Cada#noun#2#RM
locking_box	pASana_baksa#pASana_baksa#noun#2#RM
locking_box_bracket	pASana_baksa_brEkata#pASana_baksa_brEkata#noun#3#RM
locking_dead	niRkriya_pASana#niRkriya_pASana#noun#2#RM
locking_proving_contact	pASana_pramANana_samparka#pASana_pramANana_samparka#noun#3#RM
loop_aerial	vAyavIya_lUpa#vAyavIya_lUpa#noun#2#RM
loop_dialling	lUpa_dAyalana#lUpa_dAyalana#noun#2#RM
low_pass_filter	nimna_nikAsa_Piltara#nimna_nikAsa_Piltara#noun#3#RM
low_power_modulation	nimna_Sakwi_mAdulana#nimna_Sakwi_mAdulana#noun#3#RM
lower_gear	nicalA_giyara#nicalA_giyara#noun#2#RM
lower_quadrant	loara_kvAdreMta#loara_kvAdreMta#noun#2#RM
machine_ringing	yanwra_vAxana#yanwra_vAxana#noun#2#RM
magnetic_bearing	cumbakIya_xiSA_koNa#cumbakIya_xiSA_koNa#noun#2#RM
magnetic_meridian	cumbakIya_Xruva_vqwwa#cumbakIya_Xruva_vqwwa#noun#2#RM
magnetic_residual_loss	cumbakIya_avaSiRTa_hAni#cumbakIya_avaSiRTa_hAni#noun#3#RM
magnetic_screen	cumbakIya_AvaraNa#cumbakIya_AvaraNa#noun#2#RM
magneto_generator	mEganeto_janaretara#mEganeto_janaretara#noun#2#RM
magneto_system	cumbakIya_praNAlI#cumbakIya_praNAlI#noun#2#RM
magneto_telephone	cumbakIya_tolIPona#cumbakIya_tolIPona#noun#2#RM
main_line	muKya_lAina#muKya_lAina#noun#2#RM
manual_ringing	karacala_vAxana#karacala_vAxana#noun#2#RM
manual_telephone_exchange	mEnuala_tolIPona_eksaceMja#mEnuala_tolIPona_eksaceMja#noun#3#RM
manually_operated	haswacAliwa#haswacAliwa#noun#2#RM
marker_light	cinhaka_bawwI#cinhaka_bawwI#noun#2#RM
marking_wave	cinhana_warafga#cinhana_warafga#noun#2#RM
master_oscillator	praXAna_xolaka#praXAna_xolaka#noun#2#RM
mechanical_control	yAnwrika_niyanwraNa#yAnwrika_niyanwraNa#noun#2#RM
mechanical_interlocking_lock	yAnwrika_anwarpASana_wAlA#yAnwrika_anwarpASana_wAlA#noun#3#RM
mechanical_signalling	yAnwrika_siganala#yAnwrika_siganala#noun#2#RM
metallic_circuit	XAwvika_paripaWa#XAwvika_paripaWa#noun#2#RM
miniature_light	laGu_bawwI#laGu_bawwI#noun#2#RM
minimum_deviation	nyUnawama_vicalana#nyUnawama_vicalana#noun#2#RM
misleading_indication	BrAmaka_safkewa#BrAmaka_safkewa#noun#2#RM
mobile_communication	cala_saFcAra#cala_saFcAra#noun#2#RM
modified_lower_quadrant_signal	saMSoXiwa_loara_kvAdreMta_siganala#saMSoXiwa_loara_kvAdreMta_siganala#noun#4#RM
mouth_piece	muKikA#muKikA#noun#2#RM
moveable_diamond_crossing	cala_dAyamaNda_krAsiMga#cala_dAyamaNda_krAsiMga#noun#3#RM
multi_aspect	bahu_safkewI#bahu_safkewI#noun#2#RM
multi_channel	bahu_saraNi#bahu_saraNi#noun#2#RM
multi_frequency	bahu_Avqwwi#bahu_Avqwwi#noun#2#RM
multi_lamp	bahu_bawwI#bahu_bawwI#noun#2#RM
multi_meter	bahu_mApaka#bahu_mApaka#noun#2#RM
multiple_reception	bahu_safgrahaNa#bahu_safgrahaNa#noun#2#RM
multiple_twin_cable	bahu_yugala_kebala#bahu_yugala_kebala#noun#3#RM
multiple_unit	bahu_ekaka#bahu_ekaka#noun#2#RM
mutual_conductance	paraspara_saMvAhiwA#paraspara_saMvAhiwA#noun#2#RM
naked_light	anAvqwwa_bawwI#anAvqwwa_bawwI#noun#2#RM
natural_frequency	svABAvika_Avqwwi#svABAvika_Avqwwi#noun#2#RM
near_end_cross_talk	najaxIkI_sirA_miSriwa_vArwA#najaxIkI_sirA_miSriwa_vArwA#noun#4#RM
network_para_meter	prAcala_wanwra#prAcala_wanwra#noun#3#RM
night_alarm	rAwa_kI_cewAvanI#rAwa_kI_cewAvanI#noun#2#RM
nodal_point	nispanxa_biMxu#nispanxa_biMxu#noun#2#RM
noise_figure	ravAfka#ravAfka#noun#2#RM
noise_suppression	Sora_kA_aXilafGana#Sora_kA_aXilafGana#noun#2#RM
non_fusible	agalanIya#agalanIya#noun#2#RM
non_inductive	gEra_preraka#gEra_preraka#noun#2#RM
non_insulated	saMvAhiwa#saMvAhiwa#noun#2#RM
non_inter_locked_layout	gEra_anwarpASiwa_vinyAsa#gEra_anwarpASiwa_vinyAsa#noun#4#RM
non_isolated_line	apqWakkqwa_lAina#apqWakkqwa_lAina#noun#3#RM
non_linear_distortion	areKika_vikqwi#areKika_vikqwi#noun#3#RM
non_magnetic	acumbakIya#acumbakIya#noun#2#RM
non_polarised_relay	aXruviwa_rile#aXruviwa_rile#noun#3#RM
non_resonant	anunAxahIna#anunAxahIna#noun#2#RM
non_signalled_line	siganala_rahiwa_lAina#siganala_rahiwa_lAina#noun#3#RM
non_synchronous	asamakAlika#asamakAlika#noun#2#RM
normal_and_reverse_indication_lock	sAmAnya_Ora_viparIwa_safkewa_wAlA#sAmAnya_Ora_viparIwa_safkewa_wAlA#noun#5#RM
normal_clear_system	sAmAnya_kliyara_praNAlI#sAmAnya_kliyara_praNAlI#noun#3#RM
normal_contact	sAmAnya_samparka#sAmAnya_samparka#noun#2#RM
normal_danger_system	sAmAnya_KawarA_praNAlI#sAmAnya_KawarA_praNAlI#noun#3#RM
normal_interlocking	sAmAnya_anwarpASana#sAmAnya_anwarpASana#noun#2#RM
normal_lock	sAmAnya_wAlA#sAmAnya_wAlA#noun#2#RM
obstructed_line	avaroXiwa_lAina#avaroXiwa_lAina#noun#2#RM
obstructed_test	avaroXiwa_parIkRaNa#avaroXiwa_parIkRaNa#noun#2#RM
occupation_box	roXaka_petI#roXaka_petI#noun#2#RM
occupation_key	roXaka_cAbI#roXaka_cAbI#noun#2#RM
one_train_system	eka_gAdI_praNAlI#eka_gAdI_praNAlI#noun#3#RM
open_circuit	KulA_paripaWa#KulA_paripaWa#noun#2#RM
open_line	cAlU_lAina#cAlU_lAina#noun#2#RM
open_wire	KulA_wAra#KulA_wAra#noun#2#RM
operation_of_points	kANto_kA_pracAlana#kANto_kA_pracAlana#noun#3#RM
out_put	nirgawa#nirgawa#noun#2#RM
outer_home_signal	bAharI_nikata_siganala#bAharI_nikata_siganala#noun#3#RM
outer_most_home_signal	bAhyawama_nikata_siganala#bAhyawama_nikata_siganala#noun#4#RM
over_energisation	awI_urjAyana#awI_urjAyana#noun#2#RM
over_head_alignment	UparI_saMreKaNa#UparI_saMreKaNa#noun#3#RM
over_lapping	awivyApI#awivyApI#noun#2#RM
over_plugging	ovara_plagiMga#ovara_plagiMga#noun#2#RM
over_run	awicAlana#awicAlana#noun#2#RM
over_shoot	awilafGana#awilafGana#noun#2#RM
over_turn	ulata_jAnA#ulata_jAnA#noun#2#RM
overhead_equipment	UparI_upaskara#UparI_upaskara#noun#2#RM
overhead_line	UparI_lAina#UparI_lAina#noun#2#RM
overhead_protection	UparI_saMrakRaNa#UparI_saMrakRaNa#noun#2#RM
p.b.x._final_selector	nijI_SAKA_keMxra_anwima_saMvaraka#nijI_SAKA_keMxra_anwima_saMvaraka#noun#3#RM
pad_lock	wAlA#wAlA#noun#2#RM
paging_and_talk_back_system	KojI_Ora_parivArwA_praNAlI#KojI_Ora_parivArwA_praNAlI#noun#5#RM
paging_loud_speaker	KojI_Xvani_viswAraka#KojI_Xvani_viswAraka#noun#3#RM
parabolic_reflector	paravalayI_parAvarwaka#paravalayI_parAvarwaka#noun#2#RM
partial_restoring_time	AMSika_yaWA_sWApana_samaya#AMSika_yaWA_sWApana_samaya#noun#3#RM
peak_period	vyaswawama_kAla#vyaswawama_kAla#noun#2#RM
periodical_overhaul	AvaXika_ovarahoYla#AvaXika_ovarahoYla#noun#2#RM
periodical_testing	AvaXika_parIkRaNa#AvaXika_parIkRaNa#noun#2#RM
permanent_speed_restriction	sWAyI_gawi_prawibanXa#sWAyI_gawi_prawibanXa#noun#3#RM
permanent_way	rela_paWa#rela_paWa#noun#2#RM
permanent_way_and_works	rela_paWa_va_nirmANa_kArya#rela_paWa_va_nirmANa_kArya#noun#4#RM
permissible_distance	anumawa_xUrI#anumawa_xUrI#noun#2#RM
permissive_signal	anumawi_siganala#anumawi_siganala#noun#2#RM
phantom_indication	BrAmaka_safkewa#BrAmaka_safkewa#noun#2#RM
phase_equaliser	kalA_samakArI#kalA_samakArI#noun#2#RM
phase_velocity	kalA_vega#kalA_vega#noun#2#RM
photo_electric_emission	prakASa_vixyuwa_uwsarjana#prakASa_vixyuwa_uwsarjana#noun#3#RM
pick_up_apparatus	pika-apa_upakaraNa#pika-apa_upakaraNa#noun#3#RM
pick_up_coil	pika-apa_kuNdalI#pika-apa_kuNdalI#noun#3#RM
pick_up_contact	pika-apa_samparka#pika-apa_samparka#noun#3#RM
pick_up_voltage	pika-apa_voltawA#pika-apa_voltawA#noun#3#RM
pilot_guard_system	pAyalata_gArda_paxXawi#pAyalata_gArda_paxXawi#noun#3#RM
pilot_signal	pAyalata_siganala#pAyalata_siganala#noun#2#RM
pinion_lever	piniyana_lIvara#piniyana_lIvara#noun#2#RM
piston_ring	pistana_kiMraga#pistana_kiMraga#noun#2#RM
plane_of_polarisation	XruvaNa_wala#XruvaNa_wala#noun#3#RM
plate_foundation	AXAra_pattI#AXAra_pattI#noun#2#RM
platform_train_indicator	plEtaPArma_gAdI_safkewaka#plEtaPArma_gAdI_safkewaka#noun#3#RM
play_back	prawi_SravaNa#prawi_SravaNa#noun#2#RM
plug_assembly	plaga_samuccaya#plaga_samuccaya#noun#2#RM
plug_clamping	plaga_banXeja#plaga_banXeja#noun#2#RM
plug_in_type	plagavAlI#plagavAlI#noun#3#RM
plug_isolating	viyojaka_plaga#viyojaka_plaga#noun#2#RM
plunger_type_facing_point_lock	plaFjaranumA_sammuKa_kANtA_wAlA#plaFjaranumA_sammuKa_kANtA_wAlA#noun#5#RM
point_adjusting_screw	kANtA_samAyojaka_peMca#kANtA_samAyojaka_peMca#noun#3#RM
point_and_trap_indicator	kANtA_Ora_trEpa_safkewaka#kANtA_Ora_trEpa_safkewaka#noun#4#RM
point_clamp	kANtA_SikaFjA#kANtA_SikaFjA#noun#2#RM
point_clip	kANtA_klipa#kANtA_klipa#noun#2#RM
point_indicator_,_electrical	vixyuwa_kANtA_safkewaka#vixyuwa_kANtA_safkewaka#noun#4#RM
point_indicator_,_target_type	akRanumA_kANtA_safkewaka#akRanumA_kANtA_safkewaka#noun#5#RM
point_indicator_directional_type	xiSAboXI_kANtA_safkewaka#xiSAboXI_kANtA_safkewaka#noun#4#RM
point_indicatormechanical	yAnwrika_kAtA_safkewaka#yAnwrika_kAtA_safkewaka#noun#2#RM
point_lock_lever	kANtA_wAlA_lIvara#kANtA_wAlA_lIvara#noun#3#RM
point_lockground_track	BU_paWa_kANtA_pASa#BU_paWa_kANtA_pASa#noun#3#RM
point_machine	pAiMta_maSIna#pAiMta_maSIna#noun#2#RM
point_motion_wheel	kANtA_gawi_pahiyA#kANtA_gawi_pahiyA#noun#3#RM
point_motor	pAiMta_motara#pAiMta_motara#noun#2#RM
point_motor_high_voltage	pAiMta_motara_ucca_voltawA#pAiMta_motara_ucca_voltawA#noun#4#RM
point_rodding	kANtA_Cada#kANtA_Cada#noun#2#RM
point_slide	kANtA_slAida#kANtA_slAida#noun#2#RM
polar_diagram	XruvIya_AreKa#XruvIya_AreKa#noun#2#RM
polarised_relay	Xruviwa_rile#Xruviwa_rile#noun#2#RM
pole_of_polarisation	XruvIkaraNa_kA_Xruva#XruvIkaraNa_kA_Xruva#noun#3#RM
poly_carbonate_lenses	pAlI_kArboneta_lensa#pAlI_kArboneta_lensa#noun#3#RM
polyphase_type_relay	bahukalIya_prakAra_kA_rile#bahukalIya_prakAra_kA_rile#noun#3#RM
portable_control_phone	suvAhya_niyanwraNa_Pona#suvAhya_niyanwraNa_Pona#noun#3#RM
portable_phone	suvAhya_Pona#suvAhya_Pona#noun#2#RM
power_block	vixyuwa_bloYka#vixyuwa_bloYka#noun#2#RM
power_frame	vixyuwa_Prema#vixyuwa_Prema#noun#2#RM
power_handling_capacity	vixyuwa_saFcAlana_kRamawA#vixyuwa_saFcAlana_kRamawA#noun#3#RM
power_room	vixyuwa_kakRa#vixyuwa_kakRa#noun#2#RM
power_signalling_laboratory	vixyuwa_siganala_prayogaSAlA#vixyuwa_siganala_prayogaSAlA#noun#3#RM
power_source	vixyuwa_Srowa#vixyuwa_Srowa#noun#2#RM
power_worked_signal	vixyuwa_cAliwa_siganala#vixyuwa_cAliwa_siganala#noun#3#RM
pre_amplifier	pUrva_pravarXaka#pUrva_pravarXaka#noun#2#RM
prescribed_code	nirXAriwa_kUta#nirXAriwa_kUta#noun#2#RM
private_automatic_branch_exchange	nijI_svacala_SAKA_telIPona_keMxra#nijI_svacala_SAKA_telIPona_keMxra#noun#4#RM
private_automatic_exchange	nijI_svacala_telIPona_keMxra#nijI_svacala_telIPona_keMxra#noun#3#RM
private_exchange	nijI_telIPona_keMxra#nijI_telIPona_keMxra#noun#2#RM
private_manual_branch_exchange	nijI_haswacala_SAKA_telIPona_keMxra#nijI_haswacala_SAKA_telIPona_keMxra#noun#4#RM
private_manual_exchange	nijI_haswacala_telIPona_keMxra#nijI_haswacala_telIPona_keMxra#noun#3#RM
private_number	prAiveta_nambara#prAiveta_nambara#noun#2#RM
private_wire	prAiveta_vAyara#prAiveta_vAyara#noun#2#RM
prolonged_ringing	lambI_GaNtI#lambI_GaNtI#noun#2#RM
propagation_coefficient	saFcaraNa_guNAfka#saFcaraNa_guNAfka#noun#2#RM
proper_running_line	sahI_paricAlana_lAina#sahI_paricAlana_lAina#noun#3#RM
protective_device	bacAva_sAXana#bacAva_sAXana#noun#2#RM
protector_strip	rakRaka_pattI#rakRaka_pattI#noun#2#RM
proximity_effect	sAniXya_praBAva#sAniXya_praBAva#noun#2#RM
psophometric_voltage	soPomItrI_voltawA#soPomItrI_voltawA#noun#2#RM
public_address_equipment	jana_samboXana_upaskara#jana_samboXana_upaskara#noun#3#RM
public_address_system	jana_samboXana_praNAlI#jana_samboXana_praNAlI#noun#3#RM
pull-pull_mechanism	pula_pula_mEkAnijma#pula_pula_mEkAnijma#noun#2#RM
pull_chart	pula_cArta#pula_cArta#noun#2#RM
pull_sheet	pula_SIta#pula_SIta#noun#2#RM
pulsating_current	spanxI_XArA#spanxI_XArA#noun#2#RM
pulse_modulated_wave	nAdI_spanxiwa_warafga#nAdI_spanxiwa_warafga#noun#3#RM
push_button	xAba_batana#xAba_batana#noun#2#RM
push_button_telephone	xAba_batana_telIPona#xAba_batana_telIPona#noun#3#RM
q_factor	kyU_wawva#kyU_wawva#noun#2#RM
q_meter	kyU_mApaka#kyU_mApaka#noun#2#RM
q_uadrant	kvAdreMta#kvAdreMta#noun#2#RM
radiation_efficiency	vikiraNa_xakRawA#vikiraNa_xakRawA#noun#2#RM
radio_broadcasting	rediyo_prasAraNa#rediyo_prasAraNa#noun#2#RM
radio_communication	rediyo_saFcAra#rediyo_saFcAra#noun#2#RM
radio_frequency	rediyo_Avqwwi#rediyo_Avqwwi#noun#2#RM
radio_link	rediyo_kadI#rediyo_kadI#noun#2#RM
radio_location	rediyo_sWiwi#rediyo_sWiwi#noun#2#RM
radio_receiver	rediyo_safgrAhaka#rediyo_safgrAhaka#noun#2#RM
radio_station	rediyo_steSana#rediyo_steSana#noun#2#RM
radio_telegraphy	rediyo_wAra_vixyA#rediyo_wAra_vixyA#noun#2#RM
radio_telephony	rediyo_telIPonI#rediyo_telIPonI#noun#2#RM
rail_clip	rela_klipa#rela_klipa#noun#2#RM
rail_contact	rela_samparka#rela_samparka#noun#2#RM
rail_net	rela_neta#rela_neta#noun#2#RM
rampant_cover	DAla_Dakkana#DAla_Dakkana#noun#2#RM
rated_voltage	nirXAriwa_voltawA#nirXAriwa_voltawA#noun#2#RM
reactance_transformer	prawikAryawA_trAMsaPArmara#prawikAryawA_trAMsaPArmara#noun#2#RM
reactance_voltage	prawikAryawA_voltawA#prawikAryawA_voltawA#noun#2#RM
record_circuit	aBileKa_paripaWa#aBileKa_paripaWa#noun#2#RM
rectifier_bridge	pariSoXaka_brija#pariSoXaka_brija#noun#2#RM
rectifier_selenium	pariSoXaka_silIniyama#pariSoXaka_silIniyama#noun#2#RM
reflection_loss_or_gain	parivarwana_lABa_yA_hAni#parivarwana_lABa_yA_hAni#noun#4#RM
relay_auto_to_auto_set	svacala_se_svacala_prasAraNa#svacala_se_svacala_prasAraNa#noun#5#RM
relay_coil	rile_kAyala#rile_kAyala#noun#2#RM
relay_set	rile_seta#rile_seta#noun#2#RM
relay_spring	rile_kviMspraga#rile_kviMspraga#noun#2#RM
release_number	nirmukwi_nambara#nirmukwi_nambara#noun#2#RM
release_wire	nirmukwi_wAra#nirmukwi_wAra#noun#2#RM
remote_control	xUravarwI_niyanwraNa#xUravarwI_niyanwraNa#noun#2#RM
remote_control_equipment	xUravarwI_niyanwraNa_upaskara#xUravarwI_niyanwraNa_upaskara#noun#3#RM
repeal_and_saving	nirasana_va_vyAvqwwi#nirasana_va_vyAvqwwi#noun#3#RM
repeat_indication	punarAvqwwa_safkewa#punarAvqwwa_safkewa#noun#2#RM
repeated_circuit	punarAvqwwa_paripaWa#punarAvqwwa_paripaWa#noun#2#RM
repeater_shunt_signal	punarAvarwaka_SaNta_siganala#punarAvarwaka_SaNta_siganala#noun#3#RM
repeating_coil	punarAvarwana_kuNdalI#punarAvarwana_kuNdalI#noun#2#RM
repeating_signal	punarAvarwana_siganala#punarAvarwana_siganala#noun#2#RM
replacer_signal	prawisWApayiwA_siganala#prawisWApayiwA_siganala#noun#2#RM
