A-level_noun	ucca_swarIya
classic_noun	uwkqRta_uxAharaNa/uwkqRta_sAhiwya/prAcIna_sAhiwya/kalA/SreRtawama
classical-music_noun	SAswrIya_safgiwa
classicism_noun	SreNyavAxa
classicist_noun	SAswrIya_praNAlI_kA_anusarana_karanevAlA
classification_noun	vargIkaraNa/SreNIviBAjana
classifieds_noun	vargIkqwa_vijFApana
classmate_noun	sahapATI
classroom_noun	kakRA
clatter_noun	KadaKadAhata
clause_noun	upavAkya/paricCexa/{vyAkaraNa_sambanXI}vAkyAMSa/KaNda
claustrophobia_noun	saMvqwa-sWAna-BIwi/klAstroPobiyA{banxa_jagaha_me_Gutana_mahasUsa_karanA}
clavichord_noun	eka_prakAra_kA_vAxya_yanwra
clavicle_noun	hazsulI
claw-back_noun	kara_lagAkara_vasUlI
claw-hammer_noun	jambUrA
claw_noun	paFjA/sEYdasI/paFjA_CEnII
clay_noun	saKwa_cikanI_mittI/vyakwiwva/Sava/prawiBA/mittI/lASa/kIcada/cikanI_mittI
claymore_noun	eka_prakAra_kI_lambI_walavAra
clean-up_noun	saPAI/saPAyA
clean_noun	saPAI/niRkalafka_Orawa
cleaner_noun	sAPa_karane_vAlA/pampa/mArjaka
cleaners_noun	mArjaka-xukAna
cleaning_noun	saPAI
cleanliness_noun	svacCawA/saPAI
cleanser_noun	SoXana_karanevAlA/sAPa_karane_vAlA
clear-headedness_noun	samaJaxArI
clear_noun	KulI_jagaha
clearance_noun	nikAsI/nirbAXana/anwara/prakASa_meM_dAlanA
clearing-house_noun	nikAsI_gqha
clearing_noun	vqkRahIna_kRewra/samASoXana
clearness_noun	saPAI/spaRtawA
clearway_noun	nirbAXa_paWa
cleat_noun	PannI/lakadI_yA_XAwu_kI_pattI_jo_bAzXane_ke_kAma_AwI_ho
cleavage_noun	swanoM_ke_bIca_kA_BAga/vakRa-vixaraNa
cleaver_noun	badA_CurA/mAzsa_kAtane_kA_cAk
clef_noun	safgIwa_svaroM_kA_prawIka
cleft_noun	viBAjiwa
clematis_noun	eka_prakAra_kI_bela/murvA
clemency_noun	xayA/anukUlawA/xayASIlawA
clepsydra_noun	jalaGadI
clerestory_noun	carca_kI_xIvAra_kA_UparI_BAga
clergy_noun	pAxarI/purohiwa-varga
clergyman_noun	pujAra
cleric_noun	pAxarI/XArmika_newA
clerk_noun	leKAkAra/vixvAna/peSakAra/pAxarI/lipika/klarka/kirAnI/aXikArI
cleverness_noun	hoSiyArI
cliche_noun	calana_se_bAhara_huA_muhAvarA/piRtokwi_prayoga/piRtokwi
click_noun	Kata-Kata/KataKata_kI_AvAja
client_noun	muvakkila/klAyanta/grAhaka/upaBogawA
cliff-hanger_noun	anwa_aniSciwa_vAlA_nAtaka
cliff_noun	KadI_cattAna/prapAwa/Bqgu
climate_noun	jalavAyu/vAwAvaraNa/AbohavA/parisWawi
climatology_noun	jalavAyu_vijFAna
climax_noun	SiKara/parAkARTA/caramAvasWA/carama_binxu
climb-down_noun	prawyAhAra/nivarwana/BUla-svIkAra
climb_noun	caDAva/caDAI/caDAna/ArohaNa
climber_noun	caDane_vAlA/lawA/ArohI/bela/samAja_meM_ucca_varga_kI_ora_DAlane_vAlA
climbing-frame_noun	Arohana-DAzcA
climbing_noun	ArohaNa
clime_noun	jalavAyu
clinch_noun	pakada
clinic_noun	cikiwsAlaya/klInika
clink_noun	tana-tana_kI_AvAja/jela/JanaJanAhata
clinker_noun	BattI_se_prApwa_rAKa_kA_Dera
clinking_noun	JanaJanAhata
clip-joint_noun	manoraFjana_sWala
clip_noun	klipa/kilapa/kAzta_CAzta/kaware_hui_Una_kA_gAlA/kArawUsa_kI_petI/hAwa_kA_PurwIlA_prahAra/cimatI/CaztAI/prahAra/aMSa/golI_dalI_huI_banxUka
clipboard_noun	kAgaja_Axi_pakadane_kI_waKwI/klipaborda
clipper_noun	kawaranI/powa/kEFcI
clippers_noun	kEFcI
clipping_noun	katifga
clique_noun	guta
clitoris_noun	BaganAsA/Baga-SiSna
cloaca_noun	mala-jala_nikAsa_pAipa
cloak_noun	labAxA/Ada
cloakroom_noun	sAmAna_raKane_kA_sWAna/sAmAna-kakRa
clobber_noun	sAmAna/kapade-lawwe_iwyAxi
cloche_noun	pAxapa-AvaraNa/kloSa
clock-watcher_noun	GadI_xeKa_kara_kAma_karane_vAlA_karmacArI
clock_noun	GadI/xIvAra_GadI/virAma-GadI/reSamI_kAma/mIlamApI/ceharA/cAlamApI
clockwork_noun	yaNtra_nirmANa_kalA/yaNtra
clod_noun	mUrKa_vyakwi/DelA
clodhopper_noun	gazvAra/BArI_jUwA
clog-dance_noun	klaga_nqwya
clog_noun	lakadI_ke_cappala/KadA/jUwe
cloister_noun	ekAnwasWala/woraNa-paWa/maTIya_jIvana
clone_noun	hUbahU/prawirUpa/klona_safgaNaka/amiWunaka
cloning_noun	prawirUpaNa
clonk_noun	Xvani
close-down_noun	prasAraNa_samApwi/kArya-banxI
close-up_noun	badA_evaM_pAsa/nikata_Sata/nikatacitra
close_noun	samApwII/anwa/samApwi
closeness_noun	najaxIkI
closet_noun	alamArI/SOcaGara/CotA_kamarA
closing-date_noun	anwima_wiWi
closing-time_noun	banxa_karane_kA_samaya
closure_noun	samApana/kAma_banxI/banxI/banxa_honA
clot_noun	WakkA/mUrKa_vyakwi
cloth_noun	kapadA/waSwariyAz_poFCane_ka_kapadA/vastra/pAxarI/mejapoSa/kavara
clothes-brush_noun	kapade_sAPa_karane_kA_braSa
clothes-hanger_noun	kapade_tAfgane_kA_hEfgara
clothes-horse_noun	PESanaparaswa_Orawa/lakadI_kI_alaganI
clothes-line_noun	rassI_kI_alaganI
clothes-peg_noun	kapadoM_kI_pina
clothes-pin_noun	kapadoM_kI_pina
clothes_noun	vaswra/kapade
clothing_noun	vaswra/pariXAna/pahanAvA
cloud-cuckoo-land_noun	kalpanA-loka
cloud-land_noun	kalpanA-loka
cloud_noun	bAxala/xala-bAxala/gubArA
cloudburst_noun	acAnaka_bAriSa_honA/mUsalAXAra_varRA
clout_noun	GUzsA/mukkA/praBAva
clove_noun	lOfga/javA
clover_noun	eka_prakAra_kA_pOXA
clown_noun	jokara/vixURaka/BAzda/mUrKa
cloze-test_noun	kloja_testa/rikwa_sWAno_kI_pUrwI_sahI_Sabxo_se_karane_kI_parIkRA
club-foot_noun	pAxavikqwi
club_noun	klaba/stika/safGa/rAwri-klaba/rAwri-goRTI/mugaxara/lATI/klaba-Gara/gaxA/daNdA/cidiyA/cidI
clubhouse_noun	klaba_saxana
cluck_noun	kudakudAnA
clue_noun	sUwra/surAga/safkewa_Sabxa/safkewa
clump_noun	gucCA/XamaXamAhat/lOnxA/Juramuta/Xama-Xama_karane_kA_calana
clunk_noun	Gisane_kI_AvAja/Xamma
cluster_noun	gucCA/Juramuta/JuNda
clutch_noun	pakada/klaca/cafgula/ando_se_nikale_hui_baccee/aNdo_kA_samuccaya/yanwroM_ke_aMSoM_ko_jodane_vAlA_upakaraNa
clutches_noun	pakada
clutter_noun	avyavasWiwa
cm_noun	seNtimItara
co-occurrence_noun	sahavarwI_GatanA
co-ordinator_noun	wAla-mela_bETAne_vAlA
co-respondent_noun	saha-uwwaravAxI
co-worker_noun	sahakarmI
coach-house_noun	gAdIGara
coach_noun	basa/yAna/rela_kA_dibbA/praSikRaka/prAiveta_tyUtara/bagXI/SikRaka
coachload_noun	basa_meM_yAwrIyoM_kA_samUha
coachman_noun	GodAgAdI_cAlaka
coagulation_noun	WakkA
coal-gas_noun	koyale_se_nikalI_gEsa
coal-hole_noun	laGu_koyalA_koRTa
coal-scuttle_noun	koyale_kA_tokarA
coal-tar_noun	dAmara
coal_noun	koyalA/afgAra
coalface_noun	koyale_kA_Dera
coalition_noun	safgaTana/Ekya/asWAyI_safgaTan
coalmine_noun	koyale_kI_KAna
coaming_noun	jahAja_ke_kinAroM_kA_uTA_huA_BAga
coarseness_noun	KuraxarApana/GatiyApana
coast_noun	samuxra_wata/wata/kinArA
coaster_noun	garma_barwana_Axi_raKane_kI_gola_tikalI/mAla_Done_vAlA_jahAja
coastguard_noun	wata_kI_surakRA_bala/watarakRaka_senA
coastline_noun	samuxrI_kinArA/wata-reKA
coat-hanger_noun	kota_tAfgane_kA_hEfgara
coat_noun	kota/waha/roma/paraxA/parawa/labAxA/KAla/kota_kA_kapadA/JillI/jAketa/CilakA/camadA/bAla/AvaraNa/{AvaraNa}jAnavara_ke_bAla/lepa
coaxer_noun	PusalAne_vAlA_vyakwi
coaxing_noun	KuSAmaxa/manAnA
cob_noun	gola_dabala_rotI/nAtA_GodA/haMsa/mittI_Ora_BUsA_milAkara_banA_huA_paxArWa
cobalamin_noun	kobAlamina
cobalt_noun	kobAlta_se_nikalane_vAlA_nIlA_rafga/kobAlta/eka_prakAra_kI_XAwu
cobble_noun	Cote_pawWara
cobbler_noun	mocI/kablara/bakavAsa
cobra_noun	viRElA_sAmpa
cobwebs_noun	makadI_kA_jAla
cocaine_noun	kokena{naSIlI_vaswu}
coccyx_noun	merUxaNda_ke_nIce_kI_CotI_haddI
cochineal_noun	KAnevAlA_lAla_rafga
cock-a-doodle-doo_noun	kukadUz-kUM
cock-crow_noun	subaha
cock-fight_noun	kukkuta_yuxXa
cock-fighting_noun	kukkuta_yuxXa
cock-up_noun	sawyAnASa/bigAdanA
cock_noun	murgA/SikRna/roXanI/narapakRI/konaxAra_BUse_kA_Dera/besira_pEra_kI_bAwa/banxUka_kA_GodA
cockatoo_noun	eka_prakAra_kA_wowA/kAkAwuA
cockerel_noun	murga_patTA
cockiness_noun	AkrAmaka_xqDEYwA
cockney_noun	lanxaniyA
cockpit_noun	kakapita/cAlaka-sWAna/{vAyuyAna_meM}cAlaka_sWAna
cockroach_noun	wilacittA
cockscomb_noun	murge_kI_kalagI
cocktail_noun	maxyapAna_kI_xAvawa/mikRaNa/maXapAna_kI/kakatela
cocoa_noun	koko
coconut_noun	nAriyala
cocoon_noun	koyA/surakRA_kavaca
cocotte_noun	veSyA
cod_noun	eka_prakAra_kI_maCalI/kada
coda_noun	ABoga/kodA
code-name_noun	sAfkewika_nAma
code_noun	kUta_safkewa/saMhiwA/kUta_BARA/koda/sAfkewika_afka/niyamAvalI
codeine_noun	kodIna{xarxa_nivAraka_xavA}
codger_noun	anoKA_bUDA_vyakwi
codicil_noun	pariSiRta/upaxiwsA
codswallop_noun	bakavAsa
coed_noun	sahaSikRA
coefficient_noun	guNAfka/sahakArI_kAraNa
coercion_noun	jora-jabaraxaswI/jora-jabarxaswI
coexistence_noun	saha_aswiwva/saha-aswiwva/mila-julakara_rahanA
coffee-bar_noun	jalapAnagqha
coffee-break_noun	maXyavakASa
coffee-morning_noun	koYPI-marnifga
coffee-shop_noun	koYPI_kI_xukAna
coffee-table-book_noun	samaya_biwAne_kelie_kiwAba
coffee-table_noun	koYPI_pIne_kI_meja
coffee_noun	koYPI/koYPI_kA_bIja/halkA_Bojana/BUrA_rafga/kOPI
coffer_noun	wijorI/hAWa/Xana
coffers_noun	hAWa
coffin_noun	wAbUwa
cog_noun	cakraxanwa/xAzwA
cogency_noun	akAtyawA
cogitation_noun	gahana_cinwana
cognac_noun	konyAka
cognition_noun	parokRa_jFAna/jFAna
cognizance_noun	pUrNa_jAnakAra_honA
cognoscenti_noun	bAvarcI/kalA-marmajFa
cogwheel_noun	xanwa-cakra
coherence_noun	saMsakwawA
cohesion_noun	saMsaFjana/saMsaFjakawA/saMsakwi
cohesiveness_noun	saMsakwi/lasIlApana/cipacipAhata
cohort_noun	sahayoga/xaswA/xala
coil_noun	lapeta/lacCA/kuNdalI/kAzyala/kayala/GUzGara/anwargarBASayI_yanwra/valayaka
coin_noun	sikkA/tafka/muxrA
coinage_noun	sikkA/sikkA-DalAI/Sabxa-AviRkAra/gaDanA
coincidence_noun	saMyoga/sampAwa/anurUpawA
coir_noun	nAriyala-jatA/nAriyala_kI_jatA
coition_noun	samBoga
coitus_noun	samBoga
cokaine_noun	kokIna
coke_noun	kokIna/koka
col_noun	wafga_GAtII
colander_noun	CalanI
cold-chisel_noun	eka_prakAra_kI_CenI
cold-cream_noun	camade_para_lagAne_kA_lepa
cold-cuts_noun	pakA_huA_TaNdA_goSwa
cold-frame_noun	SISe_se_DakA_huA_lakadI_kA_DAzcA
cold-snap_noun	acAnaka_alpa_samaya_kelie_TaNda_padanA
cold-sore_noun	muzha_ke_CAle
cold-storage_noun	SIwAgAra
cold-sweat_noun	BayaBIwa_honA
cold-war_noun	SIwa_yuxXa
cold_noun	TaNdI_havA/TaNdA_mOsama/TaNdaka/TaNda/sarxI/jukAma/juKAma
coldness_noun	upekRA
coleslaw_noun	eka_prakAra_kI_BAjI/kolesla
colic_noun	uxaraSUla/sUla_maroda{peta_kA_xarxa}
colitis_noun	vqhaxAnwra-SoWa/bqhaxAnwra-SoWa
collaboration_noun	sahayoga
collaborationist_noun	xeSaxrohI
collaborator_noun	sahayogI/xeSaxrohI
collage_noun	kolAja/samucciwa_ciwrakalA/samucciwa_ciwra/safgraha/kAgaja_kapade_iwyAxi_ke_tukadoM_se_ciwra_banAne_kI_kalA
collapse_noun	pawana/girAvata/viXvaMsa/asaPalawA
collar-bone_noun	hazsalI/hazsulI
collar_noun	garaxanI/valayasajjA/pattA/kaNTAhAra/kalara/hAra/galapatta/gale_kA_pattA
collation_noun	halkA_KAnA/milAna
colleague_noun	sahakAryakarwA/sahakarmI
collect_noun	safkRipwa_prArWanA/CotI_prArWanA
collectable_noun	safgrahaNIya_vaswu
collectible_noun	safgrahaNIya_vaswu
collection_noun	saMgraha/saFcayana/safkalana/safgraha_karanA/saFcaya/jamAva/Dera/canxA/BIda/safgrahaNa/ikatTA_nikAlanA/kapado_kA_safgraha/samUha
collective-noun_noun	samUhavAcaka_saFjFA
collective_noun	sAmUhika_saMsWA/sAmUha/safgaTana/samUha
collectivisation_noun	sAmUhikIkaraNa
collectivism_noun	samUhavAxa/sAmUhikavAxa
collectivist_noun	samUhavAxI
collectivization_noun	sAmUhikIkaraNa
collector_noun	safgrahakarwA/safkalanakarwA/kalektara/jilAXikArI
colleen_noun	javAna_ladakI
college_noun	kAleja/wakanIkI_kenxra/vixyAlaya-Bavana/vixyalaya/safGa/mahAvisyAlaya/kenxra/gaNa/mahAvixyAlaya
collie_noun	eka_prakAra_kA_kuwwA/kalI
collier_noun	koyale_kI_KAna_me_kAma_karanevAlA/koyalA_vAhaka_powa/koyalA_Kanaka
colliery_noun	koyale_kI_KAna/koyalA-KAna
collins_noun	kOliFja
collision-course_noun	mawaBexa_lAne_vAlA_kArya
collision_noun	takkara/safGarRa/vicAroM_meM_takkara
collocation_noun	sAWa_sAWa_AnevAle_Sabxa/saha_vinyAsa/sAhacarya
colloquia_noun	OpacArika_vArwAlApa
colloquialism_noun	bolacAla_kI_BARA
colloquy_noun	svayaM_se_bAwa_karanA
collusion_noun	milI_Bagawa/milIBagawa
collywobbles_noun	peta_xarxa
cologne_noun	kolona
colon_noun	kolana/malASaya/kolana{:}
colonel_noun	karnala
colonial_noun	upaniveSI
colonialism_noun	upaniveSavAxa
colonisation_noun	upaniveSa_basAnA/upaniveSana
colonist_noun	upaniveSa_kA_rahanevAlA/upaniveSI
colonization_noun	upaniveSana
colonnade_noun	swamBAvalI
colony_noun	upaniveSa/upanagara/baswI
color_noun	rafga/jIvanwawA
coloring_noun	raFjaka/rafgawa/rafga_BaranA
colorlessness_noun	varNahInawA/rafgahInawA/avarNawA
colossus_noun	xIrGakAya_vyakwi[vaswu]
colour-scheme_noun	rafga_vyavasWA
colour-supplement_noun	samAcArapatra_kA_rafgIna_pUraka
colour_noun	rafga/xiKAvA/vAswavikawA/varNa/sUrawa/lAlI/jIvanwawA/Dofga/bahAnA
colouring_noun	raFjaka/rafgawa/rafga_BaranA
colourlessness_noun	varNahInawA/rafgahInawA/avarNawA
colpitis_noun	yoniSoWa/yoni-praxAha
colt_noun	nOsiKiyA_KilAdI/aSvaSAvaka/baCedA{Gode_kA}
column_noun	swamBa/XUma_swamBa/xaNda/tukadI/pafkwi/pafkw/kalama/bedA/sEnyaxala/pqRTa_kA_eka_KaNda
columnist_noun	swamBaleKaka
coma_noun	behoSI_kI_nInxa/sammUrCA
comb_noun	kafGA/XunakI/wurA/Sahaxa_kA_CawwA/maXu-koRa/kafGI/kalagI/cotI/kukkutaSiKA/CawwA
comb_verbal_noun	kafGI_kara
combat_noun	yuxXa/ladAI
combatant_noun	yoxXA/ladAk
combination_noun	saMyoga/saMmiSraNa/safKyA/saFcaya/sambanXa/milAp/mela-milApa/mela/kurwA-pAyajAmA/saMyojana/banxiSa{afkoM_kI}
combine_noun	sammiSraNa/Pasala_kAtane_kI_maSIna/mela/jawWA
combo_noun	sammiSraNa/safgIwa-maNdalI
combustion_noun	xahana/jalAnA/hiMsA
come-on_noun	AkarRaNa
comeback_noun	vApasI/prawyuwwara
comedian_noun	hazsAnevAlA/hAsya_aBinewA
comedienne_noun	hAsya_aBinewrI
comedown_noun	pawana
comedy_noun	harRapraXAna_nAtaka/vinoxapriyawA/kamedI/hAsyapraXAna_nAtaka
comer_noun	prawyASI/Aganwuka
comestible_noun	AhAra
comet_noun	XUmrakewu/pucCala_wArA
comfort_noun	ArAma/xilAsA/suKakara_vaswu/suKa/sAnwvanA/ASvAsana_xenevAlA
comforter_noun	xulAI/rajAI/cusanI
comic_noun	ciwrakaWA
coming_noun	Agamana
comma_noun	alpavirAma
command_noun	SAsana/xaswA/safkewa/praBuwva/paharA/niyaNtraNa/nirikRaNa/kamAna/kamANda/kAbU/aXikAra/AxeSa/AjFA/vaSa/Sakwi
commandant_noun	senApawi/kamANdeNta
commander-in-chief_noun	praXAna_senApawi
commander_noun	kamANdara/senApawi/nAyaka/kamANdara{senA_kA_aPasara}
commandment_noun	AjFA/XarmAxeSa/ISvara_kI_AjFA
commando_noun	kamANdo
commemoration_noun	smaraNowsava/smqwi
commencement_noun	AramBa/SuruAwa
commendation_noun	sarAhanA/praSaMsA
comment_noun	tIkA-tippaNI/tippaNII/tippaNI/AlocanA
commentary_noun	BARya/tippaNI/kameNtrI
commentator_noun	BARyakAra/vivaraNa_prasAraka/tIkAkAra/samAlocaka
commerce_noun	vANijya
commercial_noun	vijFApana
commercialism_noun	vANijyavAxa/baniyApana
commiserate_noun	kisI_para_xayA_karanA
commission_noun	Ayoga/xalAlI/kAryaBAra/karanA/kamISana/aXikAra
commissioner_noun	Ayukwa/kamiSnara/aXikArI
commitment_noun	vAxA/vacanabaxXawA/supurxagI/jimmexArI/BarawI
committal_noun	pAgalaKAne_BejanA/giraPwArII
committee_noun	samiwi/saMsaxa/samiwi_kA_saxasya/kametI/jAmIna/Ayoga
commode_noun	kamoda/almArI
commodiousness_noun	viSAlawA
commodity_noun	sAmagrI/upayogI_vaswu/mAla
commodore_noun	kamodora
common-multiple_noun	samApavarwya
common-room_noun	vinoxa_kakRa
common_noun	sArvajanika_sWala/sAmUhika_BUmi
commoner_noun	sAXAraNa_nAgarika
commonplace_noun	Ama_bAwa/sAmAnya/sAXAraNa_viRaya
commonwealth_noun	rARtramaNdala/rARtra
commotion_noun	halacala/ho-hallA/hafgAmA
commune_noun	bAwacIwa/mEwrika_bAwacIwa
communicant_noun	holI_kamyUniyana_meM_BAga_lene_vAlA
communicating_noun	saFcAraNa
communication_noun	saFcAra/sUcanA/saMsarga/samparka/saFcAravyavasWA
communicator_noun	saFcAraka
communion_noun	samAna_Xarma_ko_mAnane_vAlA_samUha/XArmika_sampraxAya/kamyuniyana/praBu_IsA_masIha_ke_smaraNa_meM_Boja
communion_verbal_noun	judA_ho
communique_noun	sarakArI_vijFapwi/vijFapwi
communism_noun	sAmyavAxa
communist_noun	sAmyavAxI
community_noun	samAja/samuxAya/sampraxAya
commutability_noun	wawwvAnwaraNIyawA/rUpAnwaraNIyawA
commutation_noun	BArI_xaNda_ke_sWAna_para_halkA_xaNda_xenA/vinimaya/laGUkaraNa
commuter_noun	AnA-jAnA_karane_vAlA
compact_noun	samaJOwA/CotI_SqfgAra_maFjURA/xo_loga_yA_xo_xeSoM_ke_bIca_sahamawi/CotI_sI_dibIyA
compactness_noun	Tosapana
companion-way_noun	jahAja_kI_sIDI
companion_noun	sAWI/vyakwi/saKI/sahayogI/sahacara/roSanaxAna/mitra/jodI/jahAja_kI_sIDI/hissexAra/CotI_puswaka
companionship_noun	sAWa/safgawi
company_noun	kampanI/xala/uxyoga/tolI/sAWI/sAWa/safgawi/safga/sahayogI/mitra/milanevAlA/mehamAna/maNdalI/janasamUha/ikAI/awiWi/safgawa
compare_noun	wulanA
comparison_noun	wulanA/samAnawA
compartment_noun	viBAga/KAnA/dibbA
compass_noun	kampAsa/xiksUcaka/pariX/parakAra/pahuzca/xiSA_nirUpaNa_yanwra/sImA
compassion_noun	anukampA/sahAnuBUwi/xayA
compatibility_noun	anukUlawA
compatriot_noun	eka_xeSa_vAsI/hamavawana
compendium_noun	sUcanAoM_ke_bAre_meM_viswqwa_vivaraNa/safgraha-puswaka
compensation_noun	harajAnA/muAvajA/kRawipUraNa
compere_noun	kAryakrama-uxGoRaka
competence_noun	yogyawA/sAmarWyawA
competency_noun	yogyawA
competition_noun	sparXA/xvanxvayuXxa/sparXxA/safGarRa/prawiyogiwA/prawixvanxviwA/prawisparXxI/prawisparXxA/prawisparXA
competitor_noun	prawisparXxI/prawiyogI/prawixvanxvI
compilation_noun	safkalana/safgrahaNa/safgraha
compiler_noun	safkalanakarwA/kampAilara
complacency_noun	AwmasanwoRa/sanwoRa
complainant_noun	PariyAxI/{kAnUna_sambanXI}muxxaI
complainer_noun	SikAyawI_vyakwi/ririyAne_valA
complaint_noun	SikAyawa/xAvA/vyAXi/roga/PariyAxa/mukaxamA/JagadA/bayAna/Aropa
complement_noun	pUraka/viXeyArWa/kotA/samapUraka
completeness_noun	sampUrNawA
completion_noun	samApwi/samApana
completion_verbal_noun	pUrA_ho
complex_noun	safkula/granW/BIwi
complexion_noun	varNa/svarUpa
complexity_noun	jatilawA
compliance_noun	sammawi/samarpaNa/anurUpawA/anupAlana/anukUlawA
complication_noun	samasyA/ulaJana/pareSAnI/jatilawA
compliment_noun	praSaMsA/SuBakAmanAez
component_noun	Gataka/aMSa
composer_noun	racayiwA/safgIwakAra
composite_noun	saMyojana
composition_noun	saMracanA/safGatana/racanA/leKana/kqwi/gIwa_racanA/banAvata/saMyojana/CotI_sI_leKa
compositor_noun	akRara-saMyojaka
compost_noun	KAxa/vAnaspawika_KAxa
composure_noun	AwmasaMyama
compound_noun	miSraNa/yOgika_paxArWa/saMyukwa_Sabxa/saMyukwa_paxArWa/samAsa/prAfgaNa/ahAwA/Azgana
comprehensibility_noun	boXagamyawA
comprehension_noun	samaJa/boXa
comprehensive_noun	bahupATyakrama_vixyAlaya
comprehensiveness_noun	vyApakawA/boXagamyawA
compress_noun	pattI
compression_noun	xabAva
compressor_noun	sampIdaka
compromise_noun	samaJOwA/maXyamArga
comptroller_noun	niyanwA/leKAniyanwA
compulsion_noun	xabAva/anivAryawA/vivaSawA
compunction_noun	Kexa
computation_noun	safgaNanA
computer-simulation_noun	safganaka_anurUpaNa
computer_noun	safgaNaka/parikalaka/kampUtara/gaNaka/kampyUtara
computerisation_noun	kampyUtarIkaraNa
computerization_noun	kampyUtarIkaraNa
computing_noun	safgaNanA/safgaNana
comrade_noun	sAWI/kamareda
con_noun	XoKA/kExI
concatenation_noun	SrqKaMlAbaxXIkaraNa
concealment_noun	CipAva/CipanA
conceding_noun	svIkqwi
conceit_noun	hAsyokwi/GamaNda
concentrate_noun	gADA_Gola
concentration_noun	ekAgrawA/wanmayawA/saGanawA/jamAva/samAhqwawA
concept_noun	safkalpanA/prawyaya/avaXAraNA
conception_noun	XAraNA/safkalpanA/samaJa/avaXAraNA/garBAXAna
conceptualization_noun	vEcArikawA
concern_noun	cinwA/xilacaspI/sambanXa/sahAnuBUwi/muxxA/Parma/prawiRTAna/kArobAra/kAraKAnA/cIja
concert_noun	safgIwa_goRTI/safgIwa-samAroha/safgIwa_kAryakrama/samavewa_Xvani/samavewa_svara/mela/safgIwa_saBA
concerto_noun	banxiSa
concession_noun	riyAyawa/svIkqwi/suviXA/CUta/AjFA_praxAna
conch_noun	SafKa
conciliation_noun	sulaha/samAXAna
conciliator_noun	maXyasWa/SAnwi-sWApaka
conciseness_noun	safkRipwawA
conclave_noun	gupwa_saBA
conclusion_noun	niRkarRa/samApwi
concoction_noun	miSraNa
concomitant_noun	sahavarwI_vaswu
concord_noun	mela/anviwi/anvaya/ekawA
concordance_noun	SabxAnukramaNikA/sAmaFjasya/kankardensa/samarasawA
concourse_noun	BIda/hala
concrete-mixer_noun	sImenta_miSraka
concrete_noun	kafkrIta/rodA
concupiscence_noun	kAmavAsanA
concurrence_noun	sahamawi/samApAwa
concussion_noun	sira_kI_anxarUnI_cota/maswiRkAGAwa
condar_noun	xakRiNa_amarIkA_kA_badA_goXa
condemnation_noun	xoRa_lagAnA/ninxA
condensation_noun	safkRepaNa/xravaNa/safGanana/GanIkaraNa
condescension_noun	namrawA/kqpAluwA
condiment_noun	masAlA
condition_noun	sWiwi/xaSA/upAXi/svAsWya/Sarwa/prawibanXa/parisWiwi/hAlAwa/BugawAna_Sarwa/bImArI/hAlawa
condolence_noun	Soka/sahAnuBUwi
condom_noun	garBa_niroXaka_AvaraNa/kaNdoma
condominium_noun	saharAjya/kandominiyama
conduct_noun	AcaraNa/praNAlI/barwAva
conduction_noun	cAlana
conductivity_noun	cAlakawA
conductor_noun	cAlaka/saMvewa_gAna/vAXAxi_kA_nirxeSaka/kaNdaktara/gArda/paricAlaka/nixeSaka/wApa_aWavA_vixyuwa_cAlaka
conduit_noun	pAnI_kI_morI/vAhaka/nAlI
cone_noun	kona/xevaxArU_kA_Pala/safku/kona{SuNdAkAra_vaswu}
confection_noun	miTAI/murabbA/pAga
confectioner_noun	halavAI
confectionery_noun	miTAI_kI_xukAna/miRtAna
confederacy_noun	sanXi
confederate_noun	sAWa_meM_kAma_karanevAlA/sAWI/saha-aparAXI
confederation_noun	safGa/safgaTana
conference_noun	sammelana
confession_noun	Xarma-sixXAnwoM_kI_svIkqwi/svIkArokwi/pApa-svIkaraNa/aparAXa-svIkaraNa/aparAXa_svIkqwi
confessional_noun	pApa-svIkAra_pITikA
confessor_noun	pApamocaka_guru
confidant_noun	xilI_xoswa/viSvAsapAwra/viSvAsa_pAwra
confidence_noun	BarosA/xqDa_viSvAsa/viSvAsa/rAja/AwmaviSvAsa
confident_noun	viSvAsapAwra
confidentiality_noun	gopanIyawA
configuration_noun	samAkqwi/kanPigareSana
confinement_noun	sImAbaxXa/prasUwi/prasava_kA_samaya
confines_noun	sImA
confirmation_noun	puRtikaraNa/xqDIkaraNa-saMskAra/sawyApana/puRtIkaraNa
confiscation_noun	jabwI
conflagration_noun	agnikANda
conflation_noun	sammiSraNa
conflict_noun	viroXa/xvanxva/safGarRa/ladAI
confluence_noun	safgama
conformation_noun	racanA/anurUpawA/anupAlana/anukUlawA
conformist_noun	anusAraka
conformity_noun	svIkAra/sahamawi/Ekya/anurUpawA/anupAlana/anukUlawA/anusAra
confrontation_noun	sAmanA
confucianism_noun	kanPyUSiyasa_kA_sixXAnwa
confusion_noun	Brama/samBrama/BOcakkA/BAnwi/aswavyaswawA
congestion_noun	safkulana/safkulawA/BarA_huA_honA
conglomerate_noun	sampIdana/sampiNdana/safgutikA/miSra_safgutikASma
conglomeration_noun	safgutikASmana/safgutIkaraNa
congratulation_noun	baXAI/baXAI_sUcaka_vAkya
congregation_noun	saBA/ekawrIkaraNa/Bakwa-maNdalI/BakwagaNa/XArmika_saBA
