-ial_UNDEFINED	-Iya
psychiatricer_UNDEFINED	manaScikiwsIya
psychiatricest_UNDEFINED	manaScikiwsIya
pulmonarier_UNDEFINED	PupPusIya
pulmonariest_UNDEFINED	PupPusIya
punishable_adjective	xaNdanIya
quincentenary_adjective	pAzca_sOvAz/paFcaSawIya
quincentennial_adjective	pAzca_sOvAz/paFcaSawIya
quotable_adjective	uxXaraNa_yogya/xoharAne_yogya/xoharAe_jAne_yogya/uxXaraNIya
racialer_UNDEFINED	prajAwIya
racialest_UNDEFINED	prajAwIya
radial_adjective	kiraNa_sambanXI/wrijyIya/arIya
readable_adjective	pATayogya/suvAcya/supATya/rocaka/paTanIya
rectangular_adjective	AyawAkAra/samakoNIya/AyawIya
rectangularer_UNDEFINED	samakoNIya
rectangularest_UNDEFINED	samakoNIya
rectifiable_adjective	suXAre_jAne_yogya/saMSoXanIya
refundable_adjective	vApasa_lOtA_sakane_yogya/prawyarpaNIya
refutable_adjective	KaNdana_kiyA_jA_sake/KaNdanIya
regaler_UNDEFINED	vEBavapUrNa_rAjakIya
regalest_UNDEFINED	vEBavapUrNa_rAjakIya
regals_UNDEFINED	vEBavapUrNa_rAjakIya
regional_adjective	kRewrIya/prAxeSika/kRetrIya
regionaler_UNDEFINED	kRewrIya
regionalest_UNDEFINED	kRewrIya
regrettabler_UNDEFINED	Kexajanaka_SocanIya
regrettablest_UNDEFINED	Kexajanaka_SocanIya
reissuable_UNDEFINED	punarnirgamanIya
reiterative_adjective	punarAvqwwIya
relativistic_adjective	sApekRavAxI/ApekRikIya
remarkabler_UNDEFINED	ulleKanIya
remarkablest_UNDEFINED	ulleKanIya
remediable_adjective	upacAraNIya
renewable_adjective	jisakA_navInakaraNa_samBava_ho/svABAvika_rUpa_se_punaH_pExA_hone_vAlA/navInIkaraNIya/navInIkaraNa_yogya_/navIkaraNIya
repetitious_adjective	punarAvqwwIya
repetitive_adjective	xoharAyA_gayA/punarAvqwwIya
reprehensible_adjective	xoRAropaNa_karane_yogya/ninxanIya
representational_adjective	sAxqSyamUlaka/AvexanIya
reproducible_UNDEFINED	punaruwpAxanIya
reproducible_adjective	sanwAnowpawwiyogya/punuruwpAxanIya
reproductive_adjective	prajanaka/prajananIya
rescindable_adjective	amAnyakaraNIya
respiratory_UNDEFINED	SvAsIya
retrievable_adjective	punaH_prApaNIya
reverend_adjective	AxaraNIya
reverender_UNDEFINED	AxaraNIya
reverendest_UNDEFINED	AxaraNIya
reverends_UNDEFINED	AxaraNIya
reverned_noun	AxaraNIya
revocable_UNDEFINED	prawisaMharaNIya
rotational_adjective	cakrIya
sacerdotal_adjective	purohiwI/yAjakIya
sacerdotaler_UNDEFINED	yAjakIya
sacerdotalest_UNDEFINED	yAjakIya
saliner_UNDEFINED	lavaNIya
salines_UNDEFINED	lavaNIya
salinest_UNDEFINED	lavaNIya
sclerotic_adjective	kaTina/Uwaka_xqDawAgraswa/Uwaka_xqDana_sambanXI/SvewapatalIya
se_UNDEFINED	xayYakRaNa-pUrvIya
seafaring_adjective	samuxrIya
seamanlike_adjective	samanAvikIya
seamanly_adjective	samanAvikIya
secretarial_adjective	sAcivika/lipikIya
secretarialer_UNDEFINED	lipikIya
secretarialest_UNDEFINED	lipikIya
secretiver_UNDEFINED	gopanIya
secretivest_UNDEFINED	gopanIya
sectionaler_UNDEFINED	vargIya
sectionalest_UNDEFINED	vargIya
sedgy_adjective	narakulIya
seismal_adjective	BUkampIya
seismaler_UNDEFINED	BUkampIya
seismalest_UNDEFINED	BUkampIya
seismic_adjective	BUkampIya
seismical_UNDEFINED	BUkampIya
seismicaler_UNDEFINED	BUkampIya
seismicalest_UNDEFINED	BUkampIya
seismicer_UNDEFINED	BUkampIya
seismicest_UNDEFINED	BUkampIya
seismometric_adjective	BUkampamiwIya
seismometrical_adjective	BUkampamiwIya
self-congratulatory_adjective	AwmABinanxanIya
semiaquatic_adjective	aMSajalIya
semitropic_adjective	upoRNIya/upoRNakatibanXIya
semitropical_adjective	upoRNIya/upoRNakatibanXIya
septuagenarian_adjective	sapwawi-varRIya
septuagenarianer_UNDEFINED	sapwawi-varRIya
septuagenarianest_UNDEFINED	sapwawi-varRIya
septuagenarians_UNDEFINED	sapwawi-varRIya
sincerely_adverb	sacamuca/ImanaxArI_se/BavaxIya
skinnier_UNDEFINED	wvacIya
skinniest_UNDEFINED	wvacIya
slinkier_UNDEFINED	ramaNIya
slinkiest_UNDEFINED	ramaNIya
society_adjective	uccavargIya
sociologicaler_UNDEFINED	samAjaSAswrIya
sociologicalest_UNDEFINED	samAjaSAswrIya
south-eastern_adjective	xakRiNa_pUrvIya
space_adjective	AkASIya
spacial_UNDEFINED	AkISIya
spacialer_UNDEFINED	AkISIya
spacialest_UNDEFINED	AkISIya
spatialer_UNDEFINED	AkISIya
spatialest_UNDEFINED	AkISIya
speclass_UNDEFINED	varNakramIya
speclasses_UNDEFINED	varNakramIya
spectral_adjective	BUwa-prewa_ke_samAna/varNakrama_sambanXI/prewavaw/BuwahA/varNakramIya
spectraler_UNDEFINED	varNakramIya
spectralest_UNDEFINED	varNakramIya
spectrals_UNDEFINED	varNakramIya
spinal_adjective	rIDa_se_sambanXiwa/meruxaNdIya
stagey_adjective	nAtakIya
stagier_UNDEFINED	nAtakIya
stagiest_UNDEFINED	nAtakIya
stagy_adjective	kqwrima/nAtakIya
stalwart_adjective	niRTAvAna/vaPAxAra/baliRTa/bahAxura/viSvasanIya
statistical_adjective	sAfKyikIya
stellarer_UNDEFINED	wArakIya
stellarest_UNDEFINED	wArakIya
sterling_adjective	viSuxXa/uwkqRta/SAnaxAra/KarA/viSvasanIya
sub-aqua_adjective	aXojalIya
subaqua_adjective	anwarjalIya
subaquaer_UNDEFINED	anwarjalIya
subaquaest_UNDEFINED	anwarjalIya
subaquatic_adjective	anwarjalIya/aMSajalIya
subaqueous_adjective	anwarjalIya
subatomic_adjective	paramANu/upaparamANavIya/avaparamANavIya
subcontinental_adjective	upamahAxvIpIya
subcutaneous_adjective	avawvacIya/aXaswvacIya
subcutaneouser_UNDEFINED	avawvacIya
subcutaneousest_UNDEFINED	avawvacIya
sublime_adjective	vismayakArI/uxAwwa/uwkqRta/pUjanIya/parama/avarNanIya
submerged_adjective	jalamagna/anwarjalIya
submergible_adjective	nimajjanIya
subtropic_adjective	upoRNIya/upoRNakatibanXIya
subtropical_adjective	upoRNa/upoRNIya/upoRNakatibanXIya
suburbaner_UNDEFINED	upanagarIya
suburbanest_UNDEFINED	upanagarIya
suburbans_UNDEFINED	upanagarIya
sufferable_adjective	sahanIya
superhumaner_UNDEFINED	awimAnavIya
superhumanest_UNDEFINED	awimAnavIya
supple_adjective	sunamya/lacIlA/komala/anukUlanIya
synaptic_adjective	guNasuwrIsaMyojaka/anwaragraWanIya
tactile_adjective	sparSa_yogya/sparSika/sparSanIya
tall_adjective	lambA/UzcA/SabxAdMarapUrNa/praBAvaSAlI/mahazgA/badA/awyaXika/aviSvasanIya
tangential_adjective	UparI_wOra_se_prAsafgika/sparSareKIya
teachable_adjective	siKAne_yogya/pATanIya
technological_adjective	wakanIkI/wakanIkI_sambanXI/Silpa_vijFAnIya
telemetric_adjective	xUramApIya
telepathic_adjective	xUrasaMvexanIya
terrible_adjective	BayAnaka/pracaNda/KarAba/Gora/darAvanA/bekAra/Bayafkara/BaxxA/anirvacanIya/akaWanIya
territorialer_UNDEFINED	xeSIya
territorialest_UNDEFINED	xeSIya
textbook_adjective	pATyapuswakIya
theatricaler_UNDEFINED	nAtakIya
theatricalest_UNDEFINED	nAtakIya
thermic_adjective	URmIya
thermonuclear_adjective	wApa-nABikIya
thinkable_adjective	vicAraNIya/kalpanIya
thinkabler_UNDEFINED	vicAraNIya
thinkablest_UNDEFINED	vicAraNIya
third_adjective	wIsarA/wqwIya
three-member_UNDEFINED	wrisaxasyIya
three-way_adjective	wripaWa/wrikoNIya
tonsilar_adjective	galawuNdikIya
tonsillar_adjective	galawuNdikIya
tonsillary_adjective	galawuNdikIya
touristy_adjective	paryatakoM_ko_AkarRiwa_karane_vAlA/paryatakIya
transferable_adjective	sWAnAnwaraNIya/haswAnwaraNIya
transferabler_UNDEFINED	sWAnAnwaraNIya
transferablest_UNDEFINED	sWAnAnwaraNIya
transferrable_UNDEFINED	sWAnAnwaraNIya
transferrabler_UNDEFINED	sWAnAnwaraNIya
transferrablest_UNDEFINED	sWAnAnwaraNIya
transformable_adjective	parivarwanIya
translatable_adjective	rUpAnwaraNIya/anuvAxanIya
transmutable_adjective	parivarwanIya
transportable_adjective	parivahanIya
transportabler_UNDEFINED	parivahanIya
transportablest_UNDEFINED	parivahanIya
triangular_adjective	wrikoNa_jEsA/wrikoNIya/wrikoNAkAra/wriBujAkAra/wripakRIya
triangularer_UNDEFINED	wripakRIya
triangularest_UNDEFINED	wripakRIya
tribals_UNDEFINED	janajAwIya
trigonometric_adjective	wrikoNamiwIya
trigonometrical_adjective	wrikoNamiwIya
trilateral_adjective	wrikoNIya
tripartite_adjective	wripakRIya/wrikoNIya
tripartiter_UNDEFINED	wripakRIya
tripartitest_UNDEFINED	wripakRIya
trusted_adjective	viSvasanIya
tubercular_adjective	yakRmikIya/gulikIya
unadmirable_adjective	apraSaMsanIya
unallocable_UNDEFINED	aviniXAnIya
unanalyzable_adjective	aviSleRaNIya
unanswerabler_UNDEFINED	aKaNdanIya
unanswerablest_UNDEFINED	aKaNdanIya
unappealable_adjective	apunarAvexanIya
unascribable_adjective	anAropaNIya
unassailabler_UNDEFINED	anAkramaNIya
unassailablest_UNDEFINED	anAkramaNIya
unassignable_adjective	ahaswAnwaraNIya
unattackable_adjective	anAkramaNIya
unattributable_adjective	anAropaNIya
unbearable_adjective	asahya/asahanIya
unbecoming_adjective	anupayukwa/na_jazcane_vAlA/aSoBanIya
unbelievabler_UNDEFINED	aviSvasanIya
unbelievablest_UNDEFINED	aviSvasanIya
unbelieving_UNDEFINED	aviSvAsanIya
unchangeable_adjective	aparivarwanaSIla/aparivarwanIya
uncheckable_adjective	aparIkRaNIya/abAXanIya
unchewable_adjective	jo_cabAyA_na_jA_sake/acarvaNIya
unclassifiable_adjective	avargIkaraNIya
uncomely_adjective	aSoBanIya
uncomparable_adjective	axviwIya/awulanIya
uncontrollable_adjective	beroka/upaxravI/asahanIya/aniyanwraNIya
unconvertible_adjective	aparivarwanIya
uncorrectable_adjective	asuXAraNIya
uncountable_adjective	asafKya/agaNanIya
undecomposable_adjective	aviSleRaNIya
undefendable_adjective	arakRaNIya
underfloor_adjective	anwaH_ParSIya
underwaterer_UNDEFINED	anwarjalIya
underwaterest_UNDEFINED	anwarjalIya
undignified_UNDEFINED	aSoBanIya
undistinguishable_adjective	aviSeRaNIya/apraBexanIya
undramatic_adjective	anAtakIya
unedifying_adjective	aSoBanIya
unendurable_adjective	asahanIya
unenforceable_UNDEFINED	apravarwanIya
unenviable_adjective	avAzCanIya/avAFCanIya/aspqhaNIya
unequaled_adjective	axviwIya
unequalled_adjective	lAjavAba/axviwIya
unexceeded_adjective	axviwIya
unexcelled_adjective	axviwIya
unexchangeable_adjective	avinimeya/aparivarwanIya
unexpendable_adjective	anuwsarjanIya
unexpressible_adjective	akaWanIya
unfaithful_adjective	viSvAsaGAwI/gaxxAra/bevaPA/aXarmI/aviSvasanIya
unforfeitable_adjective	anapavarwiwa/ahaswAnwaraNIya
unforgettable_adjective	avismaraNIya
unforgettabler_UNDEFINED	avismaraNIya
unforgettablest_UNDEFINED	avismaraNIya
ungovernable_adjective	aSAsanIya/xurxamanIya/SAsana_ke_ayogya/aniyanwraNIya
ungovernabler_UNDEFINED	aSAsanIya
ungovernablest_UNDEFINED	aSAsanIya
unilateraler_UNDEFINED	ekapakRIya
unilateralest_UNDEFINED	ekapakRIya
unimaginable_adjective	akalpanIya
uninhabitable_adjective	avAsanIya
uninominal_adjective	ekasaxasyIya
uninsurable_adjective	abImAkaraNIya
unmalleable_adjective	AGAwa_avarXanIya
unmanageable_adjective	asaFcAlanIya/teDA/biKarA_huA/aniyanwraNIya
unmatched_adjective	anupama/binA_jodI_kA/axviwIya
unmedical_adjective	cikiwsA_kI_xqRti_se_anirXAriwa/anORaXIya
unmedicative_adjective	cikiwsA_kI_xqRti_se_anirXAriwa/anORaXIya
unmedicinal_adjective	cikiwsA_kI_xqRti_se_anirXAriwa/anORaXIya
unmemorable_adjective	asmaraNIya/vismaraNIya
unmentionable_adjective	akaWanIya/anulleKanIya
unmentionabler_UNDEFINED	akaWanIya
unmentionables_UNDEFINED	akaWanIya
unmentionablest_UNDEFINED	akaWanIya
unmeritorious_adjective	ninxanIya
unmixable_adjective	amiSraNIya
unmodifiable_adjective	aparivarwanIya
unobjective_adjective	asawyApanIya
unofficial_UNDEFINED	aSAsakIya
unofficial_adjective	gErasarakArI/anaXikArika/aSAskIya
unofficialer_UNDEFINED	aSAskIya
unofficialest_UNDEFINED	aSAskIya
unopposable_adjective	aviroXanIya
unpaintable_adjective	aciwraNIya
unparliamentarier_UNDEFINED	asaMsaxIya
unparliamentariest_UNDEFINED	asaMsaxIya
unpassable_adjective	xurgama/apAraNIya
unpresidential_adjective	anaXyakRIya
unprintabler_UNDEFINED	amuxraNIya
unprintablest_UNDEFINED	amuxraNIya
unpublishable_adjective	aprakASanIya
unquenchable_adjective	aSamanIya/axamanIya
unquestionabler_UNDEFINED	aSafkanIya
unquestionablest_UNDEFINED	aSafkanIya
unratable_adjective	anaBipoRaNIya
unreadable_adjective	aspaRta/GatiyA/apATya/apaTanIya
unreproducible_adjective	apunaruwpAxanIya
unrespectable_adjective	asammAnanIya
unrinary_adjective	mUwrIya
unrivaled_adjective	axviwIya
unrivalled_adjective	anupama/axviwIya
unscalable_adjective	anArohaNIya
unseemly_adjective	anuciwa/aSoBanIya
unshakeable_adjective	avicalanIya
unsinkable_adjective	na_dUba_sakane_vAlA/animajjanIya
unspeakable_adjective	akaWanIya/BaxxA/avarNanIya/anirvacanIya
unspeakabler_UNDEFINED	akaWanIya
unspeakablest_UNDEFINED	akaWanIya
unstoppable_adjective	abAXa/jise_rokA_na_jA_sake/beroka/aroXanIya
unsufferable_adjective	asahanIya
unsupportable_adjective	asamarWanIya
unsurpassed_adjective	se_baDakara/axviwIya
unsustainable_adjective	asamBAlA_huA/arakRaNIya
unsymmetric_adjective	asamamiwIya
unsymmetrical_adjective	asamaxUrika/asamamiwIya
unteachable_adjective	aSikRaNIya
untellable_adjective	akaWanIya
untenable_adjective	arakRaNIya/aXikAra_meM_na_Ane_yogya/asamarWanIya
untenabler_UNDEFINED	arakRaNIya
untenablest_UNDEFINED	arakRaNIya
untheatrical_adjective	anAtakIya
unthinkable_adjective	acinwya/akalpanIya
untransferable_adjective	ahaswAnwaraNIya
untranslatable_adjective	arUpAnwaraNIya/ananuvAxanIya
untransmutable_adjective	aparivarwanIya
untraversable_adjective	apAraNIya
unutterable_adjective	akaWya/jatila_uccAraNa_vAlA/anirvacanIya/akaWanIya
unverifiable_adjective	asawyApanIya
unwished-for_adjective	avAFCanIya
unwished_adjective	avAFCanIya
upwardly-mobile_adjective	ucca_swarIya
urethral_adjective	mUwramArgIya
urinary_adjective	peSAba_sambanXI/mUwrIya/mUwrawanwrIya
uvular_adjective	alijihvIya
valvular_adjective	kapAtIya
varietal_UNDEFINED	prakArIya
varietaler_UNDEFINED	prakArIya
varietalest_UNDEFINED	prakArIya
vascular_adjective	saMvahanI/vAhikIya
vehicular_adjective	savArI_sambanXI/vAhanIya
verifiable_adjective	pramANa_yogya/sawyApanIya
vesicular_adjective	vAyukoSIya
vestibular_adjective	praGANIya
viewable_adjective	xarSanIya
violable_adjective	ullafGanIya
voidable_adjective	amAnyakaraNIya
volcanicer_UNDEFINED	jvAlAmuKIya
volcanicest_UNDEFINED	jvAlAmuKIya
volumetric_adjective	AyawanamiwIya
volumetrical_adjective	AyawanamiwIya
vulval_adjective	yonimuKIya
vulvar_adjective	yonimuKIya
waterier_UNDEFINED	jalIya
wateriest_UNDEFINED	jalIya
watery_UNDEFINED	jalIya
weekday_adjective	kArya-xivasIya
well-matched_adjective	sahavarwanIya
well-rounded_adjective	pUrNa_vikasiwa/gola-matola/bahuprakIya
white-shoe_adjective	prasixXa_Ora_viSvasanIya
wieldy_adjective	samBAle_jAne_lAyaka/niyanwraNIya
woeful_adjective	SokAnviwa/xuKI/pIdiwa/ninxanIya
worthy_adjective	yogya/upayukwa/suyogya/neka/lAyaka/ImAnaxAra/AxaraNIya
zodiacal_adjective	rASicakrIya
zonaler_UNDEFINED	kRewrIya
zonalest_UNDEFINED	kRewrIya
zonarier_UNDEFINED	kRewrIya
zonariest_UNDEFINED	kRewrIya
zoogeographic_adjective	prANiBUgolIya
zoogeographical_adjective	prANiBUgolIya
zoographic_adjective	prANiSAswrIya/paSuSAswrIya
zoomorphic_adjective	paSurUpI/paSuciwrIya
zygodactyl_adjective	yugmAfgulIya
zygodactylic_adjective	yugmAfgulIya
zygodactylous_adjective	yugmAfgulIya
zygomorphic_adjective	ekavyAsa_samamiwIya
zygomorphous_adjective	ekavyAsa_samamiwIya
line-of-sight_adjective	xqRtireKIya
co-axial_adjective	samAkRIya
differentiable_verb	avakalanIya
circuital_adjective	paripaWIya
planar_noun	samawalIya
coplanar_adjective	samawalIya
non-medical_adjective	gEra_cikiwsIya
