#	/Amidst/Bilberry/Fine,/I/It/It/Kaladhungi/On/Ratna/The
###########################################################################################################	The
#-----------	The
#------------------	The
#-------------------	The
#==================	The
#===================	The
#A	descendant
#All	salesmen/the
#As	a/the
#Besides,	Aptech,
#But	do/this/when/you
#By	Alpana/Anita/Krithika/Nandini/Preeti/Sarita/drinking
#Chew	the
#Children	are
#Discounting	Bills
#Do	not/not
#Drink	plenty
#English-compound-word	Hindi-meaning
#Following	entries
#Fruits	and
#GITMO	was
#He	came
#I	am/want/will
#In	comparison/this,
#India	has
#It	was
#Kalajar	is
#Keep	taking
#Look,	I
#Lord	Caitanya
#New	Entries
#Not	only
#One	does
#Researches	have
#Structure_of_the_file:	have
#Suggested	by/by
#The	citizens/danger/use
#There	are
#Therefore	everybody
#Therefore,	the/the
#This	is/palace
#Unplugging	the
#We	saw
#What	is/is
#When	Arjun/these
#Yes	of
#Yes,	Yes.
#You	keep/keep
#based_on	para_AXAriwa
#powered	wheelchair
#station	master
,_in_short_,	safkRipwa_meM
deputy_chief_transportation_superintendent	upa_muKya_parivahana_aXIkRaka
deputy_chief_whip	upa_muKya_sacewaka
deputy_collector	upa_kalaktara
deputy_commissioner	upAyakuwa
deputy_comptroller_auditor_general	upa_niyanwraka_mahAleKAparIkRaka
deputy_controller_of_accounts_deputy_director	leKA_upa_niyanwraka_upanixeSaka
deputy_controller_of_stores	upa_BaNdAra_niyanwraka
deputy_development_officer	upa_vikAsa_aXikArI
deputy_director	upanixeSaka
deputy_director_general	upamahAnixeSaka
deputy_director_of_administration	upanixeSaka_praSAsana
deputy_director_of_news	upanixeSaka_samAcAra
deputy_director_of_sales	upanixeSaka_vikraya
deputy_drilling_engineer	upa_veXana_aiBayanwA
deputy_engineer_in_charge	upa_praBArI_iMjIniyara
deputy_financial_advisor	upa_vwwi_salAhakAra
deputy_general_manager	upa_mahANabanXaka
deputy_inspector_of_stores_and_clothing	upanirIkRaka
deputy_manager	upaNabanXaka
deputy_minister	upamanwrI
deputy_personnel_manager	upa_kArmika_prabanXaka
deputy_regional_engineer	upa_prAxeSika_iMjIniyara
deputy_secretary	upasaciva
deputy_speaker	upAXyakRa
deputy_station_master	upa_saWauteSana_mAstara
deputy_station_superintendent	upa_steSana_aXIkRaka
deputy_sub_post_master	upa_nAyaba_posta_mAstara
deputy_superintendent_of_police	upa_pulisa_aXIkRaka
deputy_superintending_surveyor	upa_aXIkRaka_sarvekRaNa
deputy_surveyor_general	upa_mahAsarvekRaka
deputy_town_planner	upa_nagara_yojanAkAra
deputy_yard_master	upa_yArda_mAstara
dereliction_of_duty	karwavya_kI_avahelanA
derivation_tree	vyuwpanna_vqkRa
derived_demand	vyuwpa_ana_mAfga
derived_field	vyuwapawra_kRewra
dermatology_department	wvacAvijFAna_viBAga
derogatory_remarks	anAxarasUcaka_uwi
descending_order	avarohI_krama
descending_sort	avarohI_CoYNta
description_statistics	varNana_sAfKyikI
descriptive_adjective	varNanAwmaka_viSeRaNa
descriptive_anthropology	varNanAwmaka_mAnavaSAswra
descriptive_roll	varNana_nAmAvalI
descriptor_base_register	virvaNaka_AXAra_rajistara
descriptor_segment	virvaNaka_KaNda
desegregation_effort	vipqWakalaraNa_prayAsa
desert_area	regiswAnI_KRewra
desert_boot	marusWalIya_jUwe
desert_dry	regiswAna_kI_waraha_sUKA
desert_storm	regiswAna_kA_wUPAna
deserves_promotion	paxo_onawi_pAne_yogya_hE
deserving_candidate	yogya_ummIxavAra
design_assistant	aiBakalpa_sahAyaka
design_automation	prArUpa_svacAlana
design_defect	aiBakalpa_xoRa
design_draughtsman	dijAina_naka_SAnavIsa
design_engineer	rUpAfkana_iMjIniyara
design_modem	aBikalpa_moYdema
design_optimization	aBikalpanA_iRtamIkaraNa
design_secrecy	aBikalpa_gopanIyawA
design_simulation	aBikalpanA_anukAra
design_technique	aBikalpa_wakanIka
designated_bridge	nirxiRta_sewu
designated_router	nirxiRta_rUtara
designating_device	aBiXAna_yukwi
desired_action	vAFCiwa_kArravAWa
desired_value	apekRiwa_mAna
desk_calculator	deska_parikalaka
desk_calendar	deska_kaleMdara
desk_clerk	deska_klarka
desk_dictionary	deska_SabxakoSa
desk_officer	deska_aXikArI
desk_top_computer	deska_aBikaliwra
desk_top_computing	deska_toYpa_aBikalana
deskless_workstation	deskavihIna_kArya_keMxra
desktop_computer	deskatoYpa_kampyUtara
desktop_computing	deskatoYpa_aBikalana
desktop_file_recorders	deskatoYpa_PAIla_aBileKana
desktop_machine	deskatApa_maSIna
desktop_management_interface	deskatoYpa_prabanXana_anwarAPalaka
desktop_management_task_force	deskatoYpa_prabanXana_kAryaxala
desktop_page_printer	deskatoYpa_pqRTa_muxraka
desktop_pattern	deskatoYpa_namUnA
desktop_presentation	deskatoYpa_praswuwikaraNa
desktop_publishing	kampyUtara_ke_xvArA_CapAI
desktop_publishing_package	deskatoYpa_prakASana_safkUla
desktop_publishing_system	deskatoYpa_prakASana_wanwra
desktop_video	deskatoYpa_vIdiyo
despatch_clerk	preRapra_klarka
despatch_instruction	preRaNa_anuxeSa
despatch_memo	preRapra_jFApana
despatch_note	preRaNa_pawra
despatch_register	preRaNa_rajistara
despatch_rider	savAra_harakArA
destination_address	gawanwavya_pawA
destination_code	ganwavya_kUta
destination_documentation	ganwavya_praleKa
destination_field	ganwavya_kRewra
destination_file	ganwavya_saFcikA
destination_service	ganwavya_sevA
destination_service_access_point_address	ganwavya_sevA_aBigama_biMxu_pawA
destitute_of	ke_se_rahiwa
destitutes_home	nirASriwa_gqha
destroying_machine_operator	nASana_maSIna_pracAlaka
destruction_assistant	nASana_sahAyaka
destruction_fire	vinASaka_golIbArI
destructive_distillation	vinASaka_aBisrAvana
detail_book	vivaraNa_leKA_puswikA
detail_card	vivaraNa_kArda
detail_file	vivaraNa_saFcikA
detail_system_design	viswqwa_wanwra_ciwra
detailed_accounts	byOre_vAra_leKe
detailed_audit	viswqwa_leKA_parIkRA
detailed_enquiry	vyApaka_jAzca
detailed_inspection	byorevAra_nirIkRaNa
detailed_particulars	viswqwa_vivaraNa
detailed_project_report	viswqwa_ayOrevAra_pariyojanA_riporta
detailed_report	viswqwa_riporta
detailed_statement	viswqwa_vivaraNa
detaining_officer	niroXa_aXikArI
detective_agency	jAsUsI_saMsWA
detention_cell	banxIgraha
detention_in_custody	aiBarakRA_meM_raKanA
detention_of_vessel	powa_ko_rokanA
detention_quarters_officer	niroXagqha_aXikArI
detergent_builder	sAbuna_banAne_vAlA
determination_of_income	Aya_avaXAraNa
deterministic_automata	nirXAraNAwmaka_svacala_prarUpa
deterministic_language	nirXAraNawmaka_BARA
deterministic_machine	nirXAraNAwmaka_maSIna
deterministic_model	nirXAraNAwmaka_nixarSa
deterministic_problem	nirXAraNAwmaka_samasyA
deterministic_process	nirXAraNAwmaka_prakrama
deterministic_program	nirXAraNAwmaka_kramAxeSa
deterministic_programming	nirXAraNAwmaka_kramAxeSana
deterministic_sequencing_problem	nirXAraNAwmaka_anakramaNa_samasyA
deterministic_situation	nirXAraNAwmaka_sWiwi
detrimental_to_the_interests_of_depositors	jamAkarwAoM_ke_hiwoM_ke_viparIwa_airuxXa
devaluation_of_currency	muxrA_avamUlyana
develop_oriented_measures	vikAsa_sambanXiwa_upAya
developed_country	vikasiwa_xeSa
developing_economy	vikAsonmuKa_arWavyavasWA
development_aid	vikAsa_sahAyawA
development_allowance	vikAsa_mOkA_AUta
development_authority	vikAsa_prAXikaraNa
development_block	vikAsa_KaNda
development_board	vikAsa_borda
development_charges	vikAsa_praBAra
development_commissioner_for_handicrafts	haswaSilpa_vikAsa_kamiSnara
development_effort	vikAsa_prayAsa
development_expenses	vikAsa_Karca
development_finance	vikAsa_vwwi
development_fund	vikAsa_niXi
development_grants	vikAsa_anuxAna
development_inspector	vikAsa_nirIkRaka
development_money	vikAsa_ke_pEse
development_of_company_affairs	kampanI_kArya_viBAga
development_of_youth_affairs_and_sports	yuvA_kArya_Ora_Kela_viBAga
development_office	vikAsa_kAryAlaya
development_overseer	vikAsa_ovarasiyara
development_planning	vikAsa_AyojanA
development_rebate	vikAsa_ribeta
development_rebate_reserve	vikAsa_CUta_prArakRiwa_niXi
development_system	vikAsa_wanwra
development_time	vikAsa_kAla
development_tool	vikAsa_upakaraNa
development_work	vikAsa_kArya
device_address	yukwi_pawA
device_backup	yukwi_bEkaCaapa
device_boolean_operation	yukwi_bUlIyana_safkriyA
device_co_ordinates	yukwi_nirxeSAfka
device_codes	yukwi_kUta
device_contention	yukwi_prayoga_prawisparXA
device_control_character	yukwi_niyanwraka_samprawIka
device_control_unit	yukwi_niyanwraNa_ekaka
device_controller	yukwi_niyanwraka
device_coordinate	yukwi_nirxeSAfka
device_dependent	yukwi_ASriwa
device_dependent_colour	yukwi_prasAriwa_rafga
device_dependent_program	yukwi_ASriwa_kramAxeSa
device_driver	yukwi_cAlaka
device_flag	yukwi_pawAkA
device_independence	yukwi_svawanwrawA
device_independent	yukwi_svawanwra
device_independent_colour	yukwi_mukwa_rafga
device_independent_program	yukwi_svawanwra_kramAxeSa
device_interface_module	yukwi_kOSala_moYdyUla
device_management	yukwi_prabanXana
device_media_control_language	yukwi_mAXyama_niyanwraNa_BARA
device_mode	yukwi_viXA
device_name	yukwi_nAma
device_number	yukwi_safKyA
device_philosophers_dining_problem	yukwi_xArSanika_Boja_samasyA
device_philosophers_problem	yukwi_xarSana_kI_samasyA
device_queue	yukwi_pafkwi
device_register	yukwi_rajistara
device_status_word	yukwi_avasWiwi_Sabxa
device_strategy_module	yukwi_kAryaniwa_moYdyUla
device_type	yukwi_prakAra
devloping_country	vikasanaSIla_aikAsonmuKa_xeSa
devoid_of	ke_se_rahiwa
devotion_to_duty	karwavyaniRTA
di_bit	xvixvafka
diabetic_clinic	maXumeha_nixAnAlaya
diabetic_diet	maXumeha_kA_AhAra
diagnosis_of_recurrence	AvarwiwA_nixAna
diagnostic_check	nixAnArWa_jAFca
diagnostic_function_test	nixAnArWa_Palana_parIkRaNa
diagnostic_mechanism	nixAna_kriyAviXi
diagnostic_message	nixAna_saMnxeSa
diagnostic_program	nixAna_kramAxeSa
diagnostic_routine	nixAna_nemakA
diagnostic_technique	nixAna_wakanIka
diagnostic_test	nixAnArWa_parIkRaNa
diagnostics_tools	nixAna_upakaraNa
diagnostics_utility	nixAna_upayogiwA
diagram_and_map_maker	AreKa_Ora_nakSAkAra
dial_exchange	dAyala_keMxra
dial_line	dAyala_lAina
dial_pulse	dAyala_spanxa
dial_repeating_trunk	dAyala_punarAvqwi_trafka
dial_tone	dAyala_tona
dial_tone_delay	dAyala_tona_vilamba
dial_transfer	dAyala_sWAnAnwaraNa
dial_up	dAyala_apa
dial_up_access	dAyala_apa_aBigama
dial_up_account	dAyala_apa_KAwA
dial_up_line	dAyala_apa_lAina
dial_up_terminal	dAyalana_anwaka
dialed_line	dAyala_lAina
dialog_box	vArwAlApa_koRTa
dialog_information_retrieval_database	vArwAlApa_sUcanA_punaHprApwi_AfkadA
dialup_access	dAyala_aBigama
dialup_ip	dAyalaapa_AIpI
dialup_modem	dAyalaapa_moYdama
diamond_dust	hIraka_XUli
diamond_jubilee	hIraka_jayanwI
diamond_sales	hIre_kI_bikrI
diary_register	dAyarI_rajistara
dice_box	pAsA_raKane_kA_dibbA
dictionary_entry	SabxakoSa_praviRti
dictionary_of_references	sanxaBar_koSa
did_better	kiyA_aXika_acCA
die_hard	kaTinAI_se_prANa_nikalanA
die_like_flies	mqwyu_honA
dies_non	akArya_xivasa
diesel_car_foreman	dIjala_kAra_PoramEna
diesel_car_inspector	dIjala_kAra_nirIkRaka
diesel_checker	dIjala_cekara
diesel_driver	dIjala_drAivara
diesel_engine	dIjala_iMjana
diesel_engine_driver	dIjala_iMjana_cAlaka
diesel_foreman	dIjala_PoramEna
diesel_mechanic	dIjala_mekEnika
diesel_rail_car_driver	dIjala_rela_kAra_drAivara
diesel_shunter	dIjala_SaNtara
diet_allowance	AhAra_BawwA
diet_book	AhAra_puswaka
diet_clerk	AhAra_lipika
diet_distributor	AhAra_viwaraka
differed_binding	AsWagiwa_banXana
difference_engine	anwara_iMjana
difference_of_opinion	mawaBexa
difference_of_opinion_rates	viBexaka_byAja_xareM
difference_operation	anwara_safkriyA
different_shades	viBinna_prakAra_ke_rafga
differential_analyzer	avakalaka_viSleRaka
differential_calculus	avakalana_gaNiwa
differential_charges	viBexaka_praBAra
differential_coefficient	avakala_guNAfka
differential_delay	viBexI_vilamba
differential_duty	viBexaka_Sulka
differential_fare	viBexaka_kirAyA
differential_interest_rate_scheme	viBexaka_byAja_xara_yojanA
differential_manchester_encoding	viBexI_mAnacestara_kUtaleKana
differential_modulation	pUrvASriwa_moYdulana
differential_rates	viBexaka_xareM
differential_route	viBexaka_mArga
diffuse_reflection	parAvarwana_prasAra
diffuse_refraction	apavarwana_prasAra
digest_of_important_cases	mahawvapUrNa_mAmaloM_kA_sAra_safgraha
digit_arithmetic	afkIya_gaNiwa
digit_compression	afka_sampIdana
digit_delay_element	afka_vilamba_avayava
digit_position	afka_sWiwi
digital_arteries	afgulI_kI_XamaniyAz
digital_audiotape	dijitala_Odio_tepa
digital_block	afkIya_KaNda
digital_channel	afkIya_praNAla
digital_characteristic	afkIya_aBikAkRaNa
digital_circuit	afkIya_prapaWa
digital_communications_technology	afkIya_saFcAra-vyavasWA
digital_computer	afkIya_kampyUtara
digital_controls	afkIya_niyanwraNa
digital_data	afkIya_AfkadA
digital_data_communications_message_protocol	afkIya_AfkadA_saFcAra_sanxeSa
digital_data_switching	afkIya_AfkadA_svicana
digital_data_system	afkIya_AfkadA_wanwra
digital_data_transmission	afkIya_AfkadA_saFcaraNa
digital_equipment_corporation	afkIya_ikvIpameMta_koYraporeSana
digital_facility	afkIya_suviXA
digital_facility_terminal	afkIya_suviXA_tarminala
digital_filter	afkIya_Piltara
digital_graphics	afkIya_AleKI
digital_incremental_plotter	afkIya_vArXika_AleKaka
digital_libraries	afkIya_safgrahAlaya
digital_line_path	afkIya_lAina_paWa
digital_line_section	afkIya_lAina_anuBAga
digital_logic	afkIya_warka
digital_modems	afkIya_moYdema
digital_modulation	afkIya_moYdayUleSana
digital_monitor	afkIya_praxarSa
digital_multiplex_equipment	afkIya_bahusafkewa_upakaraNa
digital_network_architecture	afkIya_jAla_saMracanA
digital_optical_recording	afkIya_prakASikIya_aBileKana
digital_pbx	afkIya_pIbIeksa
digital_picture	afkIya_ciwra
digital_radio_path	afkIya_rediyo_paWa
digital_radio_section	afkIya_rediyo_anuBAga
digital_read_out	afkIya_paTana
digital_recorder	afkIya_aBileKapawra
digital_representation	afkIya_nirUpaNa
digital_section	afkIya_anuBAga
digital_signal	afkIya_safkewana
digital_signal_processor	afkIya_safkewa_prakrama
digital_signature	afkIya_haswAkRara
digital_sort	afkIya_SAtana
digital_storage_element	afkIya_BaNdAraNa_avayava
digital_storage_media	afkIya_BaNdAraNa_maXyama
digital_switch	afkIya_svica
digital_switching	afkIya_svicana
digital_termination_system	afkIya_avasAna_wanwra
digital_transmission	afkIya_saFcaraNa
digital_vector_generator	afkIya_saxiSa_janiwra
digital_video_disk	afkIya_vidiyo_diska
digitize_tablet	afkIya_patalikA
digitized_images	afkIya_prawibiMba
digitizing_tablet	afkIya_patalikA
diglot_edition	viBARika_saMskaraNa
dimensions_of_luggage	sAmAna_kA_viswAra
diminishing_balance_method	ha_aAsamAna_SeRa_praprAlI
diminishing_productivity	hqqAsamAna_uwpAxiwA_AwpAxakawA
diminishing_return	ha_aAsamAna_prawiPala
diminishing_returns	hqqAsamAna_prawiPala
ding_dong	GaNtI_kI_AvAja
dining_area	Bojana_kA_kRewra
dining_car	rela_BojanAlaya
dining_companion	Bojana_ke_samaya_sAWI
dining_compartment	Bojana_kakRa
dining_philosopher_problem	dAiniMga_PilAsPara_samasyA
dining_room	Bojana_kakRa
dinner_bell	rAwa_ke_KAne_kI_GaNtI
dinner_bucket	EsI_bAltI_jisameM_rAwa_kA_KAnA_raKA_ho
dinner_dress	xAvawa_poSAka
dinner_party	rAwriBoja
diploma_in_dance	nqwya-diplomA
diploma_in_dramatics	nAtya_diplomA
diploma_in_music	safgIwa_diplomA
diploma_in_painting	ciwrakalA_diplomA
diploma_in_teaching	aXyApana_diplomA
diplomatic_bag	rAjanayika_dAkaWElA
diplomatic_building	rAjanayika_imArawa
diplomatic_corps	rAjanayika_kora
diplomatic_immunity	rAjanayika_unmuikwa
diplomatic_mission	rAjanayika_miSana
dipole_antenna	xviXruvI_EntenA
direct_access	prawyakRa_aBigama
direct_access_file	prawyakRa_aBigama_saFcikA
direct_access_processing	prawyakRa_aBigama_prakramana
direct_access_storage	prawyakRa_aBigama_BaNdAraNa
direct_access_storage_device	prawyakRa_aBigama_BaNdAraNa_yukwi
direct_action	krAnwi_kriyA
direct_address	prawyakRa_pawA
direct_addressing	prawyakRa_pawABigamana
direct_antonym	prawyakRa_viloma
direct_appointment	sIXI_niyuikwa
direct_approach	sIXI_pahuFca
direct_assistance_scheme	prawyakRa_sahAyawA_yojanA
direct_burden_of_taxation	prawyakRa_kara_BAra
direct_capital_outlay	prawyakRa_pUFjIgawa_parivyaya
direct_charges	prawyakRa_Karca
direct_connect_modem	prawyakRa_saMyojiwa_moYdema
direct_contrast	prawyakRa_viroXa
direct_control	prawyakRa_niyanwraNa
direct_conversion	wawkAla_rUpAnwaraNa
direct_cost	prawyakRa_lAgawa
direct_coupling	prawyakRa_yugmana
direct_demands_on_revenue	rAjasva_kI_prawyakRa_mAfgeM
direct_departmental_expenses	prawyakRa_viBAgIya_Karca
direct_departmental_revenue	prawyakRa_viBAgIya_vyaya
direct_derivability	prawyakRa_vyuwpawrIyawA
direct_distance_dialing	prawyakRa_xUrI_dAyalana
direct_election	prawyakRa_nirvAcana
direct_finance	prawyakRa_vwwi_AwwipoRapra
direct_financing	prawyakRa_vwwipoRapra_awwiIyana_awwi_vyavasWA
direct_flight	sIXI_udAna
direct_goods_account	prawyakRa_mAla_leKA
direct_investment	prawyakRa_niveSa
direct_keying_device	prawyakRa_kuFjIyana_yukwi
direct_labour	prawyakRa_Srama
direct_labour_hour_method_or_man_hour_method	prawyakRa_Srama_xaNtA_paxXawi
direct_levy	prawyakRa_vasUlI
direct_marketing	prawyakRa_aIXA_vipaNana
direct_material	prawyakRa_sAmagrI
direct_memory_access_controller	prawyakRa_smqwi_aBigama_niyanwraka
direct_method	prawyakRa_viXi
direct_nomination	prawyakRa_nAmana
direct_payment_procedure	prawyakRa_axAyagI_prakriyA
direct_processing	prawyakRa_prakramaNa
direct_receipts	prawyakRa_prApwiyAM
direct_recruit	sIXe_niyukwa
direct_recruitment	sIXI-BarwI
direct_report	prawyakRa_riporta
direct_support	sIXe_sahAyawA_karane_kI_prakriyA
direct_tax	prawyakRa_kara
direct_taxes	prawyakRa_kara
direct_taxes_enquiry_committee	prawyakRa_kara_jAFca_samiwi
direct_trade	prawyakRa_vyApAra
direct_transmission_satellite	prawyakRa_saFcaraNa_upagraha
direct_wages	prawyakRa_majaxUrI
directed_beam_scan	nirxeSiwa_puFja_kramavIkRaNa
directed_economy	nixeSiwa_arWavyavasWA
directed_graph	nirxeSiwa_AleKa
direction_and_contre	nixeSana_Ora_niyanwraNa
direction_angle	xiSA_koNa
directional_coupler	nirxeSika_yugmaka
directive_principles	nixeSI_IixeSaka_sixXAnwa
director_general	mahAnixeSaka
director_general_of_armed_forces_medical_services	saSa_awra_senA_cikiwsA_sevA_mahAnixeSaka
director_general_of_central_reserve_police_force	keMxrIya_rijarva_pulisa_bala_mahAnixeSaka
director_general_of_civil_defence	sivila_rakRA_mahAnixeSaka
director_general_of_doordarshan	xUraxarSana_mahAnixeSaka
director_general_of_employment_training	rojagAra_Ora_praSikRaNa_mahAnixeSaka
director_general_of_health_services	svAsWya_sevA_mahAnixeSaka
director_general_of_home_guards_civil_defence	homagArda_evaM_nAgarika_rakRA_mahAnixeSaka
director_general_of_inspection	nirIkRaNa_mahAnixeSaka
director_general_of_rehabilitation	punarvAsa_mahAnixeSaka
director_general_of_supply_and_disposal	pUrwi_Ora_nipatAna_mahAnixeSaka
director_general_of_technical_development	wakanIkI_vikAsa_mahAnixeSaka
director_general_of_tourism	paryatana_mahAnixeSaka
director_of_accounts	leKA_nixeSaka
director_of_audit_accounts	nixeSaka
director_of_commecial_audit	vANijya_leKA_parIkRA_nixeSaka
director_of_commercial_audit	nixeSaka
director_of_consumer's_goods	upaBokwA_vaswu_nixeSaka
director_of_controller_commodities	niyanwriwa_vaswu_nixeSaka
director_of_coordination_secretary_to_the_comptroller_auditor_general	samanvaya_nixeSaka_waWA_niyanwraka_mahAleKAparIkRaka_kA_saciva
director_of_drama	nAtya_nixeSaka
director_of_education	SikRA_nixeSaka
director_of_employment	rojagAra_nixeSaka
director_of_enforcement	pravarwana_nixeSaka
director_of_estates	sampaxA_nixeSaka
director_of_extention_and_training	viswAra_Ora_praSikRaNa_nixeSaka
director_of_field_publicity	kRewra_pracAra_nixeSaka
director_of_historical_monuments	EwihAsika_smAraka_nixeSaka
director_of_industrial_cooperation	Oxyogika_sahakAriwA_nixeSaka
director_of_industries	uxyoga_nixeSaka
director_of_information	sUcanA_nixeSaka
director_of_information_and_publicity	sUcanA_Ora_pracAra_nixeSaka
director_of_information_service	sUcanA_sevA_nirxeSaka
director_of_inspection	nirIkRaka_nixeSaka
director_of_jail_industries	jela_uxyoga_nixeSaka
director_of_maker	nirmAwA_nirxeSaka
director_of_monitoring	anuvIkRaNa_nixeSaka
director_of_national_archieves	rARtrIya_aiBaleKAgAra_nixeSaka
director_of_personnel	kArmika_nixeSaka
director_of_physical_education	vyAyAma_SikRA_nixeSaka
director_of_programme	kAryakrama_nixeSaka
director_of_public_relations	jana-samparka_nixeSaka
director_of_publicity	pracAra_nixeSaka
director_of_receipt_audit	nixeSaka
director_of_recruitment	BarwI_nixeSaka
director_of_sales	vikraya_nixeSaka
director_of_sericulture	reSama_uwpAxana_nixeSaka
director_of_statistics	sAfKyikI_nixeSaka
director_of_telegraphs	wAra_nixeSaka
director_of_the_central_board	keMxrIya_borda_aaNdala_kA_nixeSaka
director_of_zoo	cidIyAGara_nixeSaka
directorate_for_the_welfare_of_s.c._s.t.	anusUciwa_jAwi_evaM_anusUciwa_janajAwi_kalyANa_nixeSAlaya
directorate_general	mahAnixeSAlaya
directorate_general_of_anti_evasion	apavaFcana_niroXa_mahAnixeSAlaya
directorate_general_of_border_roads	sImA-sadaka_mahAnixeSAlaya
directorate_general_of_civil_defence	sivila_rakRA_mahAnixeSAlaya
directorate_general_of_commercial_intelligence_and_statistics	vANijyika_AsUcanA_Ora_sAfKyikI_mahAnixeSAlaya
directorate_general_of_doordarshan	xUraxarSana_mahAnixeSAlaya
directorate_general_of_employment_training	rojagAra_Ora_praSikRaNa_mahAnixeSAlaya
directorate_general_of_health_services	svAsWya_sevA_mahAnixeSAlaya
directorate_general_of_mines_security	KAna_surakRA_mahAnixeSAlaya
directorate_general_of_supplies_and_disposals	pUrwi_waWA_nipatAna_mahAnixeSAlaya
directorate_general_of_technical_development	wakanIkI_vikAsa_mahAnixeSAlaya
directorate_of_adult_education	prODa_SikRA_nixeSAlaya
directorate_of_advertising_visual_publicity	vijFApana_Ora_Sya_pracAra_nixeSAlaya
directorate_of_archives	aiBaleKAgAra_nixeSaka
directorate_of_armament	AyuXa_nixeSAlaya
directorate_of_audit	leKA-parIkRA_nixeSaka
directorate_of_census_operation	janagapranA_pracAlana_nixeSaka
directorate_of_civil_defence	nAgarika_rakRA_nixeSAlaya
directorate_of_commercial_publicity	vAprijya_pracAra_nixeSAlaya
directorate_of_coordination	samanvaya_nixeSAlaya
directorate_of_education	SikRA_nixeSAlaya
directorate_of_electronics	ilektrAnikI_nixeSAlaya
directorate_of_enforcement	pravarwana_nixeSAlaya
directorate_of_engineering	iMjIniyarI_nixeSAlaya
directorate_of_estates	sampaxA_nixeSAlaya
directorate_of_exhibitions	praxarSanI_nixeSAlaya
directorate_of_family_welfare	parivAra_kalyANa_nixeSAlaya
directorate_of_field_publicity	kRewra_pracAra_nixeSAlaya
directorate_of_film_festivals	calaciwra_samAroha_nixeSAlaya
directorate_of_health_services	svAsWya_sevA_nixeSaka
directorate_of_income_tax_o_m	Ayakara_safgaTana_Ora_paxXawi_nixeSAlaya
directorate_of_industries	uxyoga_nixeSAlaya
directorate_of_information_publicity	sUcanA_evaM_pracAra_nixeSAlaya
directorate_of_national_cadet_corps	rARtrIya_kEdeta_kora_nixeSAlaya
directorate_of_national_sample_survey	rARtrIya_namUnA_sarvekRaNa_nixeSAlaya
directorate_of_preventive_operations	nivAraka_safkriyA_nixeSAlaya
directorate_of_printing	muxraNa_nixeSAlaya
directorate_of_research	anusanXAna_nixeSAlaya
directorate_of_revenue_intelligence	rAjasva_AsUcanA_nixeSAlaya
directorate_of_standardisation	mAnakIkaraNa_nixeSAlaya
directorate_of_statistics	sAfKyikI_nixeSAlaya
directorate_of_sugar	cInI_nixeSAlaya
directorate_of_sugar_and_vanaspati	cInI_Ora_vanaspawi_nixeSAlaya
directorate_of_sugar_cane_development	ga_anA_vikAsa_nixeSAlaya
directorate_of_transport_researh	parivahana_anusanXAna_nixeSAlaya
directorate_of_vegetable_oils_and_fats	vanaspawi_wela_Ora_vasA_nixeSAlaya
directors_duties	nirxeSaka_kArya
directory_access_protocol	nirxeSikA_aBigama_protokoYla
directory_control_module	nirxeSikA_niyanwraNa_moYdyUla
directory_files	nirxeSikA_saFcikA
directory_listing	nirxeSikA_sUcI
directory_officer	nirxeSikA_aXikArI
directory_operation	nirxeSikA_pracAlana
directory_server	nirxeSikA_parisevaka
directory_service	nirxeSikA_sevA
directory_sorting	nirxeSikA_SoYtana
directory_system	nirxeSikA_wanwra
directory_system_management	nirxeSikA_wanwra_prabanXana
directory_title	nirxeSikA_SIrRaka
directory_tree	nirxeSikA_vqkRa
directory_user_agent	nirxeSikA_prayokwA_karmaka
directrorate_of_psychological_research	manovEjFAnika_anusanXAna_nixeSAlaya
diret_access_method	prawyakRa_aBigama_viXi
dirt_ball	mittI_kA_golA
dirty_trick	XoKA-XadI
disability_check	akRamawA_nirIkRaNa
disability_pension	aSakwawA_ApafgawA_peMSana
disable_interrupt	AkRama_avaroXa
disabled_ex_service_applications	apafga_BUwapUrva_sEnika_prAWaba_avexaka
disabled_train	nirupaNayogya_gAdI
disabling_signal	asamarWakArI_safkewa
disablity_leave	aSakwawA_CuttI
disaster_aid	vipawwi_sahAyawA
disaster_area	xurGatanA_kRewra
disaster_dump	vinASI_nipAwa
disaster_victims	ApaxA_pIdiwa
disbursing_authority	saMviwaraNa_prAXikArI
disbursing_officer	saMviwaraNa_aXikArI
disc_drive	diska_drAiva
discharge_by_cancellation	nirasana_xvArA_vimukwa_karanA_AAyiwva_muikwa
discharge_by_payment	BugawAna_xvArA_vimukwa_karanA_AAyiwva_muikwa
discharge_certificate	cukOwI_pawra
discharge_from_liability	xAyiwva_muikwa
discharge_of_a_debtor	xenaxAra_unmocana
discharge_of_debt	qNa_kA_cukAnA_AugawAna
discharge_of_export_obligation	niryAwa_xAyiwva_kA_nirvAha
discharge_of_functions	kAryapAlana
discharge_of_liability	xAyiwva_unmocana
discharge_of_loan	karja_unmocana
discharge_rate	cukOwI_IugawAna_xara
discharge_slip	CuttI_kI_parcIr
discharged_bankrupt	unmukwa_xivAliyA
discharged_value	BugawAna_mUlya
disciplinary_action	anuSAsanika_kArravAI
disciplinary_measure	anuSAsanika_upAya
disciplinary_proceedings	anuSAsanika_kAryavAhI
disciplinary_punishment	anuSAsanika_xaNda
discipline_officer	anusanXAna_aXikArI
discontinuance_of_business	kArobAra_banxa_karanA
discontinuance_of_scheme	yojanA_kI_samApwi
